Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Pancho Jasen,Estudiantes,37,18.2,8.0,6.8,0.87,0.52,0.50,0.29,0.35,1.46,0.22,1.02,-2.50,1.6,0.5,2.4,/profile/Pancho-Jasen-5602/,/stats/acb/2003/Estudiantes,2003,acb,Pancho-Jasen-5602,Estudiantes
Lucio Angulo,Real Madrid,34,18.0,6.0,4.4,0.91,0.61,0.58,0.28,0.42,1.15,0.26,0.70,-4.90,0.9,0.2,2.5,/profile/Lucio-Angulo-35526/,/stats/acb/2003/Real%20Madrid,2003,acb,Lucio-Angulo-35526,Real%20Madrid
Adam Wojcik,Malaga,19,17.8,6.3,5.1,0.94,0.54,0.52,0.33,0.26,0.68,0.13,0.93,-1.62,0.7,0.4,2.2,/profile/Adam-Wojcik-35675/,/stats/acb/2003/Malaga,2003,acb,Adam-Wojcik-35675,Malaga
Jordi Llorens,Manresa,34,17.6,5.8,4.1,0.88,0.58,0.57,0.43,0.00,0.50,0.12,0.33,-6.58,0.5,0.4,3.1,/profile/Jordi-Llorens-36111/,/stats/acb/2003/Manresa,2003,acb,Jordi-Llorens-36111,Manresa
Ignacio Rodriguez,Barcelona,44,17.6,4.5,3.1,0.92,0.57,0.46,0.62,0.59,1.73,0.55,2.11,1.92,0.8,0.1,1.5,/profile/Ignacio-Rodriguez-35500/,/stats/acb/2003/Barcelona,2003,acb,Ignacio-Rodriguez-35500,Barcelona
Federico Kammerichs,Valencia,45,17.5,6.3,5.1,0.90,0.53,0.50,0.37,0.30,0.78,0.15,0.83,-2.42,0.5,0.8,2.0,/profile/Federico-Kammerichs-36720/,/stats/acb/2003/Valencia,2003,acb,Federico-Kammerichs-36720,Valencia
Stephane Dumas,Lleida,12,17.4,5.1,5.4,0.66,0.43,0.38,0.20,0.43,2.25,0.42,1.29,-1.39,1.3,0.1,1.8,/profile/Stephane-Dumas-36455/,/stats/acb/2003/Lleida,2003,acb,Stephane-Dumas-36455,Lleida
Jim Bilba,Vitoria,3,17.3,1.7,2.0,0.56,0.32,0.17,0.67,0.00,0.33,0.17,1.00,-0.64,0.3,0.3,2.0,/profile/Jim-Bilba-36092/,/stats/acb/2003/Vitoria,2003,acb,Jim-Bilba-36092,Vitoria
Carlos Cabezas,Malaga,42,17.3,6.1,4.5,0.93,0.59,0.55,0.35,0.32,1.43,0.31,1.11,-1.99,0.6,0.0,2.2,/profile/Carlos-Cabezas-5357/,/stats/acb/2003/Malaga,2003,acb,Carlos-Cabezas-5357,Malaga
Joffre Lleal,Caceres,31,17.2,6.4,3.6,0.98,0.63,0.50,0.90,0.48,1.00,0.28,0.82,-3.18,0.7,0.0,1.9,/profile/Joffre-Lleal-36100/,/stats/acb/2003/Caceres,2003,acb,Joffre-Lleal-36100,Caceres
Bill Phillips,Granada,13,17.1,6.2,5.2,0.95,0.55,0.52,0.21,0.39,0.38,0.07,0.50,-2.95,0.6,0.1,1.5,/profile/Bill-Phillips-34218/,/stats/acb/2003/Granada,2003,acb,Bill-Phillips-34218,Granada
Fabrizio Ambrassa,Alicante,7,16.9,2.1,3.4,0.52,0.31,0.31,0.00,0.71,0.43,0.13,0.60,-2.55,0.3,0.0,2.4,/profile/Fabrizio-Ambrassa-35459/,/stats/acb/2003/Alicante,2003,acb,Fabrizio-Ambrassa-35459,Alicante
Alain Digbeu,Real Madrid,28,16.8,4.9,4.1,0.82,0.50,0.46,0.41,0.65,0.79,0.19,0.76,-3.04,0.6,0.1,1.8,/profile/Alain-Digbeu-35361/,/stats/acb/2003/Real%20Madrid,2003,acb,Alain-Digbeu-35361,Real%20Madrid
Sergi Vidal,Vitoria,28,16.8,5.3,4.1,0.90,0.56,0.50,0.34,0.37,1.39,0.34,1.34,-0.64,1.1,0.0,1.6,/profile/Sergi-Vidal-5548/,/stats/acb/2003/Vitoria,2003,acb,Sergi-Vidal-5548,Vitoria
Frederic Weis,Malaga,43,16.7,2.4,2.2,0.72,0.47,0.46,0.40,0.01,0.16,0.07,0.23,-3.78,0.5,1.0,2.7,/profile/Frederic-Weiss-5465/,/stats/acb/2003/Malaga,2003,acb,Frederic-Weiss-5465,Malaga
Juan Carlos Linan,Granada,33,16.6,5.8,4.4,1.00,0.57,0.53,0.37,0.52,0.97,0.22,1.52,0.06,1.5,0.0,2.1,/profile/Juan-Carlos-Linan-36121/,/stats/acb/2003/Granada,2003,acb,Juan-Carlos-Linan-36121,Granada
Ariel Eslava,Caceres,34,16.6,3.2,3.5,0.59,0.41,0.40,0.31,0.05,1.24,0.36,0.88,-3.48,0.7,0.1,2.1,/profile/Ariel-Eslava-35385/,/stats/acb/2003/Caceres,2003,acb,Ariel-Eslava-35385,Caceres
Oscar Gonzalez,Valladolid,28,16.5,4.4,3.9,0.84,0.49,0.41,0.35,0.79,0.82,0.21,1.28,-0.58,0.6,0.0,1.9,/profile/Oscar-Gonzalez-36299/,/stats/acb/2003/Valladolid,2003,acb,Oscar-Gonzalez-36299,Valladolid
Jesus Cilla,Manresa,33,16.4,5.9,4.3,1.00,0.58,0.53,0.42,0.21,0.52,0.12,0.74,-2.15,0.8,0.0,2.2,/profile/Jesus-Cilla-36830/,/stats/acb/2003/Manresa,2003,acb,Jesus-Cilla-36830,Manresa
David Brabender,Gran Canaria,34,16.2,5.7,3.5,1.01,0.66,0.60,0.51,0.71,2.62,0.74,2.12,3.12,0.7,0.0,2.5,/profile/David-Brabender-35870/,/stats/acb/2003/Gran%20Canaria,2003,acb,David-Brabender-35870,Gran%20Canaria
