Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Stanley Burrell
						
					",2008,-,"6'1 ½""","6'2 ½""","6'6 ½""","8'1 ½""","34.5""","11'0""","29.5""","10'7""",201,5.6,-,-,21,11.19,3.19,/profile/Stanley-Burrell-541/,Stanley-Burrell-541
"
						
							Jason Terry
						
					",1999,10,"6'1 ½""",-,-,-,-,-,-,-,176,-,-,-,-,-,-,/profile/Jason-Terry-4564/,Jason-Terry-4564
"
						
							Delonte West
						
					",2004,24,"6'1 ½""","6'2 ¾""","6'6""","8'3 ½""","35""","11'2 ½""","30""","10'9 ½""",183,-,-,-,12,11.2,3.15,/profile/Delonte-West-4824/,Delonte-West-4824
"
						
							Frank Williams
						
					",2002,25,"6'1 ½""","6'2 ¾""","6'8""","8'4 ½""","31""","10'11 ½""","26""","10'6 ½""",212,-,-,-,-,11.73,3.29,/profile/Frank-Williams-4924/,Frank-Williams-4924
"
						
							Jerry Green
						
					",2001,-,"6'1 ½""","6'2 ¾""","6'6 ¼""","8'3""","35""","11'2""","28.5""","10'7 ½""",179,-,-,-,13,11.7,3.17,/profile/Jerry-Green-5659/,Jerry-Green-5659
"
						
							Justin Love
						
					",2000,-,"6'1 ½""","6'2 ½""","6'4 ½""","8'1 ½""","38.5""","11'4""","31""","10'8 ½""",206,-,-,-,24,10.99,3.31,/profile/Justin-Love-37974/,Justin-Love-37974
"
						
							Jerel McNeal
						
					",2009,-,"6'1 ½""","6'3""","6'7 ¼""","8'3 ½""","36.5""","11'4""","31.5""","10'11""",190,5.4,-,-,10,10.61,3.25,/profile/Jerel-McNeal-1161/,Jerel-McNeal-1161
"
						
							Aubrey Coleman
						
					",2010,-,"6'1 ½""",-,"6'5""","8'0 ¼""",-,-,-,-,198,-,-,-,-,-,-,/profile/Aubrey-Coleman-5809/,Aubrey-Coleman-5809
"
						
							David Kool
						
					",2010,-,"6'1 ½""",-,"6'2 ½""","7'10 ½""",-,-,-,-,213,-,-,-,-,-,-,/profile/David-Kool-20914/,David-Kool-20914
"
						
							Charles Jenkins
						
					",2011,44,"6'1 ½""","6'3 ¼""","6'7 ½""","8'0 ½""","34""","10'10 ½""","29.5""","10'6""",216,4.3,"8.5""","9""",16,11.68,3.18,/profile/Charles-Jenkins-6189/,Charles-Jenkins-6189
"
						
							Brandon Knight
						
					",2011,8,"6'1 ½""","6'3 ¼""","6'6 ¾""","8'2 ½""","37.5""","11'4""","29""","10'7 ½""",177,4.2,"8.25""","9.5""",10,10.74,3.07,/profile/Brandon-Knight-5140/,Brandon-Knight-5140
"
						
							Nolan Smith
						
					",2011,21,"6'1 ½""","6'3 ½""","6'5 ½""","8'3""","34""","11'1""","28.5""","10'7 ½""",188,5.6,"8.5""","9.25""",9,11.05,3.17,/profile/Nolan-Smith-1118/,Nolan-Smith-1118
"
						
							Jeremiah Davis
						
					",2010,-,"6'1 ½""",-,"6'8""","8'2""",-,-,-,-,203,-,-,-,-,-,-,/profile/Jeremiah-Davis-41146/,Jeremiah-Davis-41146
"
						
							Trevor Lacey
						
					",2010,-,"6'1 ½""",-,"6'6""","8'1""",-,-,-,-,203,-,-,-,-,-,-,/profile/Trevor-Lacey-6527/,Trevor-Lacey-6527
"
						
							James Robinson
						
					",2012,-,"6'1 ½""","6'3""","6'2 ½""","8'2""",-,-,-,-,201,-,-,-,-,-,-,/profile/James-Robinson-7122/,James-Robinson-7122
"
						
							Marcus Denmon
						
					",2012,59,"6'1 ½""","6'2 ¾""","6'4 ¾""","8'1 ¼""","36.8""","11'2""","31.3""","10'8 ½""",189,10.6,"9.63""",-,11,10.7,3.15,/profile/Marcus-Denmon-6491/,Marcus-Denmon-6491
