Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Shawn Bradley
						
					",1993,2,"7'5 ½""",-,"7'5""",-,-,-,-,-,248,-,-,-,-,-,-,/profile/Shawn-Bradley-1773/,Shawn-Bradley-1773
"
						
							Michael Fusek
						
					",2016,-,"7'3 ¾""","7'4 ¾""","7'5""","9'8""","31""","12'3""","25""","11'9""",222,-,-,-,-,12.94,3.54,/profile/Michael-Fusek-69117/,Michael-Fusek-69117
"
						
							Pavel Podkolzine
						
					",2003,21,"7'3 ½""","7'5""","7'5 ¾""","9'8""","22.5""","11'6 ½""","19.5""","11'3 ½""",303,16.3,-,-,5,13.4,3.8,/profile/Pavel-Podkolzine-3963/,Pavel-Podkolzine-3963
"
						
							Samuel Deguara
						
					",2011,-,"7'3 ¼""","7'4 ½""","7'5 ¾""","9'3 ¼""","24.2""","11'3 ½""","17.6""","10'9""",300,7.5,-,-,-,-,4.21,/profile/Samuel-Deguara-1400/,Samuel-Deguara-1400
"
						
							Zydrunas Ilgauskas
						
					",1996,20,"7'3""",-,-,-,-,-,-,-,258,-,-,-,-,-,-,/profile/Zydrunas-Ilgauskas-2919/,Zydrunas-Ilgauskas-2919
"
						
							Youssoufa Fall
						
					",2016,-,"7'2 ¾""","7'3 ¾""","7'6 ½""","9'9""",-,-,-,-,275,-,-,-,-,-,-,/profile/Youssoufa-Fall-79277/,Youssoufa-Fall-79277
"
						
							Constantin Popa
						
					",1995,53,"7'2 ½""",-,-,-,-,-,-,-,217,-,-,-,-,-,-,/profile/Constantin-Popa-42796/,Constantin-Popa-42796
"
						
							Alex Radojevic
						
					",1999,12,"7'2 ½""",-,"7'1 ½""",-,-,-,-,-,242,-,-,-,-,-,-,/profile/Alex-Radojevic-4014/,Alex-Radojevic-4014
"
						
							Nemanja Besovic
						
					",2013,-,"7'2 ½""","7'4""","7'1""","9'5 ½""","20""","11'1 ½""","15.5""","10'9""",258,-,-,-,-,13.71,4.05,/profile/Nemanja-Besovic-5890/,Nemanja-Besovic-5890
"
						
							Boban Marjanovic
						
					",2009,-,"7'2 ¼""","7'3""","7'8""","9'7""","23""","11'6""","19""","11'2""",293,-,-,-,-,-,4.48,/profile/Boban-Marjanovic-1297/,Boban-Marjanovic-1297
"
						
							Dusan Cantekin
						
					",2011,-,"7'2""","7'3 ¼""","6'10 ½""","9'4""","21.1""","11'1 ¼""","13.5""","10'5 ½""",245,9.4,-,-,-,-,3.45,/profile/Dusan-Cantekin-6360/,Dusan-Cantekin-6360
"
						
							Peter Ramos
						
					",2004,32,"7'1 ¾""","7'3 ¼""","7'5 ½""","9'3 ½""","26.5""","11'6""","24""","11'3 ½""",266,-,-,-,2,12.61,3.6,/profile/Peter-Ramos-4023/,Peter-Ramos-4023
"
						
							Moustapha Fall
						
					",2014,-,"7'1 ½""","7'2 ½""","7'6 ¾""","9'7 ½""","28.5""","12'0""","22.5""","11'6""",235,-,-,-,-,12.68,3.68,/profile/Moustapha-Fall-47979/,Moustapha-Fall-47979
"
						
							Frans Steyn
						
					",2006,-,"7'1 ¼""","7'2 ½""","7'4 ¼""","9'1""","29.5""","11'6 ½""","28.5""","11'5 ½""",280,12.8,-,-,-,11.67,3.38,/profile/Frans-Steyn-592/,Frans-Steyn-592
"
						
							Dikembe Mutombo
						
					",1991,4,"7'1 ¼""",-,-,-,-,-,-,-,228,-,-,-,-,-,-,/profile/Dikembe-Mutombo-3705/,Dikembe-Mutombo-3705
"
						
							Martynas Andriuskevicius
						
					",2005,44,"7'1 ¼""","7'3""","6'11 ¼""","9'4 ½""","27.5""","11'8""","24""","11'4 ½""",228,-,-,-,-,11.94,3.42,/profile/Martynas-Andriuskevicius-40/,Martynas-Andriuskevicius-40
"
						
							Hasheem Thabeet
						
					",2009,2,"7'1 ¼""","7'2 ½""","7'6 ¼""","9'5""",-,-,-,-,267,6.7,-,-,-,-,-,/profile/Hasheem-Thabeet-1061/,Hasheem-Thabeet-1061
"
						
							Artem Pustovyi
						
					",2012,-,"7'1 ¼""","7'2 ¼""","7'5""","9'5""","29.5""","11'10 ½""","23.5""","11'4 ½""",213,-,-,-,-,12.39,3.7,/profile/Artem-Pustovyi-7111/,Artem-Pustovyi-7111
"
						
							Jordan Bachynski
						
					",2014,-,"7'1 ¼""","7'2""","7'4""","9'0 ½""","33""","11'9 ½""","29""","11'5 ½""",254,7.5,"9.25""","10""",-,12.15,3.36,/profile/Jordan-Bachynski-19603/,Jordan-Bachynski-19603
"
						
							Daniel Mayr
						
					",2014,-,"7'1 ¼""","7'2 ¼""","7'3 ¾""","9'5 ½""","23""","11'4 ½""","21.5""","11'3""",224,-,-,-,-,13.11,3.7,/profile/Daniel-Mayr-62428/,Daniel-Mayr-62428
"
						
							Zhou Qi
						
					",2016,43,"7'1 ¼""","7'2 ¼""","7'7 ¾""","9'4 ½""","32""","12'0 ½""","31.5""","12'0""",218,4.9,"9.25""","9.5""",-,11.27,3.46,/profile/Zhou-Qi-61857/,Zhou-Qi-61857
"
						
							Eric Chenowith
						
					",2001,42,"7'1""","7'2""","7'4""","9'3""","27.5""","11'6 ½""","23.5""","11'2 ½""",264,-,-,-,6,12.5,3.59,/profile/Eric-Chenowith-35922/,Eric-Chenowith-35922
"
						
							Robert Dryden
						
					",2001,-,"7'1""","7'2""","7'2 ½""","9'2 ¼""","30""","11'8 ¼""","27""","11'5 ¼""",241,-,-,-,8,12.47,3.46,/profile/Robert-Dryden-37020/,Robert-Dryden-37020
"
						
							Vlade Divac
						
					",1989,26,"7'1""",-,-,-,-,-,-,-,248,-,-,-,-,-,-,/profile/Vlade-Divac-2244/,Vlade-Divac-2244
"
						
							Bamba Fall
						
					",2009,-,"7'1""","7'1 ¾""","7'4 ¾""",-,-,-,-,-,210,-,-,-,-,-,-,/profile/Bamba-Fall-1078/,Bamba-Fall-1078
"
						
							Mindaugas Kupsas
						
					",2012,-,"7'1""","7'1 ½""","7'2 ¼""","9'4""","25""","11'5""","24""","11'4""",261,12.6,"9""",-,5,12.44,3.6,/profile/Mindaugas-Kupsas-49035/,Mindaugas-Kupsas-49035
"
						
							Ondrej Balvin
						
					",2013,-,"7'1""","7'2""","7'0""","9'4""","23""","11'3""","23""","11'3""",261,-,-,-,-,12.75,3.74,/profile/Ondrej-Balvin-6133/,Ondrej-Balvin-6133
"
						
							Andrew Betts
						
					",1998,50,"7'0 ¾""",-,-,-,-,-,-,-,257,-,-,-,-,-,-,/profile/Andrew-Betts-5639/,Andrew-Betts-5639
"
						
							Chris Christoffersen
						
					",2002,-,"7'0 ¾""","7'2""","7'3 ½""","9'1""","31""","11'8""","28""","11'5""",291,-,-,-,13,12.55,3.39,/profile/Chris-Christoffersen-34316/,Chris-Christoffersen-34316
"
						
							Loren Woods
						
					",2001,45,"7'0 ¾""","7'1 ¾""","7'5 ½""","9'5""","28""","11'9""","24.5""","11'5 ½""",246,-,-,-,10,11.83,3.48,/profile/Loren-Woods-4974/,Loren-Woods-4974
"
						
							Primoz Brezec
						
					",2000,27,"7'0 ¾""","7'1 ½""","7'2""","9'2""","29.5""","11'7 ½""","26""","11'4""",243,-,-,-,-,11.53,3.55,/profile/Primoz-Brezec-1795/,Primoz-Brezec-1795
"
						
							Omar Oraby
						
					",2014,-,"7'0 ¾""","7'2""","7'3 ¼""","9'5 ½""","24""","11'5 ½""","21.5""","11'3""",263,11.4,"9.5""","10.75""",5,13,3.73,/profile/Omar-Oraby-17755/,Omar-Oraby-17755
"
						
							Jonathan Jeanne
						
					",2017,-,"7'0 ¾""","7'2""","7'6 ½""","9'5 ½""","31.5""","12'1""","29""","11'10 ½""",207,8.7,"9.5""","10""",-,12.61,3.36,/profile/Jonathan-Jeanne-73326/,Jonathan-Jeanne-73326
"
						
							Rudy Gobert
						
					",2013,27,"7'0 ½""","7'2""","7'8 ½""","9'7""","29""","12'0""","25""","11'8""",238,4.4,"9.75""","10""",7,12.85,3.57,/profile/Rudy-Gobert-5878/,Rudy-Gobert-5878
"
						
							Ian Chiles
						
					",2014,-,"7'0 ½""",-,"7'6""","9'5 ½""",-,-,"23.5""","11'5""",252,-,-,-,-,13.56,3.86,/profile/Ian-Chiles-18618/,Ian-Chiles-18618
"
						
							Connor Vanover
						
					",2014,-,"7'0 ½""","7'1 ¾""","7'3""","9'5 ½""",-,-,-,-,199,-,-,-,-,-,-,/profile/Connor-Vanover-85453/,Connor-Vanover-85453
"
						
							Boris Bojanovsky
						
					",2016,-,"7'0 ½""","7'2""","7'1""","9'2""","28""","11'6""","22.5""","11'0 ½""",240,-,-,-,-,12.78,3.88,/profile/Boris-Bojanovsky-7022/,Boris-Bojanovsky-7022
"
						
							Georgios Tsalmpouris
						
					",2016,-,"7'0 ½""","7'1 ½""","7'0 ½""","9'1 ½""","27.5""","11'5""","26.5""","11'4""",230,-,-,-,-,12.94,3.65,/profile/Georgios-Tsalmpouris-62974/,Georgios-Tsalmpouris-62974
"
						
							Jeff Foote
						
					",2010,-,"7'0 ¼""",-,"7'4""","9'3 ½""",-,-,-,-,252,-,-,-,-,-,-,/profile/Jeff-Foote-5841/,Jeff-Foote-5841
"
						
							Artem Zabelin
						
					",2009,-,"7'0 ¼""","7'1""","7'0 ¼""","9'4""","29""","11'9""","24""","11'4""",230,-,-,-,-,-,3.63,/profile/Artem-Zabelin-1060/,Artem-Zabelin-1060
"
						
							Adam Lapeta
						
					",2009,-,"7'0 ¼""","7'1 ½""","7'1 ½""","9'3""","30""","11'9""","24""","11'3""",283,-,-,-,-,-,3.71,/profile/Adam-Lapeta-38999/,Adam-Lapeta-38999
"
						
							Alec Brown
						
					",2014,50,"7'0 ¼""","7'1 ¼""","7'1 ½""","9'1""","30""","11'7""","27""","11'4""",231,7.7,"9.25""","8.75""",-,12.05,3.48,/profile/Alec-Brown-6402/,Alec-Brown-6402
"
						
							Jakob Poeltl
						
					",2016,9,"7'0 ¼""","7'1""","7'2 ¾""","9'3 ½""",-,-,-,-,239,5.8,"9.25""","10.25""",-,-,-,/profile/Jakob-Poeltl-63039/,Jakob-Poeltl-63039
"
						
							Aaron Gray
						
					",2007,49,"7'0""","7'1 ¾""","7'3 ¼""","9'0 ½""","32.5""","11'9""","27""","11'3 ½""",271,15,-,-,17,12.07,3.7,/profile/Aaron-Gray-453/,Aaron-Gray-453
"
						
							Alexander Koul
						
					",1998,-,"7'0""",-,-,-,-,-,-,-,285,-,-,-,-,-,-,/profile/Alexander-Koul-36570/,Alexander-Koul-36570
"
						
							Shaquille O'Neal
						
					",1992,1,"7'0""",-,"7'7""","9'5""","36""","12'5""",-,-,303,12.2,-,-,-,-,-,/profile/Shaquille-O-Neal-3796/,Shaquille-O-Neal-3796
"
						
							Greg Ostertag
						
					",1995,28,"7'0""",-,-,-,-,-,-,-,279,-,-,-,-,-,-,/profile/Greg-Ostertag-3832/,Greg-Ostertag-3832
"
						
							Andrea Bargnani
						
					",2006,1,"7'0""","7'1 ¼""",-,"9'2""",-,-,-,-,249,-,-,-,-,-,-,/profile/Andrea-Bargnani-154/,Andrea-Bargnani-154
"
						
							Luther Wright
						
					",1993,18,"7'0""",-,-,-,-,-,-,-,312,-,-,-,-,-,-,/profile/Luther-Wright-4995/,Luther-Wright-4995
"
						
							Ales Chan
						
					",2004,-,"7'0""","7'2""","7'3""","9'5""","29""","11'10""","21""","11'2""",255,-,-,-,2,12.9,3.62,/profile/Ales-Chan-33830/,Ales-Chan-33830
"
						
							Chris Marcus
						
					",2003,-,"7'0""","7'1 ½""","7'8""","9'6""",-,-,-,-,334,23.1,-,-,12,-,-,/profile/Chris-Marcus-32225/,Chris-Marcus-32225
"
						
							Isaiah Austin
						
					",2010,-,"7'0""",-,"7'3""","9'3""",-,-,-,-,201,-,-,-,-,-,-,/profile/Isaiah-Austin-5773/,Isaiah-Austin-5773
"
						
							Thon Maker
						
					",2013,10,"7'0""",-,"7'1""",-,-,-,-,-,191,-,-,-,-,-,-,/profile/Thon-Maker-70462/,Thon-Maker-70462
"
						
							Thomas Welsh
						
					",2014,-,"7'0""",-,"6'11""",-,-,-,-,-,242,-,-,-,-,-,-,/profile/Thomas-Welsh-7288/,Thomas-Welsh-7288
"
						
							Laurynas Birutis
						
					",2015,-,"7'0""","7'1 ¼""","7'2 ¼""","9'3""","28.5""","11'7 ½""","24""","11'3""",214,-,-,-,-,12.74,3.62,/profile/Laurynas-Birutis-73350/,Laurynas-Birutis-73350
"
						
							Isaac Haas
						
					",2015,-,"7'0""","7'2""","7'4""","9'3""",-,-,-,-,292,-,-,-,-,-,-,/profile/Isaac-Haas-82880/,Isaac-Haas-82880
"
						
							Ryan Hollins
						
					",2015,50,"7'0""","7'1""","7'2""","9'2""",-,-,-,-,245,-,-,-,-,-,-,/profile/Ryan-Hollins-310/,Ryan-Hollins-310
"
						
							Bangaly Fofana
						
					",2010,-,"6'11 ¾""","7'1""","7'5 ¾""","9'4 ¾""","30.7""","11'11 ½""","27.2""","11'8""",219,-,-,-,-,-,-,/profile/Bangaly-Fofana-5507/,Bangaly-Fofana-5507
"
						
							Michael Olowokandi
						
					",1998,1,"6'11 ¾""",-,"7'8""",-,"35""","2'10""",-,-,269,-,-,-,-,-,-,/profile/Michael-Olowokandi-3823/,Michael-Olowokandi-3823
"
						
							Todd Macculloch
						
					",1999,47,"6'11 ¾""","7'1 ½""",-,-,-,-,-,-,-,-,-,-,-,-,-,/profile/Todd-Macculloch-3379/,Todd-Macculloch-3379
"
						
							Luke Schenscher
						
					",2005,-,"6'11 ¾""","7'1 ½""","7'5""","9'3 ½""","26.5""","11'6""","23.5""","11'3""",242,-,-,-,1,12.4,3.47,/profile/Luke-Schenscher-84/,Luke-Schenscher-84
"
						
							Mario Kasun
						
					",2002,40,"6'11 ¾""",-,"6'11 ½""","9'1""",-,-,-,-,260,-,-,-,12,-,-,/profile/Mario-Kasun-3105/,Mario-Kasun-3105
"
						
							Brendan Haywood
						
					",2001,20,"6'11 ¾""","7'1 ½""","7'6 ½""","9'5 ½""","28.5""","11'10""","27""","11'8 ½""",266,-,-,-,17,12.87,3.5,/profile/Brendan-Haywood-2775/,Brendan-Haywood-2775
"
						
							Byron Mullens
						
					",2009,24,"6'11 ¾""","7'1 ¼""","7'1 ½""","9'3""","32.5""","11'11 ½""","28.5""","11'7 ½""",258,8.5,-,-,10,11.1,3.45,/profile/Byron-Mullens-1107/,Byron-Mullens-1107
"
						
							Mike Tisdale
						
					",2011,-,"6'11 ¾""",-,"7'2""","9'2 ½""",-,-,"26.5""","11'5""",236,-,-,-,-,11.22,3.55,/profile/Mike-Tisdale-6387/,Mike-Tisdale-6387
"
						
							Meyers Leonard
						
					",2012,11,"6'11 ¾""","7'1 ¼""","7'3""","9'0""","32.5""","11'8 ½""","30""","11'6""",250,5.7,"9.25""","11""",19,11.34,3.41,/profile/Meyers-Leonard-5756/,Meyers-Leonard-5756
"
						
							Frank Kaminsky
						
					",2015,9,"6'11 ¾""","7'0 ¾""","6'11""","9'1 ½""",-,-,-,-,231,9.4,"8.5""","9.5""",-,-,-,/profile/Frank-Kaminsky-41066/,Frank-Kaminsky-41066
"
						
							Volodymyr Markovetskyy
						
					",2016,-,"6'11 ¾""","7'0 ¾""","7'2""","9'2""","28.5""","11'6 ½""","23""","11'1""",210,-,-,-,-,13.14,3.68,/profile/Volodymyr-Markovetskyy-97188/,Volodymyr-Markovetskyy-97188
"
						
							Emircan Kosut
						
					",2017,-,"6'11 ¾""","7'0 ¾""","7'2""","9'3 ½""",-,-,-,-,209,-,-,-,-,-,-,/profile/Emircan-Kosut-66876/,Emircan-Kosut-66876
"
						
							Dmytro Skapintsev
						
					",2017,-,"6'11 ¾""","7'0 ¾""","7'6 ¼""","9'4 ¼""",-,-,-,-,252,-,-,-,-,-,-,/profile/Dmytro-Skapintsev-84834/,Dmytro-Skapintsev-84834
"
						
							Jerome James
						
					",1998,36,"6'11 ½""",-,-,-,-,-,-,-,315,-,-,-,-,-,-,/profile/Jerome-James-2964/,Jerome-James-2964
"
						
							Raef Lafrentz
						
					",1998,3,"6'11 ½""",-,-,-,-,-,-,-,235,-,-,-,-,-,-,/profile/Raef-Lafrentz-3242/,Raef-Lafrentz-3242
"
						
							Vin Baker
						
					",1993,8,"6'11 ½""",-,-,-,-,-,-,-,234,-,-,-,-,-,-,/profile/Vin-Baker-1571/,Vin-Baker-1571
"
						
							Travis Knight
						
					",1996,29,"6'11 ½""",-,-,-,-,-,-,-,227,-,-,-,-,-,-,/profile/Travis-Knight-3190/,Travis-Knight-3190
"
						
							Evan Eschmeyer
						
					",1999,34,"6'11 ½""",-,"7'1""","9'2""",-,-,-,-,261,-,-,-,-,-,-,/profile/Evan-Eschmeyer-2374/,Evan-Eschmeyer-2374
"
						
							Chris Kaman
						
					",2003,6,"6'11 ½""","7'0 ½""","6'11 ¾""","9'2 ½""","30.5""","11'9""","23.5""","11'2""",252,16.3,-,-,15,11.33,3.37,/profile/Chris-Kaman-3099/,Chris-Kaman-3099
"
						
							Darko Milicic
						
					",2003,2,"6'11 ½""","7'0 ¾""","7'5""","9'3 ½""","32.5""","12'0""","26.5""","11'6""",250,8,-,-,13,11.3,3.36,/profile/Darko-Milicic-3595/,Darko-Milicic-3595
"
						
							Adam Allenspach
						
					",2001,-,"6'11 ½""","7'1 ¼""","7'0 ½""","8'11""","31""","11'6""","28.5""","11'3 ½""",259,-,-,-,16,11.9,3.4,/profile/Adam-Allenspach-69518/,Adam-Allenspach-69518
"
						
							Ruben Boumtje-Boumtje
						
					",2001,49,"6'11 ½""",-,"7'4""","9'3""","31""","11'10""","26.5""","11'5 ½""",245,-,-,-,6,11.84,3.33,/profile/Ruben-Boumtje-Boumtje-1744/,Ruben-Boumtje-Boumtje-1744
"
						
							Tyson Chandler
						
					",2001,2,"6'11 ½""","7'0 ½""","7'3""","9'2""","33.5""","11'11 ½""","31""","11'9""",224,-,-,-,2,12.13,3.36,/profile/Tyson-Chandler-1974/,Tyson-Chandler-1974
"
						
							Ndongo Ndiaye
						
					",2000,-,"6'11 ½""","7'0 ¼""","7'3 ½""","9'4 ½""","27.5""","11'8""","24.5""","11'5""",208,-,-,-,4,13.16,3.69,/profile/Ndongo-Ndiaye-38880/,Ndongo-Ndiaye-38880
"
						
							Karim Shabazz
						
					",2000,-,"6'11 ½""","6'11 ¾""","7'3""","9'3 ½""","28""","11'7 ½""","24.5""","11'4""",224,-,-,-,2,12.72,3.36,/profile/Karim-Shabazz-36141/,Karim-Shabazz-36141
"
						
							Chas McFarland
						
					",2010,-,"6'11 ½""",-,"7'1""","8'11""",-,-,-,-,235,-,-,-,-,-,-,/profile/Chas-McFarland-5042/,Chas-McFarland-5042
"
						
							Solomon Alabi
						
					",2010,50,"6'11 ½""","7'0 ¾""","7'5""","9'5""","26""","11'7""","22.5""","11'3 ½""",237,5,"9.25""","9.25""",10,13.2,3.68,/profile/Solomon-Alabi-551/,Solomon-Alabi-551
"
						
							Jerome Jordan
						
					",2010,44,"6'11 ½""","7'0 ¾""","7'5 ¼""","9'5""",-,-,-,-,244,6.9,"9""","10.25""",-,-,-,/profile/Jerome-Jordan-5160/,Jerome-Jordan-5160
"
						
							Russell Hicks
						
					",2009,-,"6'11 ½""","7'1 ¼""","7'3""",-,-,-,-,-,246,-,-,-,-,-,-,/profile/Russell-Hicks-468/,Russell-Hicks-468
"
						
							Guy-Marc Michel
						
					",2011,-,"6'11 ½""","7'1""","7'6""","9'7""","26""","11'9""","23.5""","11'6 ½""",267,11.6,"9.5""",-,-,-,4.32,/profile/Guy-Marc-Michel-19365/,Guy-Marc-Michel-19365
"
						
							Marshall Plumlee
						
					",2010,-,"6'11 ½""",-,"6'9""","8'9 ½""",-,-,-,-,214,-,-,-,-,-,-,/profile/Marshall-Plumlee-6261/,Marshall-Plumlee-6261
"
						
							Izzet Turkyilmaz
						
					",2012,50,"6'11 ½""","7'0 ¾""","7'2""","9'4""","28.5""","11'8 ½""","23.5""","11'3 ½""",211,-,-,-,-,11.84,3.58,/profile/Izzet-Turkyilmaz-39875/,Izzet-Turkyilmaz-39875
"
						
							Artem Klimenko
						
					",2012,-,"6'11 ½""","7'0 ¾""","7'4""","9'4""","28""","11'8""","24.5""","11'4 ½""",228,-,-,-,-,11.93,3.7,/profile/Artem-Klimenko-52193/,Artem-Klimenko-52193
"
						
							Brian Cusworth
						
					",2007,-,"6'11 ½""","7'0 ½""","7'3 ¾""",-,-,-,-,-,260,-,-,-,-,-,-,/profile/Brian-Cusworth-1235/,Brian-Cusworth-1235
"
						
							Jakub Wojciechowski
						
					",2010,-,"6'11 ¼""","7'1""","6'10 ½""","9'0 ¼""","33.9""","11'10""","24""","11'0 ¼""",225,-,-,-,-,-,-,/profile/Jakub-Wojciechowski-1349/,Jakub-Wojciechowski-1349
"
						
							Steve Hamer
						
					",1996,38,"6'11 ¼""",-,-,-,-,-,-,-,240,-,-,-,-,-,-,/profile/Steve-Hamer-2690/,Steve-Hamer-2690
"
						
							Brook Lopez
						
					",2008,10,"6'11 ¼""","7'0 ½""","7'5 ½""","9'5""","30.5""","11'11 ½""","27.5""","11'8 ½""",256,6.3,-,-,7,12.77,3.57,/profile/Brook-Lopez-545/,Brook-Lopez-545
"
						
							Vladimir Golubovic
						
					",2008,-,"6'11 ¼""","7'0 ¼""","7'2 ½""","9'3 ½""","27""","11'6 ½""","21.5""","11'1""",258,6.9,-,-,15,12.4,3.33,/profile/Vladimir-Golubovic-5094/,Vladimir-Golubovic-5094
"
						
							John Edwards
						
					",2004,-,"6'11 ¼""","7'1""","7'4 ½""","9'5""",-,-,-,-,264,-,-,-,15,-,-,/profile/John-Edwards-2331/,John-Edwards-2331
"
						
							Jason Jennings
						
					",2002,42,"6'11 ¼""","7'0 ½""","7'7""","9'3""","32""","11'11""","29""","11'8""",249,-,-,-,8,11.92,3.62,/profile/Jason-Jennings-5331/,Jason-Jennings-5331
"
						
							Darrell Johns
						
					",2001,-,"6'11 ¼""","7'0 ½""","7'5""","9'3 ½""","30""","11'9 ½""","23.5""","11'3""",278,-,-,-,18,12.41,3.59,/profile/Darrell-Johns-35866/,Darrell-Johns-35866
"
						
							John Bryant
						
					",2009,-,"6'11 ¼""","7'0 ¼""","7'4 ¾""",-,-,-,-,-,286,-,-,-,-,-,-,/profile/John-Bryant-5317/,John-Bryant-5317
"
						
							Garret Siler
						
					",2009,-,"6'11 ¼""","7'0""","7'6 ½""",-,-,-,-,-,305,-,-,-,-,-,-,/profile/Garret-Siler-5699/,Garret-Siler-5699
"
						
							Tyler Zeller
						
					",2012,17,"6'11 ¼""","7'0 ½""","7'0""","8'8 ½""","34""","11'6 ½""","30""","11'2 ½""",247,6.4,"9""","9.75""",16,11.13,3.4,/profile/Tyler-Zeller-5154/,Tyler-Zeller-5154
"
						
							Bogdan Radosavljevic
						
					",2012,-,"6'11 ¼""","7'0 ½""","7'1""","9'1 ½""","25.5""","11'3""","22.5""","11'0""",297,-,-,-,-,12.87,3.68,/profile/Bogdan-Radosavljevic-6421/,Bogdan-Radosavljevic-6421
"
						
							Mason Plumlee
						
					",2013,22,"6'11 ¼""","7'0 ½""","6'11""","9'0""","36""","12'0""","30.5""","11'6 ½""",238,6.2,"9.75""","9.5""",14,10.89,3.29,/profile/Mason-Plumlee-5231/,Mason-Plumlee-5231
"
						
							Willie Cauley-Stein
						
					",2014,6,"6'11 ¼""","7'0 ¼""","7'2""","9'2""","37""","12'3""","31""","11'9""",240,6.4,"9.25""","9.5""",19,10.45,3.15,/profile/Willie-Cauley-Stein-6441/,Willie-Cauley-Stein-6441
"
						
							Dakari Johnson
						
					",2014,48,"6'11 ¼""","7'0 ¼""","7'0 ¼""","9'1 ½""","34""","11'11 ½""","28.5""","11'6""",255,10.5,"8.75""","11""",16,11.42,3.45,/profile/Dakari-Johnson-6470/,Dakari-Johnson-6470
"
						
							Isaac Humphries
						
					",2015,-,"6'11 ¼""","7'0 ¼""","7'0""","8'11""","30.5""","11'5 ½""","24.5""","10'11 ½""",260,12.2,"9""","9.25""",6,11.18,3.49,/profile/Isaac-Humphries-76520/,Isaac-Humphries-76520
"
						
							Dejan Musli
						
					",2010,-,"6'11""","7'0 ½""","7'3""","9'3 ¾""","28.3""","11'8""","24.4""","11'4""",248,-,-,-,-,-,-,/profile/Dejan-Musli-1405/,Dejan-Musli-1405
"
						
							Greg Oden
						
					",2007,1,"6'11""","7'0""","7'4 ¼""","9'4""","34""","12'2""","32""","12'0""",257,7.8,-,-,-,11.67,3.27,/profile/Greg-Oden-237/,Greg-Oden-237
"
						
							Patrick O'Bryant
						
					",2006,9,"6'11""","7'0""","7'5 ¾""","9'5""","30""","11'11""","26.5""","11'7 ½""",249,10,-,-,13,12.68,3.63,/profile/Patrick-O-Bryant-333/,Patrick-O-Bryant-333
"
						
							Saer Sene
						
					",2006,10,"6'11""","7'0""","7'8 ½""","9'5""","31""","12'0""","28.5""","11'9 ½""",237,6.6,-,-,7,12.52,3.38,/profile/Saer-Sene-246/,Saer-Sene-246
"
						
							Yi Jianlian
						
					",2007,6,"6'11""","7'0 ¼""","7'3 ½""",-,"38""","3'1""",-,-,246,3.4,-,-,-,-,-,/profile/Yi-Jianlian-44/,Yi-Jianlian-44
"
						
							Brad Miller
						
					",1998,-,"6'11""",-,-,-,-,-,-,-,255,-,-,-,-,-,-,/profile/Brad-Miller-3601/,Brad-Miller-3601
"
						
							Robert Werdann
						
					",1992,46,"6'11""",-,-,-,-,-,-,-,-,-,-,-,-,-,-,/profile/Robert-Werdann-4815/,Robert-Werdann-4815
"
						
							Kevin Garnett
						
					",1995,5,"6'11""",-,-,-,-,-,-,-,217,-,-,-,-,-,-,/profile/Kevin-Garnett-2520/,Kevin-Garnett-2520
"
						
							Stanley Roberts
						
					",1991,23,"6'11""",-,-,-,-,-,-,-,293,-,-,-,-,-,-,/profile/Stanley-Roberts-4117/,Stanley-Roberts-4117
"
						
							Erick Dampier
						
					",1996,10,"6'11""",-,-,-,-,-,-,-,268,-,-,-,-,-,-,/profile/Erick-Dampier-2128/,Erick-Dampier-2128
"
						
							Tim Duncan
						
					",1997,1,"6'11""",-,-,-,-,-,-,-,249,-,-,-,-,-,-,/profile/Tim-Duncan-2292/,Tim-Duncan-2292
"
						
							JaVale McGee
						
					",2008,18,"6'11""","7'0""","7'6""","9'6 ½""","32.5""","12'3""","27""","11'9 ½""",241,5.3,-,-,7,12.75,3.25,/profile/JaVale-McGee-1197/,JaVale-McGee-1197
"
						
							Andrew Bogut
						
					",2005,1,"6'11""","7'0 ¼""","7'3""","9'2 ½""","33.5""","12'0""","27.5""","11'6""",251,-,-,-,13,12.06,3.51,/profile/Andrew-Bogut-70/,Andrew-Bogut-70
"
						
							Marcin Gortat
						
					",2005,57,"6'11""","7'0""","7'3 ½""","9'2""","36""","12'2""","29.5""","11'7 ½""",225,-,-,-,18,11.48,3.33,/profile/Marcin-Gortat-120/,Marcin-Gortat-120
"
						
							Dan McClintock
						
					",2000,53,"6'11""","7'0 ½""","7'1 ½""","8'11""","35""","11'10""","33""","11'8""",250,-,-,-,20,11.52,3.33,/profile/Dan-Mcclintock-3489/,Dan-Mcclintock-3489
"
						
							Marcus Camby
						
					",1996,2,"6'11""",-,-,-,-,-,-,-,223,-,-,-,-,-,-,/profile/Marcus-Camby-1917/,Marcus-Camby-1917
"
						
							Chris Johnson
						
					",2009,-,"6'11""","7'0""","7'2""",-,-,-,-,-,192,-,-,-,-,-,-,/profile/Chris-Johnson-5034/,Chris-Johnson-5034
