Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Roman Montanez,Manresa,22,6.8,6.7,2.1,5.6,38.1%,0.0,0.8,0.0%,2.4,3.5,69.2%,0.3,2.9,3.2,3.7,1.3,0.0,2.7,5.6,/profile/Roman-Montanez-36386/,/stats/acb/2017/Manresa,2017,acb,Roman-Montanez-36386,Manresa
Hamady N'Diaye,Malaga,13,11.4,6.4,2.8,5.3,52.6%,0.0,0.0,0.0%,0.8,3.9,21.4%,1.7,4.2,5.8,2.5,0.6,4.4,5.0,8.0,/profile/Hamady-N-Diaye-1219/,/stats/acb/2017/Malaga,2017,acb,Hamady-N-Diaye-1219,Malaga
Tomeu Rigo,Sevilla,6,3.5,5.8,0.0,0.0,0.0%,1.9,3.8,50.0%,0.0,0.0,0.0%,0.0,3.8,3.8,0.0,5.8,0.0,7.7,5.8,/profile/Tomeu-Rigo-73249/,/stats/acb/2017/Sevilla,2017,acb,Tomeu-Rigo-73249,Sevilla
Stefan Peno,Barcelona,14,7.1,5.7,1.6,3.3,50.0%,0.4,4.9,8.3%,1.2,3.3,37.5%,0.8,4.9,5.7,4.9,0.8,0.0,4.5,8.6,/profile/Stefan-Peno-62853/,/stats/acb/2017/Barcelona,2017,acb,Stefan-Peno-62853,Barcelona
Xabier Lopez-Arosteguj,Joventut,1,14.6,5.5,2.8,8.3,33.3%,0.0,2.8,0.0%,0.0,0.0,0.0%,8.3,5.5,13.8,0.0,2.8,0.0,5.5,2.8,/profile/Xabier-Lopez-Arosteguj-73248/,/stats/acb/2017/Joventut,2017,acb,Xabier-Lopez-Arosteguj-73248,Joventut
Jose Gonzalez,Fuenlabrada,20,6.6,4.8,1.8,3.3,54.5%,0.0,0.0,0.0%,1.2,2.4,50.0%,3.3,3.6,6.9,0.3,1.2,0.6,2.1,9.3,/profile/Jose-Gonzalez-76746/,/stats/acb/2017/Fuenlabrada,2017,acb,Jose-Gonzalez-76746,Fuenlabrada
Jonathan Barreiro,Zaragoza,15,3.8,4.2,0.7,4.2,16.7%,0.7,6.3,11.1%,0.7,1.4,50.0%,2.1,2.8,4.9,0.0,0.7,0.0,4.2,7.7,/profile/Jonathan-Barreiro-68714/,/stats/acb/2017/Zaragoza,2017,acb,Jonathan-Barreiro-68714,Zaragoza
Vladimir Jankovic,Valencia,2,10.5,3.9,1.9,7.8,25.0%,0.0,5.8,0.0%,0.0,0.0,0.0%,0.0,5.8,5.8,1.9,1.9,0.0,1.9,5.8,/profile/Vladimir-Jankovic-5276/,/stats/acb/2017/Valencia,2017,acb,Vladimir-Jankovic-5276,Valencia
Borja Mendia,Bilbao,20,5.8,3.4,0.7,1.4,50.0%,0.3,1.7,20.0%,1.0,2.1,50.0%,2.1,2.4,4.4,2.1,0.7,0.0,1.4,7.2,/profile/Borja-Mendia-72856/,/stats/acb/2017/Bilbao,2017,acb,Borja-Mendia-72856,Bilbao
Pablo Prigioni,Vitoria,3,11.4,2.2,1.1,3.3,33.3%,0.0,2.2,0.0%,0.0,0.0,0.0%,4.5,2.2,6.7,3.3,0.0,0.0,7.8,6.7,/profile/Pablo-Prigioni-5413/,/stats/acb/2017/Vitoria,2017,acb,Pablo-Prigioni-5413,Vitoria
Ignacio Rosa,Malaga,1,2.8,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,29.9,0.0%,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,/profile/Ignacio-Rosa-88355/,/stats/acb/2017/Malaga,2017,acb,Ignacio-Rosa-88355,Malaga
Joan Bernacer,Zaragoza,1,0.5,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3,/profile/Joan-Bernacer-83105/,/stats/acb/2017/Zaragoza,2017,acb,Joan-Bernacer-83105,Zaragoza
David Jofresa,Manresa,1,0.3,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/David-Jofresa-68688/,/stats/acb/2017/Manresa,2017,acb,David-Jofresa-68688,Manresa
Vasilije Vucetic,Bilbao,2,0.7,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Vasilije-Vucetic-62861/,/stats/acb/2017/Bilbao,2017,acb,Vasilije-Vucetic-62861,Bilbao
David Barlow,Obradoiro,1,9.6,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,4.3,4.3,0.0,4.3,0.0,0.0,0.0,/profile/David-Barlow-26648/,/stats/acb/2017/Obradoiro,2017,acb,David-Barlow-26648,Obradoiro
Adnan Omeragic,Canarias,2,2.2,0.0,0.0,9.5,0.0%,0.0,0.0,0.0%,0.0,19.0,0.0%,0.0,9.5,9.5,0.0,0.0,0.0,19.0,0.0,/profile/Adnan-Omeragic-62917/,/stats/acb/2017/Canarias,2017,acb,Adnan-Omeragic-62917,Canarias
Nil Bria,Andorra,2,0.9,0.0,0.0,21.6,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Nil-Bria-96437/,/stats/acb/2017/Andorra,2017,acb,Nil-Bria-96437,Andorra
Terrence Bieshaar,Joventut,4,3.0,0.0,0.0,3.4,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,3.4,20.3,/profile/Terrence-Bieshaar-73581/,/stats/acb/2017/Joventut,2017,acb,Terrence-Bieshaar-73581,Joventut
Juan Garcia,Malaga,3,1.9,0.0,0.0,14.4,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,7.2,0.0,7.2,0.0,0.0,0.0,7.2,14.4,/profile/Juan-Garcia-76713/,/stats/acb/2017/Malaga,2017,acb,Juan-Garcia-76713,Malaga
Pol Figueras,Barcelona,2,6.2,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,3.3,0.0,9.9,3.3,/profile/Pol-Figueras-84812/,/stats/acb/2017/Barcelona,2017,acb,Pol-Figueras-84812,Barcelona
