Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Axel Bouteille,Chalon,35,14.3,17.4,6.9,19.1,1.65,4.1,71.4,5.7%,1.29,0.92,0.29,0.19,0.11,/profile/Axel-Bouteille-68762/,/stats/french/2016/Chalon,2016,french,Axel-Bouteille-68762,Chalon
Terry Smith,Villeurbanne,3,14.3,1.9,1.7,4.7,-0.19,6.5,66.7,9.7%,0.67,0.77,0.21,0.21,0.26,/profile/Terry-Smith-80853/,/stats/french/2016/Villeurbanne,2016,french,Terry-Smith-80853,Villeurbanne
Jordan Morgan,Paris-Levallois,7,14.3,21.3,9.1,25.6,0.52,4.4,70.0,6.3%,1.27,1.04,0.29,0.10,0.03,/profile/Jordan-Morgan-6479/,/stats/french/2016/Paris-Levallois,2016,french,Jordan-Morgan-6479,Paris-Levallois
LaMarcus Reed,Rouen,7,14.1,5.2,3.1,8.9,-0.28,4.9,70.5,7.0%,0.70,0.73,0.12,0.15,0.29,/profile/LaMarcus-Reed-16880/,/stats/french/2016/Rouen,2016,french,LaMarcus-Reed-16880,Rouen
David Michineau,Chalon,36,13.6,12.0,4.4,12.9,0.28,5.0,71.4,7.1%,1.12,1.04,0.22,0.30,0.18,/profile/David-Michineau-76479/,/stats/french/2016/Chalon,2016,french,David-Michineau-76479,Chalon
Frederic Bourdillon,Antibes,34,13.1,8.5,3.3,10.1,-0.51,3.4,70.1,4.9%,0.96,0.81,0.25,0.32,0.21,/profile/Frederic-Bourdillon-39830/,/stats/french/2016/Antibes,2016,french,Frederic-Bourdillon-39830,Antibes
Kevin Dinal,Dijon,33,13.0,12.8,4.9,15.2,0.42,3.6,67.4,5.4%,1.03,0.84,0.13,0.09,0.18,/profile/Kevin-Dinal-52183/,/stats/french/2016/Dijon,2016,french,Kevin-Dinal-52183,Dijon
Remi Barry,Le Havre,32,12.8,7.0,2.8,8.7,-0.78,3.6,71.9,5.0%,0.96,0.92,0.30,0.03,0.17,/profile/Remi-Barry-41590/,/stats/french/2016/Le%20Havre,2016,french,Remi-Barry-41590,Le%20Havre
Alexandre Chassang,Villeurbanne,42,12.5,6.9,3.2,10.2,-1.04,2.9,66.7,4.4%,0.82,0.91,0.14,0.25,0.24,/profile/Alexandre-Chassang-62394/,/stats/french/2016/Villeurbanne,2016,french,Alexandre-Chassang-62394,Villeurbanne
William Gradit,Chalon,27,12.4,6.3,2.7,8.6,-0.75,3.1,71.4,4.4%,0.94,0.98,0.02,0.18,0.18,/profile/William-Gradit-37129/,/stats/french/2016/Chalon,2016,french,William-Gradit-37129,Chalon
Mathias Lessort,Chalon,34,12.4,24.2,8.9,28.7,2.79,4.7,71.4,6.6%,1.19,0.75,0.38,0.16,0.22,/profile/Mathias-Lessort-73162/,/stats/french/2016/Chalon,2016,french,Mathias-Lessort-73162,Chalon
George Tsintsadze,Gravelines,14,12.4,5.6,2.6,8.3,-0.45,6.3,69.4,9.0%,0.63,0.63,0.26,0.25,0.25,/profile/George-Tsintsadze-202/,/stats/french/2016/Gravelines,2016,french,George-Tsintsadze-202,Gravelines
Chris Booker,Orleans,7,12.3,7.6,3.0,9.8,-0.14,3.9,67.6,5.8%,0.72,0.87,0.00,0.11,0.18,/profile/Chris-Booker-30860/,/stats/french/2016/Orleans,2016,french,Chris-Booker-30860,Orleans
Junior Mbida,Cholet,16,12.3,17.1,6.3,20.4,0.61,3.5,71.6,4.8%,1.17,0.87,0.27,0.16,0.16,/profile/Junior-Mbida-68192/,/stats/french/2016/Cholet,2016,french,Junior-Mbida-68192,Cholet
Romain Duport,Strasbourg,37,11.9,18.2,6.4,21.6,1.61,5.1,69.0,7.4%,1.12,0.97,0.10,0.18,0.12,/profile/Romain-Duport-1261/,/stats/french/2016/Strasbourg,2016,french,Romain-Duport-1261,Strasbourg
Kevin Joss Rauze,Le Havre,8,11.9,-3.5,-0.4,-1.3,-0.68,1.5,71.9,2.1%,0.17,0.83,0.00,0.33,0.42,/profile/Kevin-Joss-Rauze-38811/,/stats/french/2016/Le%20Havre,2016,french,Kevin-Joss-Rauze-38811,Le%20Havre
Frejus Zerbo,Limoges,33,11.4,7.9,3.8,13.2,-0.54,3.2,68.6,4.6%,0.94,0.73,0.31,0.07,0.23,/profile/Frejus-Zerbo-6307/,/stats/french/2016/Limoges,2016,french,Frejus-Zerbo-6307,Limoges
Edouard Choquet,Villeurbanne,45,11.3,13.3,4.6,16.3,0.62,3.2,66.7,4.8%,1.03,0.87,0.04,0.48,0.20,/profile/Edouard-Choquet-68195/,/stats/french/2016/Villeurbanne,2016,french,Edouard-Choquet-68195,Villeurbanne
Carl Ponsar,Rouen,16,11.3,11.1,3.5,12.4,0.02,3.0,70.5,4.2%,1.16,0.95,0.17,0.13,0.23,/profile/Carl-Ponsar-84596/,/stats/french/2016/Rouen,2016,french,Carl-Ponsar-84596,Rouen
Abdoulaye Loum,Orleans,27,10.3,14.1,4.3,16.6,0.45,3.1,67.6,4.6%,1.06,0.93,0.18,0.05,0.18,/profile/Abdoulaye-Loum-6305/,/stats/french/2016/Orleans,2016,french,Abdoulaye-Loum-6305,Orleans
