Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Ernest Novak,Olimpija Ljubljana,1,3.5,0.0,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,/profile/Ernest-Novak-35913/,/stats/euroleague/2006/Olimpija%20Ljubljana,2006,euroleague,Ernest-Novak-35913,Olimpija%20Ljubljana
Novica Velickovic,Partizan,12,3.4,1.0,0.6,0.73,0.72,0.79,0.43,0.29,0.00,0.00,0.00,-19.35,0.3,0.0,1.1,/profile/Novica-Velickovic-5141/,/stats/euroleague/2006/Partizan,2006,euroleague,Novica-Velickovic-5141,Partizan
Jonathan Aka,Pau-Orthez,3,3.3,1.0,0.7,0.75,0.40,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.7,/profile/Jonathan-Aka-37408/,/stats/euroleague/2006/Pau-Orthez,2006,euroleague,Jonathan-Aka-37408,Pau-Orthez
Dimitris Kalaitzidis,Olympiakos,1,3.3,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.69,0.0,0.0,1.0,/profile/Dimitris-Kalaitzidis-36674/,/stats/euroleague/2006/Olympiakos,2006,euroleague,Dimitris-Kalaitzidis-36674,Olympiakos
Peja Samardziski,Partizan,2,3.1,0.0,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,/profile/Peja-Samardziski-149/,/stats/euroleague/2006/Partizan,2006,euroleague,Peja-Samardziski-149,Partizan
Giannis Athanasoulas,AEK Athens,1,3.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,3.0,/profile/Giannis-Athanasoulas-38381/,/stats/euroleague/2006/AEK%20Athens,2006,euroleague,Giannis-Athanasoulas-38381,AEK%20Athens
Ernestas Ezerskis,Lietuvos Rytas,1,3.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,/profile/Ernestas-Ezerskis-38352/,/stats/euroleague/2006/Lietuvos%20Rytas,2006,euroleague,Ernestas-Ezerskis-38352,Lietuvos%20Rytas
Luka Zoric,Olimpija Ljubljana,2,3.0,0.0,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.08,0.0,0.0,1.0,/profile/Luka-Zoric-5931/,/stats/euroleague/2006/Olimpija%20Ljubljana,2006,euroleague,Luka-Zoric-5931,Olimpija%20Ljubljana
Nikos Argyropoulos,Olympiakos,3,2.8,0.7,0.7,0.67,0.35,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.3,0.0,0.0,/profile/Nikos-Argyropoulos-37532/,/stats/euroleague/2006/Olympiakos,2006,euroleague,Nikos-Argyropoulos-37532,Olympiakos
Mutlu Demir,Anadolu Efes,3,2.8,1.0,0.0,1.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,-12.34,0.3,0.0,0.7,/profile/Mutlu-Demir-38499/,/stats/euroleague/2006/Anadolu%20Efes,2006,euroleague,Mutlu-Demir-38499,Anadolu%20Efes
