Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Ante Masic,Ikaros,8,22.9,7.4,4.4,7.6,-0.31,4.4,74.6,5.9%,1.02,0.77,0.31,0.14,0.26,/profile/Ante-Masic-40148/,/stats/greek/2014/Ikaros,2014,greek,Ante-Masic-40148,Ikaros
Jamario Moon,Olympiakos,5,22.9,28.4,15.6,27.3,1.00,8.5,73.1,11.7%,1.45,0.89,0.14,0.14,0.07,/profile/Jamario-Moon-5186/,/stats/greek/2014/Olympiakos,2014,greek,Jamario-Moon-5186,Olympiakos
Marios Batis,Panionios,30,22.7,10.5,7.5,13.3,-0.12,7.5,74.7,10.1%,0.77,0.65,0.21,0.35,0.27,/profile/Marios-Batis-35532/,/stats/greek/2014/Panionios,2014,greek,Marios-Batis-35532,Panionios
Dimitris Diamantidis,Panathinaikos,35,22.6,22.8,11.8,20.9,4.72,8.7,71.7,12.2%,1.07,0.67,0.28,0.52,0.24,/profile/Dimitris-Diamantidis-5113/,/stats/greek/2014/Panathinaikos,2014,greek,Dimitris-Diamantidis-5113,Panathinaikos
Giannis Kalabokis,Rethymno,24,22.6,12.5,6.5,11.6,0.44,9.3,74.9,12.5%,0.96,0.73,0.33,0.12,0.19,/profile/Giannis-Kalabokis-37340/,/stats/greek/2014/Rethymno,2014,greek,Giannis-Kalabokis-37340,Rethymno
Nestoras Komatos,Rhodes,15,22.4,12.5,6.8,12.1,0.29,8.0,72.4,11.0%,0.88,0.85,0.22,0.22,0.18,/profile/Nestoras-Komatos-35552/,/stats/greek/2014/Rhodes,2014,greek,Nestoras-Komatos-35552,Rhodes
Larry Turner,Panelefsiniakos,26,22.2,15.2,8.8,15.8,1.25,9.3,75.9,12.2%,0.99,0.76,0.36,0.05,0.24,/profile/Larry-Turner-5442/,/stats/greek/2014/Panelefsiniakos,2014,greek,Larry-Turner-5442,Panelefsiniakos
Khalid Mutakabbir,Trikalla,13,22.1,9.4,4.4,7.9,-0.21,5.9,76.2,7.7%,1.14,1.11,0.24,0.17,0.20,/profile/Khalid-Mutakabbir-20571/,/stats/greek/2014/Trikalla,2014,greek,Khalid-Mutakabbir-20571,Trikalla
Eleftherios Bochoridis,Aris,28,22.1,8.9,5.0,9.1,-0.59,7.9,73.7,10.8%,0.90,0.79,0.32,0.19,0.25,/profile/Eleftherios-Bochoridis-42188/,/stats/greek/2014/Aris,2014,greek,Eleftherios-Bochoridis-42188,Aris
Matt Lojeski,Olympiakos,32,22.0,25.4,12.8,23.3,5.09,8.6,73.1,11.7%,1.25,0.84,0.27,0.26,0.13,/profile/Matt-Lojeski-1280/,/stats/greek/2014/Olympiakos,2014,greek,Matt-Lojeski-1280,Olympiakos
Uros Petrovic,Trikalla,26,22.0,8.0,4.3,7.8,-0.80,5.6,76.2,7.4%,1.01,0.97,0.17,0.13,0.10,/profile/Uros-Petrovic-39363/,/stats/greek/2014/Trikalla,2014,greek,Uros-Petrovic-39363,Trikalla
Stelios Ioannou,Ilisiakos,26,21.9,11.3,6.0,11.0,0.13,6.7,73.6,9.1%,0.97,0.92,0.26,0.12,0.17,/profile/Stelios-Ioannou-40090/,/stats/greek/2014/Ilisiakos,2014,greek,Stelios-Ioannou-40090,Ilisiakos
Vassilis Spanoulis,Olympiakos,29,21.8,16.1,8.4,15.5,1.68,11.4,73.1,15.6%,0.82,0.75,0.22,0.43,0.22,/profile/Vassilis-Spanoulis-5209/,/stats/greek/2014/Olympiakos,2014,greek,Vassilis-Spanoulis-5209,Olympiakos
Nikos Barlos,Nea Kifisia,28,21.6,11.3,6.8,12.5,0.13,8.4,72.2,11.7%,0.90,0.72,0.36,0.08,0.22,/profile/Nikos-Barlos-37533/,/stats/greek/2014/Nea%20Kifisia,2014,greek,Nikos-Barlos-37533,Nea%20Kifisia
Evangelos Mantzaris,Olympiakos,35,21.5,11.5,6.9,12.9,0.26,5.4,73.1,7.5%,0.92,0.78,0.16,0.44,0.26,/profile/Evangelos-Mantzaris-40119/,/stats/greek/2014/Olympiakos,2014,greek,Evangelos-Mantzaris-40119,Olympiakos
Christian Polk,Drama,3,21.5,22.8,10.0,18.6,0.38,10.2,75.6,13.5%,1.24,0.88,0.13,0.07,0.20,/profile/Christian-Polk-1223/,/stats/greek/2014/Drama,2014,greek,Christian-Polk-1223,Drama
Trevis Simpson,Rhodes,23,21.4,11.0,5.9,11.0,0.05,6.6,72.4,9.2%,0.98,0.91,0.16,0.11,0.18,/profile/Trevis-Simpson-18531/,/stats/greek/2014/Rhodes,2014,greek,Trevis-Simpson-18531,Rhodes
Taylor Smith,Rhodes,26,21.1,27.1,13.3,25.2,4.45,7.2,72.4,9.9%,1.36,0.80,0.41,0.04,0.12,/profile/Taylor-Smith-41846/,/stats/greek/2014/Rhodes,2014,greek,Taylor-Smith-41846,Rhodes
Julian Vaughn,Drama,28,20.7,21.9,10.4,20.0,3.19,7.7,75.6,10.1%,1.20,0.72,0.59,0.06,0.20,/profile/Julian-Vaughn-19848/,/stats/greek/2014/Drama,2014,greek,Julian-Vaughn-19848,Drama
Vangelis Margaritis,PAOK,34,20.7,18.0,9.6,18.6,2.51,6.2,74.0,8.4%,1.14,0.75,0.38,0.15,0.15,/profile/Vangelis-Margaritis-36506/,/stats/greek/2014/PAOK,2014,greek,Vangelis-Margaritis-36506,PAOK
Antonis Fotsis,Panathinaikos,35,20.7,17.5,9.3,18.0,2.39,5.1,71.7,7.1%,1.23,0.94,0.21,0.13,0.09,/profile/Antonis-Fotsis-2456/,/stats/greek/2014/Panathinaikos,2014,greek,Antonis-Fotsis-2456,Panathinaikos
Nikos Argyropoulos,Apollon,25,20.7,11.8,5.5,10.6,0.25,8.6,75.2,11.5%,0.90,0.82,0.38,0.27,0.19,/profile/Nikos-Argyropoulos-37532/,/stats/greek/2014/Apollon,2014,greek,Nikos-Argyropoulos-37532,Apollon
Josh Fisher,Panelefsiniakos,11,20.6,7.8,3.9,7.6,-0.34,7.2,75.9,9.5%,0.73,0.80,0.18,0.25,0.18,/profile/Josh-Fisher-32624/,/stats/greek/2014/Panelefsiniakos,2014,greek,Josh-Fisher-32624,Panelefsiniakos
Stratos Perperoglou,Olympiakos,30,20.5,17.0,8.7,17.0,1.91,9.0,73.1,12.4%,0.95,0.84,0.16,0.18,0.15,/profile/Stratos-Perperoglou-5467/,/stats/greek/2014/Olympiakos,2014,greek,Stratos-Perperoglou-5467,Olympiakos
Stephane Lasme,Panathinaikos,33,20.5,26.2,13.0,25.3,5.18,8.9,71.7,12.4%,1.21,0.79,0.30,0.10,0.17,/profile/Stephane-Lasme-1079/,/stats/greek/2014/Panathinaikos,2014,greek,Stephane-Lasme-1079,Panathinaikos
Leonidas Kaselakis,PAOK,35,20.5,9.2,5.7,11.1,-0.59,5.1,74.0,6.8%,0.93,0.86,0.16,0.19,0.16,/profile/Leonidas-Kaselakis-39929/,/stats/greek/2014/PAOK,2014,greek,Leonidas-Kaselakis-39929,PAOK
Giorgos Printezis,Olympiakos,31,20.2,24.9,11.9,23.6,4.39,9.6,73.1,13.1%,1.18,0.90,0.26,0.11,0.09,/profile/Giorgos-Printezis-1295/,/stats/greek/2014/Olympiakos,2014,greek,Giorgos-Printezis-1295,Olympiakos
James Gist,Panathinaikos,32,20.2,23.2,10.8,21.5,3.96,7.2,71.7,10.0%,1.20,0.75,0.44,0.14,0.14,/profile/James-Gist-597/,/stats/greek/2014/Panathinaikos,2014,greek,James-Gist-597,Panathinaikos
Nejc Strnad,Ikaros,19,20.1,13.2,6.5,12.9,0.45,5.1,74.6,6.8%,1.20,0.82,0.21,0.22,0.11,/profile/Nejc-Strnad-38502/,/stats/greek/2014/Ikaros,2014,greek,Nejc-Strnad-38502,Ikaros
Bryant Dunston,Olympiakos,34,20.0,28.4,13.1,26.2,5.92,6.5,73.1,8.9%,1.38,0.77,0.52,0.07,0.15,/profile/Bryant-Dunston-516/,/stats/greek/2014/Olympiakos,2014,greek,Bryant-Dunston-516,Olympiakos
