Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Engin Atsur,Besiktas,9,22.1,9.0,6.6,11.9,-0.18,7.9,79.6,9.9%,0.87,0.87,0.11,0.28,0.15,/profile/Engin-Atsur-19/,/stats/eurocup/2016/Besiktas,2016,eurocup,Engin-Atsur-19,Besiktas
Mantas Kalnietis,Milano,6,22.1,18.4,9.7,17.5,0.50,9.1,71.6,12.8%,1.06,0.77,0.15,0.26,0.16,/profile/Mantas-Kalnietis-1064/,/stats/eurocup/2016/Milano,2016,eurocup,Mantas-Kalnietis-1064,Milano
Salva Arco,Ulm,5,22.1,14.5,8.4,15.2,0.20,6.8,73.2,9.3%,1.09,0.77,0.21,0.30,0.21,/profile/Salva-Arco-37600/,/stats/eurocup/2016/Ulm,2016,eurocup,Salva-Arco-37600,Ulm
Alex Harris,Brindisi,10,22.0,14.3,7.8,14.2,0.38,8.4,73.7,11.5%,1.10,0.79,0.31,0.13,0.21,/profile/Alex-Harris-1391/,/stats/eurocup/2016/Brindisi,2016,eurocup,Alex-Harris-1391,Brindisi
Alessandro Gentile,Milano,4,22.0,6.6,4.0,7.3,-0.18,12.0,71.6,16.7%,0.77,0.77,0.29,0.19,0.23,/profile/Alessandro-Gentile-5917/,/stats/eurocup/2016/Milano,2016,eurocup,Alessandro-Gentile-5917,Milano
Alex Ruoff,Bilbao,16,22.0,16.9,10.0,18.2,1.07,9.0,75.0,12.0%,1.07,0.82,0.17,0.18,0.19,/profile/Alex-Ruoff-5322/,/stats/eurocup/2016/Bilbao,2016,eurocup,Alex-Ruoff-5322,Bilbao
Lior Eliyahu,Hapoel Jerusalem,13,21.9,17.8,11.7,21.4,0.98,10.5,75.1,14.0%,1.00,0.97,0.13,0.26,0.15,/profile/Lior-Eliyahu-449/,/stats/eurocup/2016/Hapoel%20Jerusalem,2016,eurocup,Lior-Eliyahu-449,Hapoel%20Jerusalem
Anton Ponkrashov,UNICS,14,21.9,14.1,8.9,16.3,0.50,7.7,72.3,10.7%,0.87,0.71,0.29,0.52,0.25,/profile/Anton-Ponkrashov-1056/,/stats/eurocup/2016/UNICS,2016,eurocup,Anton-Ponkrashov-1056,UNICS
Dimitrios Katsivelis,AEK Athens,8,21.9,7.9,6.1,11.2,-0.25,5.2,75.8,6.8%,0.70,0.63,0.34,0.43,0.29,/profile/Dimitrios-Katsivelis-36197/,/stats/eurocup/2016/AEK%20Athens,2016,eurocup,Dimitrios-Katsivelis-36197,AEK%20Athens
Gregor Hrovat,Olimpija Ljubljana,14,21.8,9.4,7.1,13.1,-0.21,5.9,74.6,7.8%,0.85,0.72,0.29,0.37,0.26,/profile/Gregor-Hrovat-51728/,/stats/eurocup/2016/Olimpija%20Ljubljana,2016,eurocup,Gregor-Hrovat-51728,Olimpija%20Ljubljana
Bill Amis,Steaua Bucuresti,9,21.7,17.5,11.9,21.9,0.65,9.3,72.8,12.7%,1.01,0.89,0.26,0.12,0.12,/profile/Bill-Amis-19626/,/stats/eurocup/2016/Steaua%20Bucuresti,2016,eurocup,Bill-Amis-19626,Steaua%20Bucuresti
Rotnei Clarke,Bonn,10,21.7,14.8,8.8,16.2,0.43,10.9,77.2,14.2%,1.02,0.78,0.15,0.30,0.24,/profile/Rotnei-Clarke-19345/,/stats/eurocup/2016/Bonn,2016,eurocup,Rotnei-Clarke-19345,Bonn
Guillem Vives,Valencia,14,21.7,17.9,9.9,18.2,1.07,7.9,71.0,11.2%,1.02,0.67,0.37,0.52,0.22,/profile/Guillem-Vives-42559/,/stats/eurocup/2016/Valencia,2016,eurocup,Guillem-Vives-42559,Valencia
Keith Simmons,Banvit,11,21.7,14.1,8.2,15.1,0.39,4.5,75.0,6.0%,1.36,1.08,0.26,0.16,0.08,/profile/Keith-Simmons-26714/,/stats/eurocup/2016/Banvit,2016,eurocup,Keith-Simmons-26714,Banvit
Djordje Gagic,Brindisi,10,21.5,17.0,10.2,18.9,0.66,9.4,73.7,12.8%,0.94,0.73,0.42,0.17,0.24,/profile/Djordje-Gagic-40175/,/stats/eurocup/2016/Brindisi,2016,eurocup,Djordje-Gagic-40175,Brindisi
Shawn James,Bilbao,7,21.5,23.8,13.0,24.2,0.97,7.2,75.0,9.6%,1.17,0.65,0.69,0.16,0.20,/profile/Shawn-James-361/,/stats/eurocup/2016/Bilbao,2016,eurocup,Shawn-James-361,Bilbao
Petr Cornelie,Le Mans,10,21.5,8.8,6.7,12.5,-0.22,6.7,71.9,9.3%,0.87,0.84,0.24,0.06,0.28,/profile/Petr-Cornelie-61916/,/stats/eurocup/2016/Le%20Mans,2016,eurocup,Petr-Cornelie-61916,Le%20Mans
Dimitri Sokolov,Krasny Oktyabr,8,21.4,17.7,11.0,20.6,0.59,7.2,81.0,8.8%,1.22,0.93,0.30,0.14,0.17,/profile/Dimitri-Sokolov-153/,/stats/eurocup/2016/Krasny%20Oktyabr,2016,eurocup,Dimitri-Sokolov-153,Krasny%20Oktyabr
Jon Brockman,Ludwigsburg,16,21.4,24.0,14.6,27.3,2.24,9.1,74.9,12.2%,1.17,0.78,0.39,0.07,0.21,/profile/Jon-Brockman-1168/,/stats/eurocup/2016/Ludwigsburg,2016,eurocup,Jon-Brockman-1168,Ludwigsburg
Pierria Henry,Ulm,6,21.4,17.1,9.8,18.4,0.40,7.8,73.2,10.7%,0.89,0.66,0.34,0.40,0.28,/profile/Pierria-Henry-41141/,/stats/eurocup/2016/Ulm,2016,eurocup,Pierria-Henry-41141,Ulm
