Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
George Tsintsadze,Trikala,6,19.4,10.7,2.3,5.0,46.7%,1.7,3.7,45.5%,1.0,2.0,50.0%,0.3,1.3,1.7,5.4,2.0,0.0,5.4,3.7,/profile/George-Tsintsadze-202/,/stats/greek/2010/Trikala,2010,greek,George-Tsintsadze-202,Trikala
Markos Kolokas,Panellinios,24,8.2,10.5,2.7,5.6,48.1%,1.0,2.9,35.7%,2.1,2.7,76.9%,1.4,7.4,8.8,1.6,0.8,0.6,2.5,6.6,/profile/Markos-Kolokas-36921/,/stats/greek/2010/Panellinios,2010,greek,Markos-Kolokas-36921,Panellinios
Petros Noeas,Trikala,18,9.2,10.4,2.4,4.7,50.0%,1.2,4.0,29.4%,2.1,2.6,81.8%,2.4,3.8,6.1,0.2,0.7,0.5,2.1,7.5,/profile/Petros-Noeas-38114/,/stats/greek/2010/Trikala,2010,greek,Petros-Noeas-38114,Trikala
Giannis Athanasoulas,Ilisiakos,26,18.7,10.4,2.2,4.6,46.4%,1.3,5.8,22.9%,2.1,3.0,69.4%,1.2,2.2,3.3,2.0,1.3,0.0,2.6,5.0,/profile/Giannis-Athanasoulas-38381/,/stats/greek/2010/Ilisiakos,2010,greek,Giannis-Athanasoulas-38381,Ilisiakos
Christoforos Stefanidis,Kavala,21,6.8,10.4,2.2,3.8,57.1%,0.8,2.5,33.3%,3.5,4.1,86.7%,0.5,4.4,4.9,4.9,1.4,0.0,1.9,6.0,/profile/Christoforos-Stefanidis-37777/,/stats/greek/2010/Kavala,2010,greek,Christoforos-Stefanidis-37777,Kavala
Dimitris Kobodietas,Panellinios,9,3.5,10.3,2.6,3.9,66.7%,1.3,5.2,25.0%,1.3,2.6,50.0%,3.9,1.3,5.2,3.9,0.0,0.0,3.9,5.2,/profile/Dimitris-Kobodietas-39781/,/stats/greek/2010/Panellinios,2010,greek,Dimitris-Kobodietas-39781,Panellinios
Vladimir Jankovic,Panionios,19,10.0,10.2,3.2,5.1,62.5%,0.6,3.8,16.7%,1.9,2.3,81.8%,2.1,4.5,6.6,2.1,2.3,0.4,2.3,6.8,/profile/Vladimir-Jankovic-5276/,/stats/greek/2010/Panionios,2010,greek,Vladimir-Jankovic-5276,Panionios
Ivan Paunic,Aris,17,13.4,10.1,1.1,4.8,23.1%,1.7,4.1,40.9%,3.0,4.1,72.7%,2.2,3.0,5.2,1.5,1.5,0.0,2.6,4.8,/profile/Ivan-Paunic-5091/,/stats/greek/2010/Aris,2010,greek,Ivan-Paunic-5091,Aris
Sokratis Gizogiannis,Trikala,16,12.2,10.1,0.8,2.4,33.3%,2.6,5.4,48.1%,0.8,0.8,100.0%,1.0,2.6,3.6,0.2,0.6,0.0,1.6,5.8,/profile/Sokratis-Gizogiannis-38185/,/stats/greek/2010/Trikala,2010,greek,Sokratis-Gizogiannis-38185,Trikala
Andronikos Gizogiannis,AEK Athens,9,6.6,10.1,0.7,4.7,14.3%,2.0,4.0,50.0%,2.7,4.0,66.7%,2.0,1.3,3.4,1.3,0.7,0.0,4.0,4.0,/profile/Andronikos-Gizogiannis-38282/,/stats/greek/2010/AEK%20Athens,2010,greek,Andronikos-Gizogiannis-38282,AEK%20Athens
Vaggelis Sakellariou,Trikala,15,8.6,10.0,0.9,3.9,23.1%,2.1,4.5,46.7%,1.8,1.8,100.0%,1.8,3.0,4.8,2.7,2.7,0.0,2.1,6.0,/profile/Vaggelis-Sakellariou-39365/,/stats/greek/2010/Trikala,2010,greek,Vaggelis-Sakellariou-39365,Trikala
Shawn Huff,Kavala,20,16.5,10.0,1.9,4.4,43.2%,2.0,3.9,51.5%,0.1,0.2,50.0%,1.3,3.0,4.3,0.4,1.2,0.1,2.0,5.2,/profile/Shawn-Huff-24345/,/stats/greek/2010/Kavala,2010,greek,Shawn-Huff-24345,Kavala
Giannis Athineou,Panionios,23,9.8,9.9,0.7,2.4,30.8%,2.2,6.0,36.4%,2.0,3.1,64.7%,1.1,1.4,2.5,3.8,2.2,0.0,2.2,5.1,/profile/Giannis-Athineou-39842/,/stats/greek/2010/Panionios,2010,greek,Giannis-Athineou-39842,Panionios
