Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Sref_Cbb_ID
105878,Kyle Jones,FR,2008-09,G,Arkansas-Pine Bluff,SWAC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,kyle-jones-1
105879,Lacy Jones,SR,1994-95,G,Central Michigan,MAC,2,,0,1,0,1,0,0,0,0,,,2,3,1,0,,,0,lacy-jones-1
105880,Lemuel Jones,SR,1996-97,G,Northwestern State,Southland,7,,0,4,0,4,0,0,0,0,,,2,1,0,0,,,0,lemuel-jones-1
105881,Maurice Jones,JR,1997-98,G,Arkansas-Little Rock,Sun Belt,13,,0,12,0,12,0,0,0,2,,,13,4,1,0,,,0,maurice-jones-1
105882,Mike Jones,JR,2003-04,G,Massachusetts,A-10,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,mike-jones-6
105883,Phil Jones,SO,2001-02,,Buffalo,MAC,2,,0,1,0,1,0,0,0,0,,,0,0,0,0,,,0,phil-jones-1
105884,Phillip Jones,SO,2009-10,G,Louisiana-Lafayette,Sun Belt,2,3,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,phillip-jones-1
105885,Phillip Jones,FR,2008-09,G,Louisiana-Lafayette,Sun Belt,1,,0,2,0,0,0,2,0,0,,,1,0,0,0,1,,0,phillip-jones-1
105886,Scotty Jones,JR,2001-02,C,Vermont,AEC,3,,0,2,0,2,0,0,0,2,,,4,0,0,0,,,0,scotty-jones-2
105887,Skylar Jones,JR,2012-13,G,Niagara,MAAC,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,skylar-jones-1
105888,Steve Jones,JR,2007-08,G,Arizona State,Pac-10,7,,0,2,0,0,0,2,0,0,,,1,1,0,0,0,,0,steve-jones-1
105889,Tom Jonke,SR,2009-10,G,Virginia,ACC,6,12,0,1,0,0,0,1,0,0,0,2,2,0,1,0,2,0,0,tom-jonke-1
105890,Shaun Joplin,SR,2013-14,F,Bowling Green State,MAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,shaun-joplin-1
105891,Bobby Jordan,JR,2007-08,G,Drexel,CAA,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,bobby-jordan-1
105892,Bobby Jordan,SR,2008-09,G,Drexel,CAA,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,bobby-jordan-1
105893,Brandon Jordan,SR,2016-17,F,Savannah State,MEAC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brandon-jordan-1
105894,Cameron Jordan,FR,2007-08,,Tennessee State,OVC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,cameron-jordan-1
105895,Michael Jordan,FR,1997-98,F,Detroit Mercy,MW Coll,7,,0,1,0,0,0,1,0,0,,,4,2,1,0,,,0,michael-jordan-4
105896,Nick Jordan,SR,2011-12,G,Central Michigan,MAC,12,23,0,4,0,1,0,3,0,2,2,1,3,0,1,0,0,4,0,nick-jordan-1
105897,Nick Jordan,SO,2009-10,G,Central Michigan,MAC,12,14,0,2,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,nick-jordan-1
105898,Nick Jordan,FR,2008-09,G,Central Michigan,MAC,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,nick-jordan-1
105899,Peter Jordan,FR,2007-08,,UC-Santa Barbara,Big West,2,,0,1,0,1,0,0,0,0,,,1,0,0,1,1,,0,peter-jordan-1
105900,Raphael Jordan,SR,2012-13,G,Bryant,NEC,5,12,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,raphael-jordan-1
