Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Ioannis Stampoulis,Kavala,21,9.8,3.1,2.8,0.89,0.51,0.49,0.26,0.43,0.43,0.16,1.00,-1.45,0.3,0.1,1.4,/profile/Ioannis-Stampoulis-94875/,/stats/greek/2016/Kavala,2016,greek,Ioannis-Stampoulis-94875,Kavala
Dimitrios Stamatis,Nea Kifisia,17,9.4,2.6,2.2,0.90,0.55,0.53,0.16,0.42,1.29,0.58,2.44,3.46,0.2,0.0,1.1,/profile/Dimitrios-Stamatis-62817/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Dimitrios-Stamatis-62817,Nea%20Kifisia
Sokratis Gkelios,Kavala,17,9.3,1.4,1.8,0.74,0.38,0.35,0.10,0.37,0.65,0.37,11.00,3.96,0.2,0.1,0.9,/profile/Sokratis-Gkelios-66940/,/stats/greek/2016/Kavala,2016,greek,Sokratis-Gkelios-66940,Kavala
Petar Popovic,Nea Kifisia,20,9.3,1.9,2.3,0.63,0.38,0.34,0.22,0.51,0.60,0.27,1.20,-1.05,0.4,0.1,0.7,/profile/Petar-Popovic-62770/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Petar-Popovic-62770,Nea%20Kifisia
Nicholas Livas,Kavala,12,9.2,1.4,1.5,0.71,0.45,0.47,0.11,0.56,0.58,0.39,1.40,-0.30,0.3,0.0,1.3,/profile/Nicholas-Livas-95458/,/stats/greek/2016/Kavala,2016,greek,Nicholas-Livas-95458,Kavala
Slaven Tsoupkovitst,Aris,31,9.2,3.1,2.7,0.79,0.48,0.42,0.43,0.56,0.45,0.17,0.74,-3.39,0.2,0.0,1.3,/profile/Slaven-Tsoupkovitst-86912/,/stats/greek/2016/Aris,2016,greek,Slaven-Tsoupkovitst-86912,Aris
Vince Hunter,Panathinaikos,14,9.0,2.9,2.8,0.75,0.45,0.46,0.31,0.00,0.14,0.05,0.25,-5.24,0.2,0.3,1.9,/profile/Vince-Hunter-72560/,/stats/greek/2016/Panathinaikos,2016,greek,Vince-Hunter-72560,Panathinaikos
Yiorgos Dedas,PAOK,28,8.7,2.9,2.4,1.05,0.60,0.59,0.06,0.73,0.39,0.16,1.22,-0.69,0.1,0.0,1.3,/profile/Yiorgos-Dedas-38240/,/stats/greek/2016/PAOK,2016,greek,Yiorgos-Dedas-38240,PAOK
Ioannis Karathanasis,Trikalla,19,8.7,2.7,2.4,0.98,0.56,0.57,0.09,0.58,0.26,0.11,0.83,-1.55,0.2,0.1,1.4,/profile/Ioannis-Karathanasis-39871/,/stats/greek/2016/Trikalla,2016,greek,Ioannis-Karathanasis-39871,Trikalla
Ioannis Karamalegkos,Arkadikos,19,8.7,1.1,1.1,0.49,0.42,0.30,0.60,0.45,0.47,0.45,0.53,-6.86,0.3,0.0,1.4,/profile/Ioannis-Karamalegkos-62399/,/stats/greek/2016/Arkadikos,2016,greek,Ioannis-Karamalegkos-62399,Arkadikos
Jermaine Marshall,Nea Kifisia,8,8.7,4.9,3.5,1.24,0.67,0.66,0.11,0.64,0.38,0.11,1.50,0.00,0.3,0.0,1.9,/profile/Jermaine-Marshall-17937/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Jermaine-Marshall-17937,Nea%20Kifisia
Eleftherios Bochoridis,Panathinaikos,14,8.6,3.1,1.8,1.26,0.77,0.76,0.32,0.68,0.71,0.40,1.67,0.55,0.1,0.1,1.0,/profile/Eleftherios-Bochoridis-42188/,/stats/greek/2016/Panathinaikos,2016,greek,Eleftherios-Bochoridis-42188,Panathinaikos
Efthymios Tsakaleris,Rethymno,25,8.3,1.4,1.7,0.57,0.35,0.36,0.40,0.24,0.32,0.19,0.73,-2.68,0.2,0.0,2.2,/profile/Efthymios-Tsakaleris-39798/,/stats/greek/2016/Rethymno,2016,greek,Efthymios-Tsakaleris-39798,Rethymno
