Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Pau Ribas,Vitoria,37,19.3,14.0,6.2,12.9,1.12,5.2,69.6,7.5%,1.03,0.89,0.22,0.35,0.17,/profile/Pau-Ribas-5025/,/stats/acb/2012/Vitoria,2012,acb,Pau-Ribas-5025,Vitoria
Albert Oliver,Joventut,34,19.2,13.2,6.9,14.4,0.77,5.4,73.1,7.3%,0.95,0.79,0.36,0.54,0.21,/profile/Albert-Oliver-5604/,/stats/acb/2012/Joventut,2012,acb,Albert-Oliver-5604,Joventut
Ferran Lavina,Fuenlabrada,33,19.1,6.6,3.7,7.7,-1.33,4.5,72.2,6.3%,0.82,0.86,0.19,0.29,0.17,/profile/Ferran-Lavina-36724/,/stats/acb/2012/Fuenlabrada,2012,acb,Ferran-Lavina-36724,Fuenlabrada
Sergio Rodriguez,Real Madrid,46,18.9,15.3,7.7,16.3,1.95,7.8,73.5,10.6%,0.86,0.70,0.18,0.50,0.29,/profile/Sergio-Rodriguez-24/,/stats/acb/2012/Real%20Madrid,2012,acb,Sergio-Rodriguez-24,Real%20Madrid
Nemanja Bjelica,Vitoria,40,18.7,14.2,7.1,15.1,1.27,6.1,69.6,8.7%,1.01,0.90,0.25,0.13,0.13,/profile/Nemanja-Bjelica-5510/,/stats/acb/2012/Vitoria,2012,acb,Nemanja-Bjelica-5510,Vitoria
David Jelinek,Joventut,34,18.6,8.4,3.7,7.9,-0.76,8.4,73.1,11.5%,0.91,0.88,0.17,0.09,0.16,/profile/David-Jelinek-1348/,/stats/acb/2012/Joventut,2012,acb,David-Jelinek-1348,Joventut
Pancho Jasen,Sevilla,36,18.6,16.5,7.4,16.0,1.88,5.4,71.1,7.6%,1.10,0.96,0.26,0.18,0.15,/profile/Pancho-Jasen-5602/,/stats/acb/2012/Sevilla,2012,acb,Pancho-Jasen-5602,Sevilla
Sergei Lishouk,Valencia,30,18.5,20.7,8.9,19.3,2.72,7.4,72.1,10.3%,1.22,0.81,0.42,0.06,0.22,/profile/Sergei-Lishouk-5396/,/stats/acb/2012/Valencia,2012,acb,Sergei-Lishouk-5396,Valencia
Nacho Ordin,Alicante,2,18.3,-7.5,-1.5,-3.3,-0.33,4.7,69.7,6.8%,0.42,0.85,0.21,0.21,0.42,/profile/Nacho-Ordin-36261/,/stats/acb/2012/Alicante,2012,acb,Nacho-Ordin-36261,Alicante
Darius Songaila,Valladolid,10,18.3,14.2,7.1,15.5,0.30,9.4,71.8,13.1%,0.96,0.87,0.18,0.03,0.22,/profile/Darius-Songaila-4435/,/stats/acb/2012/Valladolid,2012,acb,Darius-Songaila-4435,Valladolid
Kevin Seraphin,Vitoria,10,18.3,16.9,7.9,17.3,0.55,7.2,69.6,10.3%,1.08,0.77,0.20,0.04,0.22,/profile/Kevin-Seraphin-5278/,/stats/acb/2012/Vitoria,2012,acb,Kevin-Seraphin-5278,Vitoria
Cedric Simmons,Estudiantes,31,18.2,15.3,6.9,15.2,1.25,5.0,72.4,6.9%,1.10,0.87,0.44,0.03,0.19,/profile/Cedric-Simmons-609/,/stats/acb/2012/Estudiantes,2012,acb,Cedric-Simmons-609,Estudiantes
Brad Newley,Valencia,24,18.1,16.3,6.7,14.8,1.18,5.6,72.1,7.8%,1.15,0.92,0.24,0.14,0.18,/profile/Brad-Newley-341/,/stats/acb/2012/Valencia,2012,acb,Brad-Newley-341,Valencia
Ante Tomic,Real Madrid,44,18.0,20.7,10.0,22.2,3.87,7.2,73.5,9.8%,1.11,0.80,0.33,0.12,0.17,/profile/Ante-Tomic-257/,/stats/acb/2012/Real%20Madrid,2012,acb,Ante-Tomic-257,Real%20Madrid
Samo Udrih,Valladolid,21,17.9,9.0,4.5,10.0,-0.34,6.2,71.8,8.7%,0.86,0.79,0.20,0.28,0.24,/profile/Samo-Udrih-36405/,/stats/acb/2012/Valladolid,2012,acb,Samo-Udrih-36405,Valladolid
Deron Washington,Obradoiro,34,17.9,11.2,5.6,12.5,0.10,6.3,71.9,8.7%,0.91,0.77,0.34,0.14,0.22,/profile/Deron-Washington-1173/,/stats/acb/2012/Obradoiro,2012,acb,Deron-Washington-1173,Obradoiro
Mark Payne,Malaga,11,17.7,13.9,6.3,14.2,0.30,4.5,74.3,6.0%,1.00,0.71,0.29,0.49,0.22,/profile/Mark-Payne-5679/,/stats/acb/2012/Malaga,2012,acb,Mark-Payne-5679,Malaga
Raul Neto,San Sebastian,37,17.7,12.9,5.8,13.2,0.67,6.4,74.4,8.6%,0.91,0.79,0.25,0.32,0.26,/profile/Raul-Neto-5958/,/stats/acb/2012/San%20Sebastian,2012,acb,Raul-Neto-5958,San%20Sebastian
