Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jean-Emmanuel Le Brun,Rouen,33,27.2,7.1,6.4,0.74,0.48,0.42,0.36,0.34,2.30,0.36,1.15,-1.71,1.6,0.0,2.8,/profile/Jean-Emmanuel-Le-Brun-38416/,/stats/french/2006/Rouen,2006,french,Jean-Emmanuel-Le-Brun-38416,Rouen
Alvin Young,Strasbourg,14,27.2,13.9,11.9,0.90,0.52,0.48,0.27,0.31,1.50,0.13,0.78,-3.47,1.3,0.1,1.9,/profile/Alvin-Young-38271/,/stats/french/2006/Strasbourg,2006,french,Alvin-Young-38271,Strasbourg
David Bailey,Gravelines,15,27.2,9.2,7.5,0.85,0.54,0.51,0.31,0.45,3.13,0.42,1.52,0.08,0.9,0.1,3.0,/profile/David-Bailey-33035/,/stats/french/2006/Gravelines,2006,french,David-Bailey-33035,Gravelines
Maleye NDoye,Dijon,29,27.0,10.6,9.3,0.92,0.52,0.49,0.22,0.40,1.62,0.17,1.47,-0.09,1.1,0.1,2.6,/profile/Maleye-NDoye-5470/,/stats/french/2006/Dijon,2006,french,Maleye-NDoye-5470,Dijon
Andrew Drevo,Brest,14,26.8,12.9,10.6,1.01,0.58,0.55,0.13,0.36,1.57,0.15,1.00,-1.83,1.1,1.0,3.4,/profile/Andrew-Drevo-31067/,/stats/french/2006/Brest,2006,french,Andrew-Drevo-31067,Brest
Willie Jenkins,Le Havre,22,26.7,8.1,7.9,0.72,0.46,0.41,0.28,0.49,1.95,0.25,0.90,-3.19,0.9,0.0,1.3,/profile/Willie-Jenkins-29094/,/stats/french/2006/Le%20Havre,2006,french,Willie-Jenkins-29094,Le%20Havre
Steeve Essart,Cholet,40,26.5,6.5,4.8,0.87,0.55,0.45,0.58,0.54,4.08,0.86,3.08,5.37,0.8,0.0,1.4,/profile/Steeve-Essart-37629/,/stats/french/2006/Cholet,2006,french,Steeve-Essart-37629,Cholet
Stan Blackmon,Brest,5,26.4,11.8,7.2,1.10,0.71,0.69,0.36,0.44,0.80,0.11,0.36,-5.89,1.2,0.2,3.0,/profile/Stan-Blackmon-38583/,/stats/french/2006/Brest,2006,french,Stan-Blackmon-38583,Brest
Kyle Milling,Hyeres-Toulon,34,25.9,4.0,2.5,0.88,0.63,0.63,0.65,0.01,1.00,0.40,0.77,-2.42,0.6,0.4,3.4,/profile/Kyle-Milling-36156/,/stats/french/2006/Hyeres-Toulon,2006,french,Kyle-Milling-36156,Hyeres-Toulon
Aymeric Jeanneau,Strasbourg,33,25.8,7.3,5.8,0.82,0.54,0.51,0.36,0.53,3.76,0.65,1.85,1.87,1.2,0.1,3.0,/profile/Aymeric-Jeanneau-36589/,/stats/french/2006/Strasbourg,2006,french,Aymeric-Jeanneau-36589,Strasbourg
