Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Mickael Pietrus,Nancy,18,20.3,17.0,3.2,6.9,46.0%,2.7,8.9,30.5%,2.5,3.7,67.6%,1.1,2.5,3.6,1.8,1.1,0.3,2.9,3.9,/profile/Mickael-Pietrus-3953/,/stats/french/2016/Nancy,2016,french,Mickael-Pietrus-3953,Nancy
Aaron Cel,Monaco,40,16.3,16.9,4.5,6.6,68.2%,2.1,5.4,39.1%,1.5,2.0,75.0%,2.0,6.9,8.9,1.7,1.4,0.1,1.7,4.9,/profile/Aaron-Cel-38257/,/stats/french/2016/Monaco,2016,french,Aaron-Cel-38257,Monaco
Robert Dozier,Le Mans,10,27.9,16.8,6.0,10.5,56.9%,1.0,2.2,46.7%,1.8,2.6,66.7%,3.1,8.9,12.0,0.6,1.9,1.9,2.3,4.4,/profile/Robert-Dozier-600/,/stats/french/2016/Le%20Mans,2016,french,Robert-Dozier-600,Le%20Mans
Will Daniels,Limoges,30,19.3,16.8,5.0,9.7,51.8%,1.2,4.3,27.9%,3.2,3.7,86.8%,1.5,5.7,7.2,2.0,1.0,0.6,2.0,5.4,/profile/Will-Daniels-1209/,/stats/french/2016/Limoges,2016,french,Will-Daniels-1209,Limoges
Steven Smith,Pau-Orthez,36,32.8,16.8,4.4,8.5,51.6%,1.9,5.0,38.3%,2.3,2.8,80.7%,1.0,5.3,6.4,1.9,0.7,0.2,2.1,3.1,/profile/Steven-Smith-387/,/stats/french/2016/Pau-Orthez,2016,french,Steven-Smith-387,Pau-Orthez
Romeo Travis,Le Mans,25,29.7,16.6,5.9,13.1,45.2%,0.5,1.2,42.9%,3.2,4.2,76.6%,3.5,6.6,10.1,2.6,1.2,0.9,2.3,3.1,/profile/Romeo-Travis-27214/,/stats/french/2016/Le%20Mans,2016,french,Romeo-Travis-27214,Le%20Mans
Jeremy Nzeulie,Nanterre,36,27.0,16.6,3.1,5.7,54.0%,2.8,7.8,35.6%,2.1,2.7,80.0%,0.9,3.3,4.2,3.2,0.9,0.2,2.2,3.1,/profile/Jeremy-Nzeulie-64821/,/stats/french/2016/Nanterre,2016,french,Jeremy-Nzeulie-64821,Nanterre
Kyle McAlarney,Orleans,34,29.7,16.4,2.1,3.7,56.7%,3.8,8.0,47.7%,0.8,0.9,87.0%,0.3,2.1,2.5,4.1,0.8,0.0,2.1,2.3,/profile/Kyle-McAlarney-5321/,/stats/french/2016/Orleans,2016,french,Kyle-McAlarney-5321,Orleans
Jahmar Young,Paris-Levallois,10,32.9,16.4,3.0,5.8,52.1%,2.4,6.7,36.4%,3.0,3.6,83.3%,0.7,2.8,3.5,3.5,1.2,0.2,1.9,4.1,/profile/Jahmar-Young-21647/,/stats/french/2016/Paris-Levallois,2016,french,Jahmar-Young-21647,Paris-Levallois
Tyrone Brazelton,Gravelines,23,19.3,16.4,3.9,8.3,46.7%,2.3,7.2,32.5%,1.6,2.2,72.0%,0.4,2.6,3.1,4.9,1.7,0.0,1.9,3.2,/profile/Tyrone-Brazelton-5627/,/stats/french/2016/Gravelines,2016,french,Tyrone-Brazelton-5627,Gravelines
Darryl Watkins,Villeurbanne,45,21.6,16.3,5.9,11.9,49.5%,0.0,0.1,0.0%,4.5,6.3,72.6%,4.7,8.4,13.0,1.4,1.8,1.4,3.0,5.0,/profile/Darryl-Watkins-182/,/stats/french/2016/Villeurbanne,2016,french,Darryl-Watkins-182,Villeurbanne
