Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jukka Matinen,Frankfurt,3,9.9,1.7,1.0,1.25,0.64,0.50,0.67,1.00,0.00,0.00,0.00,0.00,0.0,0.0,1.3,/profile/Jukka-Matinen-36854/,/stats/eurocup/2006/Frankfurt,2006,eurocup,Jukka-Matinen-36854,Frankfurt
Kristaps Purnis,Ventspils,6,9.9,2.3,2.7,0.74,0.44,0.44,0.00,0.63,0.33,0.13,0.67,-2.68,0.0,0.0,1.2,/profile/Kristaps-Purnis-37434/,/stats/eurocup/2006/Ventspils,2006,eurocup,Kristaps-Purnis-37434,Ventspils
Wayne Turner,Charleroi,5,9.8,1.8,1.6,0.49,0.48,0.50,0.38,0.00,0.40,0.25,0.22,-15.93,0.2,0.4,2.0,/profile/Wayne-Turner-4667/,/stats/eurocup/2006/Charleroi,2006,eurocup,Wayne-Turner-4667,Charleroi
Axel Weigand,Alicante,8,9.8,2.4,1.3,0.95,0.70,0.65,0.80,0.50,0.75,0.60,1.00,-2.61,0.5,0.1,0.8,/profile/Axel-Weigand-37746/,/stats/eurocup/2006/Alicante,2006,eurocup,Axel-Weigand-37746,Alicante
Johnny Taylor,Alicante,2,9.6,1.0,4.0,0.20,0.13,0.13,0.00,0.50,0.00,0.00,0.00,-10.60,0.0,0.5,0.5,/profile/Johnny-Taylor-4550/,/stats/eurocup/2006/Alicante,2006,eurocup,Johnny-Taylor-4550,Alicante
Miljan Pupovic,FMP Belgrade,2,9.5,2.0,3.5,0.57,0.29,0.29,0.00,0.14,0.00,0.00,0.00,0.00,0.5,0.0,2.0,/profile/Miljan-Pupovic-38494/,/stats/eurocup/2006/FMP%20Belgrade,2006,eurocup,Miljan-Pupovic-38494,FMP%20Belgrade
Raimonds Vaikulis,Ventspils,11,9.5,2.5,2.9,0.64,0.38,0.33,0.25,0.25,0.55,0.19,1.00,-1.83,0.1,0.2,0.6,/profile/Raimonds-Vaikulis-37010/,/stats/eurocup/2006/Ventspils,2006,eurocup,Raimonds-Vaikulis-37010,Ventspils
Alexey Zhukanenko,UNICS,4,9.3,4.5,3.5,0.86,0.54,0.54,0.43,0.29,0.00,0.00,0.00,-10.88,1.0,0.3,2.3,/profile/Alexey-Zhukanenko-38267/,/stats/eurocup/2006/UNICS,2006,eurocup,Alexey-Zhukanenko-38267,UNICS
Ibrahim Diarra,Frankfurt,2,9.3,1.0,0.5,0.50,0.53,1.00,2.00,0.00,0.00,0.00,0.00,-10.84,0.5,0.0,0.5,/profile/Ibrahim-Diarra-36038/,/stats/eurocup/2006/Frankfurt,2006,eurocup,Ibrahim-Diarra-36038,Frankfurt
Carlos Hurt,Sofia,2,9.1,3.0,2.5,1.00,0.60,0.60,0.00,0.80,0.50,0.20,1.00,-1.77,1.0,0.0,3.0,/profile/Carlos-Hurt-34635/,/stats/eurocup/2006/Sofia,2006,eurocup,Carlos-Hurt-34635,Sofia
