RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
137,"			
												Erik Daniels
											","
											"," 
											",-0.22,/profile/Erik-Daniels-2135/,2000,Erik-Daniels-2135
139,"			
												Brandon Robinson
											","
											"," 
											",-,/profile/Brandon-Robinson-31883/,2000,Brandon-Robinson-31883
139,"			
												Darris Manciel
											","
											"," 
											",-,/profile/Darris-Manciel-28041/,2000,Darris-Manciel-28041
139,"			
												Michael Southall
											","
											"," 
											",-,/profile/Michael-Southall-473/,2000,Michael-Southall-473
142,"			
												Andre Owens
											","
											"," 
											",-0.38,/profile/Andre-Owens-360/,2000,Andre-Owens-360
143,"			
												Scott Hundley
											","
											"," 
											",-,/profile/Scott-Hundley-32063/,2000,Scott-Hundley-32063
144,"			
												Zach Williams
											","
											"," 
											",-,/profile/Zach-Williams-30580/,2000,Zach-Williams-30580
144,"			
												Ellis Myles
											","
											"," 
											",-,/profile/Ellis-Myles-29714/,2000,Ellis-Myles-29714
146,"			
												Michael Boynton
											","
											"," 
											",-,/profile/Michael-Boynton-30751/,2000,Michael-Boynton-30751
147,"			
												John Toombs
											","
											"," 
											",-,/profile/John-Toombs-53417/,2000,John-Toombs-53417
147,"			
												Gerald Fitch
											","
											"," 
											",-0.08,/profile/Gerald-Fitch-5407/,2000,Gerald-Fitch-5407
149,"			
												Bonell Colas
											","
											"," 
											",-,/profile/Bonell-Colas-31509/,2000,Bonell-Colas-31509
149,"			
												Jameel Pugh
											","
											"," 
											",-,/profile/Jameel-Pugh-29313/,2000,Jameel-Pugh-29313
151,"			
												Jamaal Scott
											","
											"," 
											",-,/profile/Jamaal-Scott-29329/,2000,Jamaal-Scott-29329
151,"			
												Odartey Blankson
											","
											"," 
											",-,/profile/Odartey-Blankson-96/,2000,Odartey-Blankson-96
1,"			
												Eddy Curry
											","
													4
											"," 
												2001
											",3.03,/profile/Eddy-Curry-2119/,2001,Eddy-Curry-2119
2,"			
												Kelvin Torbert
											","
											"," 
											",-,/profile/Kelvin-Torbert-29637/,2001,Kelvin-Torbert-29637
3,"			
												Dajuan Wagner
											","
													6
											"," 
												2002
											",-0.26,/profile/Dajuan-Wagner-4731/,2001,Dajuan-Wagner-4731
4,"			
												Tyson Chandler
											","
													2
											"," 
												2001
											",5.13,/profile/Tyson-Chandler-1974/,2001,Tyson-Chandler-1974
5,"			
												Ousmane Cisse
											","
													46
											"," 
												2001
											",-,/profile/Ousmane-Cisse-5297/,2001,Ousmane-Cisse-5297
6,"			
												Kwame Brown
											","
													1
											"," 
												2001
											",0.81,/profile/Kwame-Brown-1827/,2001,Kwame-Brown-1827
7,"			
												Julius Hodge
											","
													20
											"," 
												2005
											",-0.00,/profile/Julius-Hodge-8/,2001,Julius-Hodge-8
8,"			
												Desagana Diop
											","
													8
											"," 
												2001
											",-0.28,/profile/Desagana-Diop-2241/,2001,Desagana-Diop-2241
9,"			
												Rick Rickert
											","
													55
											"," 
												2003
											",-,/profile/Rick-Rickert-5298/,2001,Rick-Rickert-5298
10,"			
												David Lee
											","
													30
											"," 
												2005
											",7.78,/profile/David-Lee-87/,2001,David-Lee-87
11,"			
												Jawad Williams
											","
											"," 
											",-0.71,/profile/Jawad-Williams-20/,2001,Jawad-Williams-20
12,"			
												Carlos Hurt
											","
											"," 
											",-,/profile/Carlos-Hurt-34635/,2001,Carlos-Hurt-34635
13,"			
												James White
											","
													31
											"," 
												2006
											",-0.09,/profile/James-White-71/,2001,James-White-71
14,"			
												David Harrison
											","
													29
											"," 
												2004
											",0.05,/profile/David-Harrison-2748/,2001,David-Harrison-2748
14,"			
												Jonathan Hargett
											","
											"," 
											",-,/profile/Jonathan-Hargett-33835/,2001,Jonathan-Hargett-33835
16,"			
												Aaron Miles
											","
											"," 
											",-0.28,/profile/Aaron-Miles-73/,2001,Aaron-Miles-73
17,"			
												Maurice Williams
											","
													47
											"," 
												2003
											",3.25,/profile/Maurice-Williams-4926/,2001,Maurice-Williams-4926
18,"			
												T.J. Ford
											","
													8
											"," 
												2003
											",3.13,/profile/T.J.-Ford-2446/,2001,T.J.-Ford-2446
19,"			
												Josh Childress
											","
													6
											"," 
												2004
											",3.12,/profile/Josh-Childress-1988/,2001,Josh-Childress-1988
20,"			
												Cedric Bozeman
											","
											"," 
											",-1.08,/profile/Cedric-Bozeman-108/,2001,Cedric-Bozeman-108
21,"			
												Wayne Simien
											","
													29
											"," 
												2005
											",-0.04,/profile/Wayne-Simien-82/,2001,Wayne-Simien-82
22,"			
												Rashaad Carruth
											","
											"," 
											",-,/profile/Rashaad-Carruth-29190/,2001,Rashaad-Carruth-29190
23,"			
												Jamal Sampson
											","
													46
											"," 
												2002
											",0.14,/profile/Jamal-Sampson-4219/,2001,Jamal-Sampson-4219
24,"			
												John Allen
											","
											"," 
											",-,/profile/John-Allen-29246/,2001,John-Allen-29246
25,"			
												Jackie Manuel
											","
											"," 
											",-,/profile/Jackie-Manuel-439/,2001,Jackie-Manuel-439
26,"			
												Anthony Richardson
											","
											"," 
											",-,/profile/Anthony-Richardson-29969/,2001,Anthony-Richardson-29969
26,"			
												JaQuan Hart
											","
											"," 
											",-,/profile/JaQuan-Hart-31553/,2001,JaQuan-Hart-31553
28,"			
												Julian Sensley
											","
											"," 
											",-,/profile/Julian-Sensley-363/,2001,Julian-Sensley-363
29,"			
												Dijon Thompson
											","
													54
											"," 
												2005
											",0.13,/profile/Dijon-Thompson-112/,2001,Dijon-Thompson-112
30,"			
												Daniel Ewing
											","
													32
											"," 
												2005
											",-1.05,/profile/Daniel-Ewing-4/,2001,Daniel-Ewing-4
31,"			
												Alan Anderson
											","
											"," 
											",-0.17,/profile/Alan-Anderson-391/,2001,Alan-Anderson-391
32,"			
												Dennis Latimore
											","
											"," 
											",-,/profile/Dennis-Latimore-29432/,2001,Dennis-Latimore-29432
33,"			
												Jason Maxiell
											","
													26
											"," 
												2005
											",1.23,/profile/Jason-Maxiell-419/,2001,Jason-Maxiell-419
33,"			
												Pierre Pierce
											","
											"," 
											",-,/profile/Pierre-Pierce-178/,2001,Pierre-Pierce-178
35,"			
												Chris Thomas
											","
											"," 
											",-,/profile/Chris-Thomas-36/,2001,Chris-Thomas-36
35,"			
												Robert Whaley
											","
													51
											"," 
												2005
											",-0.33,/profile/Robert-Whaley-445/,2001,Robert-Whaley-445
37,"			
												Billy Edelin
											","
											"," 
											",-,/profile/Billy-Edelin-29111/,2001,Billy-Edelin-29111
38,"			
												Melvin Scott
											","
											"," 
											",-,/profile/Melvin-Scott-29484/,2001,Melvin-Scott-29484
39,"			
												Elton Brown
											","
											"," 
											",-,/profile/Elton-Brown-5040/,2001,Elton-Brown-5040
40,"			
												Andre Patterson
											","
											"," 
											",-,/profile/Andre-Patterson-27488/,2001,Andre-Patterson-27488
41,"			
												Travis Diener
											","
													38
											"," 
												2005
											",0.36,/profile/Travis-Diener-80/,2001,Travis-Diener-80
42,"			
												Ben Gordon
											","
													3
											"," 
												2004
											",3.72,/profile/Ben-Gordon-2585/,2001,Ben-Gordon-2585
43,"			
												Dommanic Ingerson
											","
											"," 
											",-,/profile/Dommanic-Ingerson-27660/,2001,Dommanic-Ingerson-27660
44,"			
												Brandon Bender
											","
											"," 
											",-,/profile/Brandon-Bender-34633/,2001,Brandon-Bender-34633
45,"			
												Brandon Fuss-Cheatham
											","
											"," 
											",-,/profile/Brandon-Fuss-Cheatham-29421/,2001,Brandon-Fuss-Cheatham-29421
46,"			
												Chuck Hayes
											","
											"," 
											",0.71,/profile/Chuck-Hayes-110/,2001,Chuck-Hayes-110
47,"			
												Earnest Shelton
											","
											"," 
											",-,/profile/Earnest-Shelton-30341/,2001,Earnest-Shelton-30341
48,"			
												Charles Frederick
											","
											"," 
											",-,/profile/Charles-Frederick-33840/,2001,Charles-Frederick-33840
49,"			
												Ed Nelson
											","
											"," 
											",-,/profile/Ed-Nelson-28532/,2001,Ed-Nelson-28532
50,"			
												Jamaal Levy
											","
											"," 
											",-,/profile/Jamaal-Levy-10/,2001,Jamaal-Levy-10
50,"			
												Quemont Greer
											","
											"," 
											",-,/profile/Quemont-Greer-318/,2001,Quemont-Greer-318
52,"			
												Keith Jackson
											","
											"," 
											",-,/profile/Keith-Jackson-30589/,2001,Keith-Jackson-30589
53,"			
												Will Bynum
											","
											"," 
											",1.55,/profile/Will-Bynum-322/,2001,Will-Bynum-322
53,"			
												Marco Killingsworth
											","
											"," 
											",-,/profile/Marco-Killingsworth-603/,2001,Marco-Killingsworth-603
55,"			
												Greg Tinch
											","
											"," 
											",-,/profile/Greg-Tinch-53404/,2001,Greg-Tinch-53404
55,"			
												Chey Christie
											","
											"," 
											",-,/profile/Chey-Christie-27632/,2001,Chey-Christie-27632
55,"			
												Tony Key
											","
											"," 
											",-,/profile/Tony-Key-53405/,2001,Tony-Key-53405
58,"			
												Najeeb Echols
											","
											"," 
											",-,/profile/Najeeb-Echols-31386/,2001,Najeeb-Echols-31386
59,"			
												Dwayne Mitchell
											","
											"," 
											",-,/profile/Dwayne-Mitchell-515/,2001,Dwayne-Mitchell-515
60,"			
												Levi Watkins
											","
											"," 
											",-,/profile/Levi-Watkins-29494/,2001,Levi-Watkins-29494
61,"			
												Matt Sylvester
											","
											"," 
											",-,/profile/Matt-Sylvester-27801/,2001,Matt-Sylvester-27801
62,"			
												Roger Powell
											","
											"," 
											",-0.13,/profile/Roger-Powell-331/,2001,Roger-Powell-331
63,"			
												Harvey Thomas
											","
											"," 
											",-,/profile/Harvey-Thomas-31866/,2001,Harvey-Thomas-31866
64,"			
												LeVar Seals
											","
											"," 
											",-,/profile/LeVar-Seals-30070/,2001,LeVar-Seals-30070
65,"			
												Josh Powell
											","
											"," 
											",-0.39,/profile/Josh-Powell-5190/,2001,Josh-Powell-5190
66,"			
												Marcellus Sommerville
											","
											"," 
											",-,/profile/Marcellus-Sommerville-347/,2001,Marcellus-Sommerville-347
67,"			
												Duane John
											","
											"," 
											",-,/profile/Duane-John-29534/,2001,Duane-John-29534
68,"			
												Errick Craven
											","
											"," 
											",-,/profile/Errick-Craven-30457/,2001,Errick-Craven-30457
69,"			
												Salim Stoudamire
											","
													31
											"," 
												2005
											",0.44,/profile/Salim-Stoudamire-109/,2001,Salim-Stoudamire-109
70,"			
												Rob Little
											","
											"," 
											",-,/profile/Rob-Little-353/,2001,Rob-Little-353
71,"			
												Larry Turner
											","
											"," 
											",-,/profile/Larry-Turner-5442/,2001,Larry-Turner-5442
72,"			
												Anthony McHenry
											","
											"," 
											",-,/profile/Anthony-McHenry-29928/,2001,Anthony-McHenry-29928
72,"			
												Marcus Spears
											","
											"," 
											",-,/profile/Marcus-Spears-53406/,2001,Marcus-Spears-53406
74,"			
												Isma'il Muhammad
											","
											"," 
											",-,/profile/Isma-il-Muhammad-13/,2001,Isma-il-Muhammad-13
75,"			
												Marcus Campbell
											","
											"," 
											",-,/profile/Marcus-Campbell-5642/,2001,Marcus-Campbell-5642
76,"			
												Anthony Rice
											","
											"," 
											",-,/profile/Anthony-Rice-29653/,2001,Anthony-Rice-29653
77,"			
												Winsome Frazier
											","
											"," 
											",-,/profile/Winsome-Frazier-29615/,2001,Winsome-Frazier-29615
78,"			
												Jamaal Williams
											","
											"," 
											",-,/profile/Jamaal-Williams-28954/,2001,Jamaal-Williams-28954
79,"			
												Craig Forth
											","
											"," 
											",-,/profile/Craig-Forth-29112/,2001,Craig-Forth-29112
80,"			
												Erroll Knight
											","
											"," 
											",-,/profile/Erroll-Knight-398/,2001,Erroll-Knight-398
80,"			
												Ernest Turner
											","
											"," 
											",-,/profile/Ernest-Turner-28080/,2001,Ernest-Turner-28080
82,"			
												Taurance Johnson
											","
											"," 
											",-,/profile/Taurance-Johnson-31520/,2001,Taurance-Johnson-31520
83,"			
												Mitchell Baldwin
											","
											"," 
											",-,/profile/Mitchell-Baldwin-28595/,2001,Mitchell-Baldwin-28595
84,"			
												Eddie Basden
											","
											"," 
											",-0.03,/profile/Eddie-Basden-388/,2001,Eddie-Basden-388
85,"			
												Vytas Danelius
											","
											"," 
											",-,/profile/Vytas-Danelius-1/,2001,Vytas-Danelius-1
86,"			
												Jermaine Watson
											","
											"," 
											",-,/profile/Jermaine-Watson-30240/,2001,Jermaine-Watson-30240
87,"			
												Lawrence Roberts
											","
													55
											"," 
												2005
											",0.76,/profile/Lawrence-Roberts-83/,2001,Lawrence-Roberts-83
87,"			
												Channing Frye
											","
													8
											"," 
												2005
											",2.17,/profile/Channing-Frye-85/,2001,Channing-Frye-85
89,"			
												Derek Stribling
											","
											"," 
											",-,/profile/Derek-Stribling-27495/,2001,Derek-Stribling-27495
90,"			
												Mike Jensen
											","
											"," 
											",-,/profile/Mike-Jensen-28955/,2001,Mike-Jensen-28955
91,"			
												Keith Langford
											","
											"," 
											",-0.06,/profile/Keith-Langford-111/,2001,Keith-Langford-111
92,"			
												Jason Clark
											","
											"," 
											",-,/profile/Jason-Clark-30499/,2001,Jason-Clark-30499
92,"			
												Jason Braxton
											","
											"," 
											",-,/profile/Jason-Braxton-30309/,2001,Jason-Braxton-30309
94,"			
												Marcus Austin
											","
											"," 
											",-,/profile/Marcus-Austin-30486/,2001,Marcus-Austin-30486
94,"			
												Chris Hernandez
											","
											"," 
											",-,/profile/Chris-Hernandez-395/,2001,Chris-Hernandez-395
96,"			
												Terry Licorish
											","
											"," 
											",-,/profile/Terry-Licorish-53407/,2001,Terry-Licorish-53407
97,"			
												B.J. Elder
											","
											"," 
											",-,/profile/B.J.-Elder-3/,2001,B.J.-Elder-3
98,"			
												Carl Krauser
											","
											"," 
											",-,/profile/Carl-Krauser-66/,2001,Carl-Krauser-66
99,"			
												Emeka Okafor
											","
													2
											"," 
												2004
											",6.39,/profile/Emeka-Okafor-3810/,2001,Emeka-Okafor-3810
100,"			
												Michael Fey
											","
											"," 
											",-,/profile/Michael-Fey-28872/,2001,Michael-Fey-28872
101,"			
												Antonio Hudson
											","
											"," 
											",-,/profile/Antonio-Hudson-29701/,2001,Antonio-Hudson-29701
102,"			
												Jason Holwerda
											","
											"," 
											",-,/profile/Jason-Holwerda-30482/,2001,Jason-Holwerda-30482
102,"			
												Hakim Warrick
											","
													19
											"," 
												2005
											",2.46,/profile/Hakim-Warrick-42/,2001,Hakim-Warrick-42
104,"			
												Jarius Glenn
											","
											"," 
											",-,/profile/Jarius-Glenn-30404/,2001,Jarius-Glenn-30404
105,"			
												Isaiah Fox
											","
											"," 
											",-,/profile/Isaiah-Fox-28758/,2001,Isaiah-Fox-28758
106,"			
												Dennis Coutee
											","
											"," 
											",-,/profile/Dennis-Coutee-53408/,2001,Dennis-Coutee-53408
107,"			
												Terence Dials
											","
											"," 
											",-,/profile/Terence-Dials-357/,2001,Terence-Dials-357
108,"			
												Derrick Craven
											","
											"," 
											",-,/profile/Derrick-Craven-30458/,2001,Derrick-Craven-30458
109,"			
												Jermaine Harper
											","
											"," 
											",-,/profile/Jermaine-Harper-28651/,2001,Jermaine-Harper-28651
109,"			
												Joe See
											","
											"," 
											",-,/profile/Joe-See-28865/,2001,Joe-See-28865
111,"			
												Ron Howard
											","
											"," 
											",-,/profile/Ron-Howard-5952/,2001,Ron-Howard-5952
111,"			
												Duane Erwin
											","
											"," 
											",-,/profile/Duane-Erwin-29652/,2001,Duane-Erwin-29652
113,"			
												Luther Head
											","
													24
											"," 
												2005
											",0.82,/profile/Luther-Head-320/,2001,Luther-Head-320
113,"			
												Simplice Njoya
											","
											"," 
											",-,/profile/Simplice-Njoya-28036/,2001,Simplice-Njoya-28036
115,"			
												Jeffrey Ferguson
											","
											"," 
											",-,/profile/Jeffrey-Ferguson-29593/,2001,Jeffrey-Ferguson-29593
116,"			
												Jordan Cornette
											","
											"," 
											",-,/profile/Jordan-Cornette-29431/,2001,Jordan-Cornette-29431
117,"			
												Matt Carroll
											","
											"," 
											",-,/profile/Matt-Carroll-40383/,2001,Matt-Carroll-40383
117,"			
												Chris McRae
											","
											"," 
											",-,/profile/Chris-McRae-34806/,2001,Chris-McRae-34806
119,"			
												Chris Jackson
											","
											"," 
											",-,/profile/Chris-Jackson-28900/,2001,Chris-Jackson-28900
120,"			
												Adam Chiles
											","
											"," 
											",-,/profile/Adam-Chiles-31082/,2001,Adam-Chiles-31082
121,"			
												Danny Horace
											","
											"," 
											",-,/profile/Danny-Horace-29640/,2001,Danny-Horace-29640
122,"			
												Adrian Moss
											","
											"," 
											",-,/profile/Adrian-Moss-28384/,2001,Adrian-Moss-28384
123,"			
												Chris Alexander
											","
											"," 
											",-,/profile/Chris-Alexander-5443/,2001,Chris-Alexander-5443
124,"			
												Karl Hollingsworth
											","
											"," 
											",-,/profile/Karl-Hollingsworth-27522/,2001,Karl-Hollingsworth-27522
124,"			
												Omari Westley
											","
											"," 
											",-,/profile/Omari-Westley-30129/,2001,Omari-Westley-30129
126,"			
												Adam Waleskowski
											","
											"," 
											",-,/profile/Adam-Waleskowski-29970/,2001,Adam-Waleskowski-29970
126,"			
												Latrell Fleming
											","
											"," 
											",-,/profile/Latrell-Fleming-53409/,2001,Latrell-Fleming-53409
128,"			
												Martin Osimani
											","
											"," 
											",-,/profile/Martin-Osimani-30050/,2001,Martin-Osimani-30050
129,"			
												Josh Pace
											","
											"," 
											",-,/profile/Josh-Pace-29113/,2001,Josh-Pace-29113
129,"			
												Demarshay Johnson
											","
											"," 
											",-,/profile/Demarshay-Johnson-24963/,2001,Demarshay-Johnson-24963
131,"			
												Erik Bond
											","
											"," 
											",-,/profile/Erik-Bond-27677/,2001,Erik-Bond-27677
132,"			
												Chris Hill
											","
											"," 
											",-,/profile/Chris-Hill-29636/,2001,Chris-Hill-29636
133,"			
												Jordan Collins
											","
											"," 
											",-,/profile/Jordan-Collins-29495/,2001,Jordan-Collins-29495
134,"			
												Kenny Taylor
											","
											"," 
											",-,/profile/Kenny-Taylor-30381/,2001,Kenny-Taylor-30381
134,"			
												Chris Charles
											","
											"," 
											",-,/profile/Chris-Charles-28925/,2001,Chris-Charles-28925
136,"			
												Josh Carrier
											","
											"," 
											",-,/profile/Josh-Carrier-29774/,2001,Josh-Carrier-29774
136,"			
												Mark Konecny
											","
											"," 
											",-,/profile/Mark-Konecny-34051/,2001,Mark-Konecny-34051
138,"			
												Sean Kline
											","
											"," 
											",-,/profile/Sean-Kline-28238/,2001,Sean-Kline-28238
138,"			
												Jason Fontenet
											","
											"," 
											",-,/profile/Jason-Fontenet-27782/,2001,Jason-Fontenet-27782
138,"			
												Marcus Sloan
											","
											"," 
											",-,/profile/Marcus-Sloan-29104/,2001,Marcus-Sloan-29104
141,"			
												Will Caudle
											","
											"," 
											",-,/profile/Will-Caudle-29030/,2001,Will-Caudle-29030
141,"			
												Kelly Whitney
											","
											"," 
											",-,/profile/Kelly-Whitney-27639/,2001,Kelly-Whitney-27639
141,"			
												Jason Wallace-Carter
											","
											"," 
											",-,/profile/Jason-Wallace-Carter-27661/,2001,Jason-Wallace-Carter-27661
144,"			
												Floyd North
											","
											"," 
											",-,/profile/Floyd-North-29280/,2001,Floyd-North-29280
144,"			
												Larry O'Bannon
											","
											"," 
											",-,/profile/Larry-O-Bannon-29715/,2001,Larry-O-Bannon-29715
146,"			
												Michael Southall
											","
											"," 
											",-,/profile/Michael-Southall-473/,2001,Michael-Southall-473
146,"			
												Nile Murry
											","
											"," 
											",-,/profile/Nile-Murry-27513/,2001,Nile-Murry-27513
148,"			
												Kenny Adeleke
											","
											"," 
											",-,/profile/Kenny-Adeleke-1039/,2001,Kenny-Adeleke-1039
148,"			
												Adrian McPherson
											","
											"," 
											",-,/profile/Adrian-McPherson-34889/,2001,Adrian-McPherson-34889
150,"			
												Drew Schifino
											","
											"," 
											",-,/profile/Drew-Schifino-478/,2001,Drew-Schifino-478
150,"			
												Rafael Luis
											","
											"," 
											",-,/profile/Rafael-Luis-53410/,2001,Rafael-Luis-53410
150,"			
												Anthony Washington
											","
											"," 
											",-,/profile/Anthony-Washington-26160/,2001,Anthony-Washington-26160
1,"			
												Amare Stoudemire
											","
													9
											"," 
												2002
											",9.57,/profile/Amare-Stoudemire-4498/,2002,Amare-Stoudemire-4498
2,"			
												Carmelo Anthony
											","
													3
											"," 
												2003
											",11.74,/profile/Carmelo-Anthony-1520/,2002,Carmelo-Anthony-1520
3,"			
												Raymond Felton
											","
													5
											"," 
												2005
											",3.21,/profile/Raymond-Felton-5/,2002,Raymond-Felton-5
4,"			
												Rashad McCants
											","
													14
											"," 
												2005
											",1.03,/profile/Rashad-McCants-12/,2002,Rashad-McCants-12
5,"			
												Lenny Cooke
											","
											"," 
											",-,/profile/Lenny-Cooke-53399/,2002,Lenny-Cooke-53399
6,"			
												Chris Bosh
											","
													4
											"," 
												2003
											",11.84,/profile/Chris-Bosh-1740/,2002,Chris-Bosh-1740
6,"			
												Jason Fraser
											","
											"," 
											",-,/profile/Jason-Fraser-157/,2002,Jason-Fraser-157
8,"			
												Paul Davis
											","
													34
											"," 
												2006
											",-0.01,/profile/Paul-Davis-75/,2002,Paul-Davis-75
9,"			
												Shelden Williams
											","
													5
											"," 
												2006
											",0.52,/profile/Shelden-Williams-18/,2002,Shelden-Williams-18
10,"			
												Sean May
											","
													13
											"," 
												2005
											",0.96,/profile/Sean-May-11/,2002,Sean-May-11
11,"			
												DeAngelo Collins
											","
											"," 
											",-,/profile/DeAngelo-Collins-36661/,2002,DeAngelo-Collins-36661
12,"			
												J.J. Redick
											","
													11
											"," 
												2006
											",2.89,/profile/J.J.-Redick-16/,2002,J.J.-Redick-16
13,"			
												Bracey Wright
											","
													47
											"," 
												2005
											",0.18,/profile/Bracey-Wright-130/,2002,Bracey-Wright-130
14,"			
												Evan Burns
											","
											"," 
											",-,/profile/Evan-Burns-32598/,2002,Evan-Burns-32598
15,"			
												Shavlik Randolph
											","
											"," 
											",0.11,/profile/Shavlik-Randolph-15/,2002,Shavlik-Randolph-15
16,"			
												Torin Francis
											","
											"," 
											",-,/profile/Torin-Francis-35/,2002,Torin-Francis-35
17,"			
												Daniel Horton
											","
											"," 
											",-,/profile/Daniel-Horton-127/,2002,Daniel-Horton-127
18,"			
												Anthony Roberson
											","
											"," 
											",0.04,/profile/Anthony-Roberson-131/,2002,Anthony-Roberson-131
19,"			
												Chris Rodgers
											","
											"," 
											",-,/profile/Chris-Rodgers-349/,2002,Chris-Rodgers-349
20,"			
												Antoine Wright
											","
													15
											"," 
												2005
											",-1.20,/profile/Antoine-Wright-125/,2002,Antoine-Wright-125
21,"			
												Dee Brown
											","
													46
											"," 
												2006
											",-0.35,/profile/Dee-Brown-126/,2002,Dee-Brown-126
22,"			
												Hassan Adams
											","
													54
											"," 
												2006
											",0.13,/profile/Hassan-Adams-69/,2002,Hassan-Adams-69
23,"			
												Sean Dockery
											","
											"," 
											",-,/profile/Sean-Dockery-2/,2002,Sean-Dockery-2
24,"			
												Brad Buckman
											","
											"," 
											",-,/profile/Brad-Buckman-568/,2002,Brad-Buckman-568
25,"			
												Sani Ibrahim
											","
											"," 
											",-,/profile/Sani-Ibrahim-38160/,2002,Sani-Ibrahim-38160
26,"			
												Rashad Anderson
											","
											"," 
											",-,/profile/Rashad-Anderson-21/,2002,Rashad-Anderson-21
27,"			
												Bryan Hopkins
											","
											"," 
											",-,/profile/Bryan-Hopkins-517/,2002,Bryan-Hopkins-517
28,"			
												Andre Iguodala
											","
													9
											"," 
												2004
											",7.03,/profile/Andre-Iguodala-2918/,2002,Andre-Iguodala-2918
29,"			
												Elijah Ingram
											","
											"," 
											",-,/profile/Elijah-Ingram-26342/,2002,Elijah-Ingram-26342
30,"			
												Jarrett Jack
											","
													22
											"," 
												2005
											",3.01,/profile/Jarrett-Jack-9/,2002,Jarrett-Jack-9
31,"			
												Travis Garrison
											","
											"," 
											",-,/profile/Travis-Garrison-607/,2002,Travis-Garrison-607
32,"			
												Michael Thompson
											","
											"," 
											",-,/profile/Michael-Thompson-355/,2002,Michael-Thompson-355
33,"			
												Kevin Bookout
											","
											"," 
											",-,/profile/Kevin-Bookout-421/,2002,Kevin-Bookout-421
33,"			
												Kelenna Azubuike
											","
											"," 
											",1.72,/profile/Kelenna-Azubuike-124/,2002,Kelenna-Azubuike-124
35,"			
												Kennedy Winston
											","
											"," 
											",-,/profile/Kennedy-Winston-122/,2002,Kennedy-Winston-122
36,"			
												Denham Brown
											","
													40
											"," 
												2006
											",-,/profile/Denham-Brown-63/,2002,Denham-Brown-63
37,"			
												Jimmy McKinney
											","
											"," 
											",-,/profile/Jimmy-McKinney-27990/,2002,Jimmy-McKinney-27990
38,"			
												Eric Williams
											","
											"," 
											",-,/profile/Eric-Williams-17/,2002,Eric-Williams-17
39,"			
												Mario Boggan
											","
											"," 
											",-,/profile/Mario-Boggan-1159/,2002,Mario-Boggan-1159
40,"			
												Gerry McNamara
											","
											"," 
											",-,/profile/Gerry-McNamara-65/,2002,Gerry-McNamara-65
41,"			
												Allan Ray
											","
											"," 
											",-0.29,/profile/Allan-Ray-158/,2002,Allan-Ray-158
42,"			
												Matt Walsh
											","
											"," 
											",-0.02,/profile/Matt-Walsh-132/,2002,Matt-Walsh-132
43,"			
												Alexander Johnson
											","
													45
											"," 
												2006
											",0.13,/profile/Alexander-Johnson-165/,2002,Alexander-Johnson-165
44,"			
												Curtis Sumpter
											","
											"," 
											",-,/profile/Curtis-Sumpter-156/,2002,Curtis-Sumpter-156
45,"			
												John Gilchrist
											","
											"," 
											",-,/profile/John-Gilchrist-6/,2002,John-Gilchrist-6
46,"			
												Antonio Lawrence
											","
											"," 
											",-,/profile/Antonio-Lawrence-32583/,2002,Antonio-Lawrence-32583
47,"			
												Brandon Roy
											","
													6
											"," 
												2006
											",8.81,/profile/Brandon-Roy-343/,2002,Brandon-Roy-343
48,"			
												De'Angelo Alexander
											","
											"," 
											",-,/profile/De-Angelo-Alexander-460/,2002,De-Angelo-Alexander-460
49,"			
												Deron Williams
											","
													3
											"," 
												2005
											",7.59,/profile/Deron-Williams-72/,2002,Deron-Williams-72
50,"			
												Lester Abram
											","
											"," 
											",-,/profile/Lester-Abram-308/,2002,Lester-Abram-308
51,"			
												Greg Brunner
											","
											"," 
											",-,/profile/Greg-Brunner-5196/,2002,Greg-Brunner-5196
52,"			
												Ike Diogu
											","
													9
											"," 
												2005
											",0.83,/profile/Ike-Diogu-81/,2002,Ike-Diogu-81
53,"			
												Matt Trannon
											","
											"," 
											",-,/profile/Matt-Trannon-28024/,2002,Matt-Trannon-28024
54,"			
												Marshall Strickland
											","
											"," 
											",-,/profile/Marshall-Strickland-307/,2002,Marshall-Strickland-307
55,"			
												Keith Butler
											","
											"," 
											",-,/profile/Keith-Butler-26878/,2002,Keith-Butler-26878
56,"			
												Maurice Ager
											","
													28
											"," 
												2006
											",-0.41,/profile/Maurice-Ager-354/,2002,Maurice-Ager-354
57,"			
												Eric Hicks
											","
											"," 
											",-,/profile/Eric-Hicks-418/,2002,Eric-Hicks-418
58,"			
												Randy Foye
											","
													7
											"," 
												2006
											",0.89,/profile/Randy-Foye-454/,2002,Randy-Foye-454
59,"			
												Steve Novak
											","
													32
											"," 
												2006
											",0.37,/profile/Steve-Novak-129/,2002,Steve-Novak-129
60,"			
												Derrick Byars
											","
													42
											"," 
												2007
											",0.07,/profile/Derrick-Byars-1009/,2002,Derrick-Byars-1009
61,"			
												Jeff Horner
											","
											"," 
											",-,/profile/Jeff-Horner-406/,2002,Jeff-Horner-406
62,"			
												Francisco Garcia
											","
													23
											"," 
												2005
											",0.81,/profile/Francisco-Garcia-123/,2002,Francisco-Garcia-123
63,"			
												Chris McCray
											","
											"," 
											",-0.19,/profile/Chris-McCray-571/,2002,Chris-McCray-571
