RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
112,"			
												Ontario Harper
											","
											"," 
											",-,/profile/Ontario-Harper-29614/,1998,Ontario-Harper-29614
113,"			
												Kenyatta Brown
											","
											"," 
											",-,/profile/Kenyatta-Brown-34958/,1998,Kenyatta-Brown-34958
113,"			
												Caleb Vinson
											","
											"," 
											",-,/profile/Caleb-Vinson-53453/,1998,Caleb-Vinson-53453
115,"			
												Senque Carey
											","
											"," 
											",-,/profile/Senque-Carey-32855/,1998,Senque-Carey-32855
115,"			
												John Allison
											","
											"," 
											",-,/profile/John-Allison-34268/,1998,John-Allison-34268
115,"			
												Zach Marbury
											","
											"," 
											",-,/profile/Zach-Marbury-53454/,1998,Zach-Marbury-53454
115,"			
												Malcolm Battles
											","
											"," 
											",-,/profile/Malcolm-Battles-44454/,1998,Malcolm-Battles-44454
119,"			
												Tim Lightfoot
											","
											"," 
											",-,/profile/Tim-Lightfoot-34457/,1998,Tim-Lightfoot-34457
120,"			
												Wesley Wilson
											","
											"," 
											",-,/profile/Wesley-Wilson-33291/,1998,Wesley-Wilson-33291
120,"			
												Cordell Henry
											","
											"," 
											",-,/profile/Cordell-Henry-34599/,1998,Cordell-Henry-34599
122,"			
												Terry Rogers
											","
											"," 
											",-,/profile/Terry-Rogers-53455/,1998,Terry-Rogers-53455
122,"			
												Terrell Riggs
											","
											"," 
											",-,/profile/Terrell-Riggs-33422/,1998,Terrell-Riggs-33422
124,"			
												Will Solomon
											","
													32
											"," 
												2001
											",-0.12,/profile/Will-Solomon-5225/,1998,Will-Solomon-5225
125,"			
												Rahim Johnson
											","
											"," 
											",-,/profile/Rahim-Johnson-53456/,1998,Rahim-Johnson-53456
125,"			
												Chris Williams
											","
											"," 
											",-,/profile/Chris-Williams-5373/,1998,Chris-Williams-5373
125,"			
												Ervin Murray
											","
											"," 
											",-,/profile/Ervin-Murray-33849/,1998,Ervin-Murray-33849
128,"			
												Sean Connolly
											","
											"," 
											",-,/profile/Sean-Connolly-32762/,1998,Sean-Connolly-32762
128,"			
												David Bluthenthal
											","
											"," 
											",-,/profile/David-Bluthenthal-5412/,1998,David-Bluthenthal-5412
130,"			
												Josh Howard
											","
													29
											"," 
												2003
											",4.08,/profile/Josh-Howard-2887/,1998,Josh-Howard-2887
130,"			
												Alex Wesby
											","
											"," 
											",-,/profile/Alex-Wesby-32464/,1998,Alex-Wesby-32464
