Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,1968-06-24,Duke University,/players/a/abdelal01.html,abdelal01,0,82.0
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,1946-04-07,Iowa State University,/players/a/abdulza01.html,abdulza01,0,81.0
Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,1947-04-16,"University of California, Los Angeles",/players/a/abdulka01.html,abdulka01,1,86.0
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,1969-03-09,Louisiana State University,/players/a/abdulma02.html,abdulma02,0,73.0
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,1974-11-03,San Jose State University,/players/a/abdulta01.html,abdulta01,0,78.0
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,1976-12-11,University of California,/players/a/abdursh01.html,abdursh01,0,81.0
Tom Abernethy,1977,1981,F,6-7,220.0,1954-05-06,Indiana University,/players/a/abernto01.html,abernto01,0,79.0
Forest Able,1957,1957,G,6-3,180.0,1932-07-27,Western Kentucky University,/players/a/ablefo01.html,ablefo01,0,75.0
John Abramovic,1947,1948,F,6-3,195.0,1919-02-09,Salem International University,/players/a/abramjo01.html,abramjo01,0,75.0
Alex Abrines,2017,2017,G-F,6-6,190.0,1993-08-01,,/players/a/abrinal01.html,abrinal01,0,78.0
Alex Acker,2006,2009,G,6-5,185.0,1983-01-21,Pepperdine University,/players/a/ackeral01.html,ackeral01,0,77.0
Don Ackerman,1954,1954,G,6-0,183.0,1930-09-04,Long Island University,/players/a/ackerdo01.html,ackerdo01,0,72.0
Mark Acres,1988,1993,F-C,6-11,220.0,1962-11-15,Oral Roberts University,/players/a/acresma01.html,acresma01,0,83.0
Bud Acton,1968,1968,F,6-6,210.0,1942-01-11,Hillsdale College,/players/a/actonbu01.html,actonbu01,0,78.0
Quincy Acy,2013,2017,F,6-7,240.0,1990-10-06,Baylor University,/players/a/acyqu01.html,acyqu01,0,79.0
Alvan Adams,1976,1988,C-F,6-9,210.0,1954-07-19,University of Oklahoma,/players/a/adamsal01.html,adamsal01,0,81.0
Don Adams,1971,1977,F,6-6,210.0,1947-11-27,Northwestern University,/players/a/adamsdo01.html,adamsdo01,0,78.0
George Adams,1973,1975,F-G,6-5,210.0,1949-05-15,Gardner-Webb University,/players/a/adamsge01.html,adamsge01,0,77.0
Hassan Adams,2007,2009,G,6-4,220.0,1984-06-20,University of Arizona,/players/a/adamsha01.html,adamsha01,0,76.0
Jordan Adams,2015,2016,G,6-5,209.0,1994-07-08,"University of California, Los Angeles",/players/a/adamsjo01.html,adamsjo01,0,77.0
Michael Adams,1986,1996,G,5-10,162.0,1963-01-19,Boston College,/players/a/adamsmi01.html,adamsmi01,0,70.0
Steven Adams,2014,2017,C,7-0,255.0,1993-07-20,University of Pittsburgh,/players/a/adamsst01.html,adamsst01,0,84.0
Rafael Addison,1987,1997,F-G,6-7,215.0,1964-07-22,Syracuse University,/players/a/addisra01.html,addisra01,0,79.0
Rick Adelman,1969,1975,G,6-1,175.0,1946-06-16,Loyola Marymount University,/players/a/adelmri01.html,adelmri01,0,73.0
Jeff Adrien,2011,2015,F,6-7,245.0,1986-02-10,University of Connecticut,/players/a/adrieje01.html,adrieje01,0,79.0
Arron Afflalo,2008,2017,G,6-5,210.0,1985-10-15,"University of California, Los Angeles",/players/a/afflaar01.html,afflaar01,0,77.0
Maurice Ager,2007,2011,G,6-5,202.0,1984-02-09,Michigan State University,/players/a/agerma01.html,agerma01,0,77.0
Mark Aguirre,1982,1994,F-G,6-6,232.0,1959-12-10,DePaul University,/players/a/aguirma01.html,aguirma01,0,78.0
Blake Ahearn,2008,2012,G,6-2,190.0,1984-05-27,Missouri State University,/players/a/ahearbl01.html,ahearbl01,0,74.0
Danny Ainge,1982,1995,G,6-4,175.0,1959-03-17,Brigham Young University,/players/a/aingeda01.html,aingeda01,0,76.0
Matthew Aitch,1968,1968,F,6-7,230.0,1944-09-21,Michigan State University,/players/a/aitchma01.html,aitchma01,0,79.0
Alexis Ajinca,2009,2017,C,7-2,248.0,1988-05-06,,/players/a/ajincal01.html,ajincal01,0,86.0
Henry Akin,1967,1969,C-F,6-10,225.0,1944-07-31,Morehead State University,/players/a/akinhe01.html,akinhe01,0,82.0
Josh Akognon,2013,2013,G,5-11,185.0,1986-02-10,"California State University, Fullerton",/players/a/akognjo01.html,akognjo01,0,71.0
Solomon Alabi,2011,2012,C,7-1,251.0,1988-03-21,Florida State University,/players/a/alabiso01.html,alabiso01,0,85.0
Mark Alarie,1987,1991,F,6-8,217.0,1963-12-11,Duke University,/players/a/alarima01.html,alarima01,0,80.0
Gary Alcorn,1960,1961,C,6-9,225.0,1936-10-08,"California State University, Fresno",/players/a/alcorga01.html,alcorga01,0,81.0
Furkan Aldemir,2015,2015,F-C,6-10,240.0,1991-08-09,,/players/a/aldemfu01.html,aldemfu01,0,82.0
Cole Aldrich,2011,2017,C,6-11,250.0,1988-10-31,University of Kansas,/players/a/aldrico01.html,aldrico01,0,83.0
LaMarcus Aldridge,2007,2017,F-C,6-11,260.0,1985-07-19,University of Texas at Austin,/players/a/aldrila01.html,aldrila01,0,83.0
Chuck Aleksinas,1985,1985,C,6-11,260.0,1959-02-26,University of Connecticut,/players/a/aleksch01.html,aleksch01,0,83.0
Cliff Alexander,2016,2016,F,6-8,245.0,1995-11-16,University of Kansas,/players/a/alexacl01.html,alexacl01,0,80.0
Cory Alexander,1996,2005,G,6-1,185.0,1973-06-22,University of Virginia,/players/a/alexaco01.html,alexaco01,0,73.0
Courtney Alexander,2001,2003,G,6-5,205.0,1977-04-27,"California State University, Fresno",/players/a/alexaco02.html,alexaco02,0,77.0
Gary Alexander,1994,1994,F,6-7,240.0,1969-11-01,University of South Florida,/players/a/alexaga01.html,alexaga01,0,79.0
Joe Alexander,2009,2010,F,6-8,230.0,1986-12-26,West Virginia University,/players/a/alexajo01.html,alexajo01,0,80.0
Victor Alexander,1992,2002,C-F,6-9,265.0,1969-08-31,Iowa State University,/players/a/alexavi01.html,alexavi01,0,81.0
Steve Alford,1988,1991,G,6-2,183.0,1964-11-23,Indiana University,/players/a/alforst01.html,alforst01,0,74.0
Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State University,/players/a/allenbi01.html,allenbi01,0,80.0
Bob Allen,1969,1969,F,6-9,205.0,1946-07-17,Marshall University,/players/a/allenbo01.html,allenbo01,0,81.0
Jerome Allen,1996,1997,G,6-4,184.0,1973-01-28,University of Pennsylvania,/players/a/allenje01.html,allenje01,0,76.0
Lavoy Allen,2012,2017,F-C,6-9,260.0,1989-02-04,Temple University,/players/a/allenla01.html,allenla01,0,81.0
Lucius Allen,1970,1979,G,6-2,175.0,1947-09-26,"University of California, Los Angeles",/players/a/allenlu01.html,allenlu01,0,74.0
Malik Allen,2002,2011,F-C,6-10,255.0,1978-06-27,Villanova University,/players/a/allenma01.html,allenma01,0,82.0
Randy Allen,1989,1990,F,6-8,220.0,1965-01-26,Florida State University,/players/a/allenra01.html,allenra01,0,80.0
Ray Allen,1997,2014,G,6-5,205.0,1975-07-20,University of Connecticut,/players/a/allenra02.html,allenra02,0,77.0
Tony Allen,2005,2017,G-F,6-4,213.0,1982-01-11,Oklahoma State University,/players/a/allento01.html,allento01,0,76.0
Willie Allen,1972,1972,F,6-6,230.0,1949-02-08,University of Miami,/players/a/allenwi01.html,allenwi01,0,78.0
Odis Allison,1972,1972,F,6-6,195.0,1949-10-02,"University of Nevada, Las Vegas",/players/a/allisod01.html,allisod01,0,78.0
Lance Allred,2008,2008,C,6-11,250.0,1981-02-02,Weber State University,/players/a/allrela01.html,allrela01,0,83.0
Darrell Allums,1981,1981,F,6-9,220.0,1958-09-12,"University of California, Los Angeles",/players/a/allumda01.html,allumda01,0,81.0
Morris Almond,2008,2012,G,6-6,225.0,1985-02-02,Rice University,/players/a/almonmo01.html,almonmo01,0,78.0
Derrick Alston,1995,1997,F,6-11,225.0,1972-08-20,Duquesne University,/players/a/alstode01.html,alstode01,0,83.0
Rafer Alston,2000,2010,G,6-2,171.0,1976-07-24,"California State University, Fresno",/players/a/alstora01.html,alstora01,0,74.0
Peter Aluma,1999,1999,C,6-10,260.0,1973-04-23,Liberty University,/players/a/alumape01.html,alumape01,0,82.0
John Amaechi,1996,2003,C-F,6-10,270.0,1970-11-26,Pennsylvania State University,/players/a/amaecjo01.html,amaecjo01,0,82.0
Ashraf Amaya,1996,1997,F,6-8,230.0,1971-11-23,Southern Illinois University,/players/a/amayaas01.html,amayaas01,0,80.0
Al-Farouq Aminu,2011,2017,F,6-9,220.0,1990-09-21,Wake Forest University,/players/a/aminual01.html,aminual01,0,81.0
Lou Amundson,2007,2016,F,6-9,220.0,1982-12-07,"University of Nevada, Las Vegas",/players/a/amundlo01.html,amundlo01,0,81.0
Bob Anderegg,1960,1960,F-G,6-3,200.0,1937-08-24,Michigan State University,/players/a/anderbo01.html,anderbo01,0,75.0
Chris Andersen,2002,2017,F-C,6-10,245.0,1978-07-07,Blinn College,/players/a/anderch01.html,anderch01,0,82.0
David Andersen,2010,2011,C,6-11,245.0,1980-06-23,,/players/a/anderda03.html,anderda03,0,83.0
Alan Anderson,2006,2017,G-F,6-6,220.0,1982-10-16,Michigan State University,/players/a/anderal01.html,anderal01,0,78.0
Andrew Anderson,1968,1970,G,6-2,184.0,1945-07-06,Canisius College,/players/a/anderan01.html,anderan01,0,74.0
Antonio Anderson,2010,2010,G,6-6,215.0,1985-06-05,University of Memphis,/players/a/anderan02.html,anderan02,0,78.0
Cliff Anderson,1968,1971,G-F,6-2,200.0,1944-09-07,Saint Joseph's University,/players/a/andercl01.html,andercl01,0,74.0
Dan Anderson,1968,1969,C,6-10,230.0,1943-02-15,Augsburg College,/players/a/anderda01.html,anderda01,0,82.0
Dan Anderson,1975,1976,G,6-2,185.0,1951-01-01,University of Southern California,/players/a/anderda02.html,anderda02,0,74.0
Derek Anderson,1998,2008,G,6-5,194.0,1974-07-18,University of Kentucky,/players/a/anderde01.html,anderde01,0,77.0
Dwight Anderson,1983,1983,G,6-3,185.0,1960-12-28,University of Southern California,/players/a/anderdw01.html,anderdw01,0,75.0
Eric Anderson,1993,1994,F,6-9,220.0,1970-05-26,Indiana University,/players/a/anderer01.html,anderer01,0,81.0
Greg Anderson,1988,1998,F-C,6-10,230.0,1964-06-22,University of Houston,/players/a/andergr01.html,andergr01,0,82.0
J.J. Anderson,1983,1985,F,6-8,195.0,1960-09-23,Bradley University,/players/a/anderjj01.html,anderjj01,0,80.0
James Anderson,2011,2016,G-F,6-6,213.0,1989-03-25,Oklahoma State University,/players/a/anderja01.html,anderja01,0,78.0
Jerome Anderson,1976,1977,G,6-5,195.0,1953-10-09,West Virginia University,/players/a/anderje01.html,anderje01,0,77.0
Justin Anderson,2016,2017,G,6-6,228.0,1993-11-19,University of Virginia,/players/a/anderju01.html,anderju01,0,78.0
Kenny Anderson,1992,2005,G,6-0,168.0,1970-10-09,Georgia Institute of Technology,/players/a/anderke01.html,anderke01,0,72.0
Kim Anderson,1979,1979,F,6-7,200.0,1955-05-12,University of Missouri,/players/a/anderki01.html,anderki01,0,79.0
Kyle Anderson,2015,2017,F-G,6-9,230.0,1993-09-20,"University of California, Los Angeles",/players/a/anderky01.html,anderky01,0,81.0
Michael Anderson,1989,1989,G,5-11,184.0,1966-03-23,Drexel University,/players/a/andermi01.html,andermi01,0,71.0
Nick Anderson,1990,2002,F-G,6-6,205.0,1968-01-20,University of Illinois at Urbana-Champaign,/players/a/anderni01.html,anderni01,0,78.0
Richard Anderson,1983,1990,F-C,6-10,240.0,1960-11-19,"University of California, Santa Barbara",/players/a/anderri01.html,anderri01,0,82.0
Ron Anderson,1985,1994,F-G,6-7,215.0,1958-10-15,"California State University, Fresno",/players/a/anderro01.html,anderro01,0,79.0
Ryan Anderson,2009,2017,F,6-10,240.0,1988-05-06,University of California,/players/a/anderry01.html,anderry01,0,82.0
Shandon Anderson,1997,2006,F-G,6-6,208.0,1973-12-31,University of Georgia,/players/a/andersh01.html,andersh01,0,78.0
Willie Anderson,1989,1997,G-F,6-7,190.0,1967-01-08,University of Georgia,/players/a/anderwi01.html,anderwi01,0,79.0
Wally Anderzunas,1970,1970,C-F,6-7,220.0,1946-01-11,Creighton University,/players/a/anderwa01.html,anderwa01,0,79.0
Martynas Andriuskevicius,2006,2006,C,7-2,240.0,1986-03-12,,/players/a/andrima01.html,andrima01,0,86.0
Don Anielak,1955,1955,F,6-7,190.0,1930-11-01,Missouri State University,/players/a/anieldo01.html,anieldo01,0,79.0
Michael Ansley,1990,1992,F,6-7,225.0,1967-02-08,University of Alabama,/players/a/anslemi01.html,anslemi01,0,79.0
Chris Anstey,1998,2000,C,7-0,249.0,1975-01-01,,/players/a/anstech01.html,anstech01,0,84.0
Giannis Antetokounmpo,2014,2017,F-G,6-11,222.0,1994-12-06,,/players/a/antetgi01.html,antetgi01,0,83.0
Thanasis Antetokounmpo,2016,2016,F,6-7,205.0,1992-07-17,,/players/a/antetth01.html,antetth01,0,79.0
Carmelo Anthony,2004,2017,F,6-8,240.0,1984-05-29,Syracuse University,/players/a/anthoca01.html,anthoca01,0,80.0
Greg Anthony,1992,2002,G,6-0,176.0,1967-11-15,"University of Nevada, Las Vegas",/players/a/anthogr01.html,anthogr01,0,72.0
Joel Anthony,2008,2017,C,6-9,245.0,1982-08-09,"University of Nevada, Las Vegas",/players/a/anthojo01.html,anthojo01,0,81.0
Pero Antic,2014,2015,C-F,6-11,260.0,1982-07-29,,/players/a/anticpe01.html,anticpe01,0,83.0
Keith Appling,2016,2016,G,6-1,185.0,1992-02-13,Michigan State University,/players/a/applike01.html,applike01,0,73.0
Rafael Araujo,2005,2007,C,6-11,280.0,1980-08-12,Brigham Young University,/players/a/araujra01.html,araujra01,0,83.0
Stacey Arceneaux,1962,1962,F,6-4,210.0,1936-02-17,Iowa State University,/players/a/arcenst01.html,arcenst01,0,76.0
Robert Archibald,2003,2004,F,6-11,250.0,1980-03-29,University of Illinois at Urbana-Champaign,/players/a/archiro01.html,archiro01,0,83.0
Tiny Archibald,1971,1984,G,6-1,150.0,1948-09-02,University of Texas at El Paso,/players/a/architi01.html,architi01,1,73.0
Jim Ard,1971,1978,F-C,6-8,215.0,1948-09-19,University of Cincinnati,/players/a/ardji01.html,ardji01,0,80.0
Gilbert Arenas,2002,2012,G,6-3,191.0,1982-01-06,University of Arizona,/players/a/arenagi01.html,arenagi01,0,75.0
Trevor Ariza,2005,2017,F,6-8,215.0,1985-06-30,"University of California, Los Angeles",/players/a/arizatr01.html,arizatr01,0,80.0
Paul Arizin,1951,1962,F-G,6-4,190.0,1928-04-09,Villanova University,/players/a/arizipa01.html,arizipa01,1,76.0
Joe Arlauckas,1988,1988,F,6-9,230.0,1965-07-20,Niagara University,/players/a/arlaujo01.html,arlaujo01,0,81.0
B.J. Armstrong,1990,2000,G,6-2,175.0,1967-09-09,University of Iowa,/players/a/armstbj01.html,armstbj01,0,74.0
Bob Armstrong,1957,1957,C-F,6-8,220.0,1933-06-17,Michigan State University,/players/a/armstbo01.html,armstbo01,0,80.0
Brandon Armstrong,2002,2004,G,6-5,188.0,1980-06-16,Pepperdine University,/players/a/armstbr01.html,armstbr01,0,77.0
Curly Armstrong,1949,1951,G-F,5-11,170.0,1918-11-01,Indiana University,/players/a/armstcu01.html,armstcu01,0,71.0
Darrell Armstrong,1995,2008,G,6-0,170.0,1968-06-22,Fayetteville State University,/players/a/armstda01.html,armstda01,0,72.0
Hilton Armstrong,2007,2014,F-C,6-11,235.0,1984-11-11,University of Connecticut,/players/a/armsthi01.html,armsthi01,0,83.0
Tate Armstrong,1978,1979,G,6-3,175.0,1955-10-05,Duke University,/players/a/armstta01.html,armstta01,0,75.0
Jesse Arnelle,1956,1956,F,6-5,220.0,1933-12-30,Pennsylvania State University,/players/a/arnelje01.html,arnelje01,0,77.0
Jay Arnette,1964,1966,G,6-2,175.0,1938-12-19,University of Texas at Austin,/players/a/arnetja01.html,arnetja01,0,74.0
Bob Arnzen,1970,1974,F,6-5,205.0,1947-11-03,University of Notre Dame,/players/a/arnzebo01.html,arnzebo01,0,77.0
Carlos Arroyo,2002,2011,G,6-2,202.0,1979-07-30,Florida International University,/players/a/arroyca01.html,arroyca01,0,74.0
Darrell Arthur,2009,2017,F,6-9,235.0,1988-03-25,University of Kansas,/players/a/arthuda01.html,arthuda01,0,81.0
John Arthurs,1970,1970,G,6-4,185.0,1947-08-15,Tulane University,/players/a/arthujo01.html,arthujo01,0,76.0
Omer Asik,2011,2017,C,7-0,255.0,1986-07-04,,/players/a/asikom01.html,asikom01,0,84.0
Vincent Askew,1988,1998,G-F,6-6,210.0,1966-02-28,University of Memphis,/players/a/askewvi01.html,askewvi01,0,78.0
Keith Askins,1991,1999,G-F,6-7,197.0,1967-12-15,University of Alabama,/players/a/askinke01.html,askinke01,0,79.0
Don Asmonga,1954,1954,G,6-2,185.0,1928-02-15,Alliance College,/players/a/asmondo01.html,asmondo01,0,74.0
Dick Atha,1956,1958,G,6-2,190.0,1931-09-21,Indiana State University,/players/a/athadi01.html,athadi01,0,74.0
Chucky Atkins,2000,2010,G,5-11,160.0,1974-08-14,University of South Florida,/players/a/atkinch01.html,atkinch01,0,71.0
Al Attles,1961,1971,G,6-0,175.0,1936-11-07,North Carolina Agricultural and Technical State University,/players/a/attleal01.html,attleal01,0,72.0
Chet Aubuchon,1947,1947,G,5-10,137.0,1916-05-18,Michigan State University,/players/a/aubucch01.html,aubucch01,0,70.0
Stacey Augmon,1992,2006,F-G,6-8,205.0,1968-08-01,"University of Nevada, Las Vegas",/players/a/augmost01.html,augmost01,0,80.0
D.J. Augustin,2009,2017,G,6-0,183.0,1987-11-10,University of Texas at Austin,/players/a/augusdj01.html,augusdj01,0,72.0
James Augustine,2007,2008,F,6-10,235.0,1984-02-27,University of Illinois at Urbana-Champaign,/players/a/augusja01.html,augusja01,0,82.0
Isaac Austin,1992,2002,C,6-10,255.0,1969-08-18,Arizona State University,/players/a/austiis01.html,austiis01,0,82.0
Johnny Austin,1967,1968,G,6-0,170.0,1944-08-31,Boston College,/players/a/austijo01.html,austijo01,0,72.0
Ken Austin,1984,1984,F,6-9,205.0,1961-07-15,Rice University,/players/a/austike01.html,austike01,0,81.0
Anthony Avent,1993,2000,F,6-9,235.0,1969-10-18,Seton Hall University,/players/a/aventan01.html,aventan01,0,81.0
Bird Averitt,1974,1978,G,6-1,170.0,1952-07-22,Pepperdine University,/players/a/averibi01.html,averibi01,0,73.0
William Avery,2000,2002,G,6-2,197.0,1979-08-08,Duke University,/players/a/averywi01.html,averywi01,0,74.0
Dennis Awtrey,1971,1982,C,6-10,235.0,1948-02-22,Santa Clara University,/players/a/awtrede01.html,awtrede01,0,82.0
Gustavo Ayon,2012,2014,C,6-10,250.0,1985-04-01,,/players/a/ayongu01.html,ayongu01,0,82.0
Jeff Ayres,2010,2016,F,6-9,240.0,1987-04-29,Arizona State University,/players/p/pendeje02.html,pendeje02,0,81.0
Kelenna Azubuike,2007,2012,G,6-5,220.0,1983-12-16,University of Kentucky,/players/a/azubuke01.html,azubuke01,0,77.0
Chris Babb,2014,2014,G,6-5,225.0,1990-02-14,Iowa State University,/players/b/babbch01.html,babbch01,0,77.0
Luke Babbitt,2011,2017,F,6-9,225.0,1989-06-20,"University of Nevada, Reno",/players/b/babbilu01.html,babbilu01,0,81.0
Milos Babic,1991,1992,C-F,7-0,240.0,1968-11-23,Tennessee Technological University,/players/b/babicmi01.html,babicmi01,0,84.0
Johnny Bach,1949,1949,F-G,6-2,180.0,1924-07-10,Fordham University,/players/b/bachjo01.html,bachjo01,0,74.0
Henry Bacon,1973,1973,G,6-3,205.0,1948-07-05,University of Louisville,/players/b/baconhe01.html,baconhe01,0,75.0
Jim Baechtold,1953,1957,F-G,6-4,205.0,1927-12-09,Eastern Kentucky University,/players/b/baechji01.html,baechji01,0,76.0
Dalibor Bagaric,2001,2003,C,7-1,255.0,1980-02-07,,/players/b/bagarda01.html,bagarda01,0,85.0
John Bagley,1983,1994,G,6-0,185.0,1960-04-23,Boston College,/players/b/baglejo01.html,baglejo01,0,72.0
Carl Bailey,1982,1982,C,7-0,210.0,1958-04-23,Tuskegee University,/players/b/baileca01.html,baileca01,0,84.0
Gus Bailey,1975,1980,G-F,6-5,185.0,1951-02-18,University of Texas at El Paso,/players/b/bailegu01.html,bailegu01,0,77.0
James Bailey,1980,1988,F-C,6-9,220.0,1957-05-21,Rutgers University,/players/b/baileja01.html,baileja01,0,81.0
Thurl Bailey,1984,1999,F-C,6-11,215.0,1961-04-07,North Carolina State University,/players/b/baileth01.html,baileth01,0,83.0
Toby Bailey,1999,2000,G,6-6,213.0,1975-11-19,"University of California, Los Angeles",/players/b/baileto01.html,baileto01,0,78.0
Cameron Bairstow,2015,2016,F-C,6-9,250.0,1990-12-07,University of New Mexico,/players/b/bairsca01.html,bairsca01,0,81.0
Jimmie Baker,1976,1976,F,6-9,220.0,1953-12-25,University of Hawaii,/players/b/bakerji01.html,bakerji01,0,81.0
LaMark Baker,1999,1999,G,6-1,175.0,1969-11-11,Ohio State University,/players/b/bakerla01.html,bakerla01,0,73.0
Maurice Baker,2005,2005,G,6-1,175.0,1979-07-28,Oklahoma State University,/players/b/bakerma01.html,bakerma01,0,73.0
Norm Baker,1947,1947,G,6-0,180.0,1923-02-17,,/players/b/bakerno01.html,bakerno01,0,72.0
Ron Baker,2017,2017,G,6-4,220.0,1993-03-30,Wichita State University,/players/b/bakerro01.html,bakerro01,0,76.0
Vin Baker,1994,2006,F,6-11,232.0,1971-11-23,University of Hartford,/players/b/bakervi01.html,bakervi01,0,83.0
Wade Baldwin,2017,2017,G,6-4,202.0,1996-03-29,Vanderbilt University,/players/b/baldwwa01.html,baldwwa01,0,76.0
Renaldo Balkman,2007,2012,F,6-8,208.0,1984-07-14,University of South Carolina,/players/b/balkmre01.html,balkmre01,0,80.0
Cedric Ball,1991,1991,F,6-8,210.0,1968-04-16,University of North Carolina at Charlotte,/players/b/ballce01.html,ballce01,0,80.0
Greg Ballard,1978,1989,F,6-7,215.0,1955-01-29,University of Oregon,/players/b/ballagr01.html,ballagr01,0,79.0
Herschel Baltimore,1947,1947,F,6-4,195.0,1921-06-21,Pennsylvania State University,/players/b/baltihe01.html,baltihe01,0,76.0
Gene Banks,1982,1987,F-G,6-7,215.0,1959-05-15,Duke University,/players/b/banksge01.html,banksge01,0,79.0
Marcus Banks,2004,2011,G,6-2,200.0,1981-11-19,"University of Nevada, Las Vegas",/players/b/banksma01.html,banksma01,0,74.0
Walker Banks,1971,1971,C,6-10,205.0,1947-08-26,Western Kentucky University,/players/b/bankswa01.html,bankswa01,0,82.0
Ken Bannister,1985,1991,F-C,6-9,235.0,1960-04-01,Saint Augustine's College,/players/b/bannike01.html,bannike01,0,81.0
Mike Bantom,1974,1982,F-C,6-9,200.0,1951-12-03,Saint Joseph's University,/players/b/bantomi01.html,bantomi01,0,81.0
John Barber,1957,1957,F,6-6,210.0,1927-06-27,"California State University, Los Angeles",/players/b/barbejo01.html,barbejo01,0,78.0
Leandro Barbosa,2004,2017,G,6-3,194.0,1982-11-28,,/players/b/barbole01.html,barbole01,0,75.0
Steve Bardo,1992,1996,G,6-5,190.0,1968-04-05,University of Illinois at Urbana-Champaign,/players/b/bardost01.html,bardost01,0,77.0
J.J. Barea,2007,2017,G,6-0,185.0,1984-06-26,Northeastern University,/players/b/bareajo01.html,bareajo01,0,72.0
Andrea Bargnani,2007,2016,F-C,7-0,245.0,1985-10-26,,/players/b/bargnan01.html,bargnan01,0,84.0
Cliff Barker,1950,1952,G,6-2,185.0,1921-01-15,University of Kentucky,/players/b/barkecl01.html,barkecl01,0,74.0
Tom Barker,1977,1979,C-F,6-11,225.0,1955-03-11,University of Hawaii,/players/b/barketo01.html,barketo01,0,83.0
Charles Barkley,1985,2000,F,6-6,252.0,1963-02-20,Auburn University,/players/b/barklch01.html,barklch01,1,78.0
Erick Barkley,2001,2002,G,6-1,177.0,1978-02-21,St. John's University,/players/b/barkler01.html,barkler01,0,73.0
Don Barksdale,1952,1955,F-C,6-6,200.0,1923-03-31,"University of California, Los Angeles",/players/b/barksdo01.html,barksdo01,1,78.0
Harrison Barnes,2013,2017,F,6-8,210.0,1992-05-30,University of North Carolina,/players/b/barneha02.html,barneha02,0,80.0
Harry Barnes,1969,1969,F,6-3,205.0,1945-07-25,Northeastern University,/players/b/barneha01.html,barneha01,0,75.0
Jim Barnes,1965,1971,C-F,6-8,210.0,1941-04-13,University of Texas at El Paso,/players/b/barneji01.html,barneji01,0,80.0
Marvin Barnes,1975,1980,F-C,6-8,210.0,1952-07-27,Providence College,/players/b/barnema01.html,barnema01,0,80.0
Matt Barnes,2004,2017,F,6-7,226.0,1980-03-09,"University of California, Los Angeles",/players/b/barnema02.html,barnema02,0,79.0
Dick Barnett,1960,1974,G-F,6-4,190.0,1936-10-02,Tennessee State University,/players/b/barnedi01.html,barnedi01,0,76.0
Jim Barnett,1967,1977,G-F,6-4,170.0,1944-07-07,University of Oregon,/players/b/barneji02.html,barneji02,0,76.0
Nathaniel Barnett,1976,1976,G,6-3,175.0,1953-01-29,University of Akron,/players/b/barnena01.html,barnena01,0,75.0
John Barnhill,1963,1972,G,6-1,180.0,1938-03-20,Tennessee State University,/players/b/barnhjo01.html,barnhjo01,0,73.0
Norton Barnhill,1977,1977,G,6-4,205.0,1953-07-15,Washington State University,/players/b/barnhno01.html,barnhno01,0,76.0
Leo Barnhorst,1950,1954,F-G,6-4,190.0,1924-05-11,University of Notre Dame,/players/b/barnhle01.html,barnhle01,0,76.0
John Barr,1947,1947,F,6-3,205.0,1918-08-08,Pennsylvania State University,/players/b/barrjo01.html,barrjo01,0,75.0
Mike Barr,1973,1977,G,6-3,180.0,1950-10-19,Duquesne University,/players/b/barrmi01.html,barrmi01,0,75.0
Moe Barr,1971,1971,G,6-4,195.0,1944-06-19,Duquesne University,/players/b/barrmo01.html,barrmo01,0,76.0
Andre Barrett,2005,2008,G,5-10,172.0,1982-02-21,Seton Hall University,/players/b/barrean01.html,barrean01,0,70.0
Ernie Barrett,1954,1956,G-F,6-3,180.0,1929-08-27,Kansas State University,/players/b/barreer01.html,barreer01,0,75.0
Mike Barrett,1970,1973,G,6-2,155.0,1943-09-05,West Virginia University Institute of Technology,/players/b/barremi01.html,barremi01,0,74.0
Earl Barron,2006,2015,C,7-0,250.0,1981-08-14,University of Memphis,/players/b/barroea01.html,barroea01,0,84.0
Dana Barros,1990,2004,G,5-11,163.0,1967-04-13,Boston College,/players/b/barroda01.html,barroda01,0,71.0
Brent Barry,1996,2009,G,6-6,185.0,1971-12-31,Oregon State University,/players/b/barrybr01.html,barrybr01,0,78.0
Drew Barry,1998,2000,G,6-5,191.0,1973-02-17,Georgia Institute of Technology,/players/b/barrydr01.html,barrydr01,0,77.0
Jon Barry,1993,2006,G,6-4,195.0,1969-07-25,Georgia Institute of Technology,/players/b/barryjo01.html,barryjo01,0,76.0
Rick Barry,1966,1980,F,6-7,205.0,1944-03-28,University of Miami,/players/b/barryri01.html,barryri01,1,79.0
Ed Bartels,1950,1951,F,6-5,195.0,1925-10-08,North Carolina State University,/players/b/barteed01.html,barteed01,0,77.0
Vic Bartolome,1972,1972,C,7-0,230.0,1948-09-29,Oregon State University,/players/b/bartovi01.html,bartovi01,0,84.0
Will Barton,2013,2017,G,6-6,175.0,1991-01-06,University of Memphis,/players/b/bartowi01.html,bartowi01,0,78.0
Eddie Basden,2006,2006,G,6-5,215.0,1983-02-15,University of North Carolina at Charlotte,/players/b/basdeed01.html,basdeed01,0,77.0
