Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Jim Ware,1967,1969,F,6-7,210.0,1944-05-02,Oklahoma City University,/players/w/wareji01.html,wareji01,0,79.0
Ben Warley,1963,1970,F-G,6-5,200.0,1936-09-04,Tennessee State University,/players/w/warlebe01.html,warlebe01,0,77.0
Bob Warlick,1966,1970,G-F,6-5,200.0,1941-03-20,Pepperdine University,/players/w/warlibo01.html,warlibo01,0,77.0
Cornell Warner,1971,1977,F-C,6-9,220.0,1948-08-12,Jackson State University,/players/w/warneco01.html,warneco01,0,81.0
Bob Warren,1969,1976,G,6-5,190.0,1946-07-17,Vanderbilt University,/players/w/warrebo01.html,warrebo01,0,77.0
John Warren,1970,1974,G-F,6-3,180.0,1947-07-07,St. John's University,/players/w/warrejo01.html,warrejo01,0,75.0
T.J. Warren,2015,2017,F,6-8,230.0,1993-09-05,North Carolina State University,/players/w/warretj01.html,warretj01,0,80.0
Willie Warren,2011,2011,G,6-4,203.0,1989-10-22,University of Oklahoma,/players/w/warrewi01.html,warrewi01,0,76.0
Bryan Warrick,1983,1986,G,6-5,195.0,1959-07-22,Saint Joseph's University,/players/w/warribr01.html,warribr01,0,77.0
Hakim Warrick,2006,2013,F,6-9,219.0,1982-07-08,Syracuse University,/players/w/warriha01.html,warriha01,0,81.0
Chris Washburn,1987,1988,C,6-11,225.0,1965-05-13,North Carolina State University,/players/w/washbch01.html,washbch01,0,83.0
Bobby Washington,1970,1972,G,5-11,175.0,1947-07-11,Eastern Kentucky University,/players/w/washibo01.html,washibo01,0,71.0
Darius Washington,2008,2008,G,6-2,195.0,1985-12-06,University of Memphis,/players/w/washida01.html,washida01,0,74.0
Donald Washington,1975,1976,F,6-8,210.0,1952-04-22,University of North Carolina,/players/w/washido01.html,washido01,0,80.0
Duane Washington,1988,1993,G,6-4,195.0,1964-08-31,Middle Tennessee State University,/players/w/washidu01.html,washidu01,0,76.0
Eric Washington,1998,1999,G,6-4,190.0,1974-03-23,University of Alabama,/players/w/washier01.html,washier01,0,76.0
Jim Washington,1966,1976,F-C,6-6,210.0,1943-07-01,Villanova University,/players/w/washiji01.html,washiji01,0,78.0
Kermit Washington,1974,1988,F-C,6-8,230.0,1951-09-17,American University,/players/w/washike01.html,washike01,0,80.0
Pearl Washington,1987,1989,G,6-2,190.0,1964-01-06,Syracuse University,/players/w/washipe01.html,washipe01,0,74.0
Richard Washington,1977,1982,F-C,6-11,220.0,1955-07-15,"University of California, Los Angeles",/players/w/washiri01.html,washiri01,0,83.0
Stan Washington,1975,1975,G,6-4,190.0,1952-01-23,University of San Diego,/players/w/washist01.html,washist01,0,76.0
Trooper Washington,1968,1973,F-C,6-7,215.0,1944-04-21,Cheyney University of Pennsylvania,/players/w/washitr01.html,washitr01,0,79.0
Wilson Washington,1978,1979,F-C,6-9,227.0,1955-08-03,Old Dominion University,/players/w/washiwi01.html,washiwi01,0,81.0
Darryl Watkins,2008,2012,C,6-11,258.0,1984-11-08,Syracuse University,/players/w/watkida01.html,watkida01,0,83.0
