Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,1968-06-24,Duke University,/players/a/abdelal01.html,abdelal01,0,82.0,http://www.sports-reference.com/cbb/players/alaa-abdelnaby-1.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,1946-04-07,Iowa State University,/players/a/abdulza01.html,abdulza01,0,81.0,"['http://www.basketball-reference.com/players/a/abdulza01.html', IndexError('list index out of range',)]"
Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,1947-04-16,"University of California, Los Angeles",/players/a/abdulka01.html,abdulka01,1,86.0,http://www.sports-reference.com/cbb/players/kareem-abdul-jabbar-1.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,1969-03-09,Louisiana State University,/players/a/abdulma02.html,abdulma02,0,73.0,http://www.sports-reference.com/cbb/players/mahmoud-abdul-rauf-1.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,1974-11-03,San Jose State University,/players/a/abdulta01.html,abdulta01,0,78.0,"['http://www.basketball-reference.com/players/a/abdulta01.html', IndexError('list index out of range',)]"
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,1976-12-11,University of California,/players/a/abdursh01.html,abdursh01,0,81.0,http://www.sports-reference.com/cbb/players/shareef-abdur-rahim-1.html
Tom Abernethy,1977,1981,F,6-7,220.0,1954-05-06,Indiana University,/players/a/abernto01.html,abernto01,0,79.0,http://www.sports-reference.com/cbb/players/tom-abernethy-1.html
Forest Able,1957,1957,G,6-3,180.0,1932-07-27,Western Kentucky University,/players/a/ablefo01.html,ablefo01,0,75.0,"['http://www.basketball-reference.com/players/a/ablefo01.html', IndexError('list index out of range',)]"
John Abramovic,1947,1948,F,6-3,195.0,1919-02-09,Salem International University,/players/a/abramjo01.html,abramjo01,0,75.0,"['http://www.basketball-reference.com/players/a/abramjo01.html', IndexError('list index out of range',)]"
Alex Abrines,2017,2017,G-F,6-6,190.0,1993-08-01,,/players/a/abrinal01.html,abrinal01,0,78.0,"['http://www.basketball-reference.com/players/a/abrinal01.html', IndexError('list index out of range',)]"
Alex Acker,2006,2009,G,6-5,185.0,1983-01-21,Pepperdine University,/players/a/ackeral01.html,ackeral01,0,77.0,http://www.sports-reference.com/cbb/players/alex-acker-1.html
Don Ackerman,1954,1954,G,6-0,183.0,1930-09-04,Long Island University,/players/a/ackerdo01.html,ackerdo01,0,72.0,"['http://www.basketball-reference.com/players/a/ackerdo01.html', IndexError('list index out of range',)]"
Mark Acres,1988,1993,F-C,6-11,220.0,1962-11-15,Oral Roberts University,/players/a/acresma01.html,acresma01,0,83.0,http://www.sports-reference.com/cbb/players/mark-acres-1.html
Bud Acton,1968,1968,F,6-6,210.0,1942-01-11,Hillsdale College,/players/a/actonbu01.html,actonbu01,0,78.0,"['http://www.basketball-reference.com/players/a/actonbu01.html', IndexError('list index out of range',)]"
Quincy Acy,2013,2017,F,6-7,240.0,1990-10-06,Baylor University,/players/a/acyqu01.html,acyqu01,0,79.0,http://www.sports-reference.com/cbb/players/quincy-acy-1.html
Alvan Adams,1976,1988,C-F,6-9,210.0,1954-07-19,University of Oklahoma,/players/a/adamsal01.html,adamsal01,0,81.0,http://www.sports-reference.com/cbb/players/alvan-adams-1.html
Don Adams,1971,1977,F,6-6,210.0,1947-11-27,Northwestern University,/players/a/adamsdo01.html,adamsdo01,0,78.0,"['http://www.basketball-reference.com/players/a/adamsdo01.html', IndexError('list index out of range',)]"
George Adams,1973,1975,F-G,6-5,210.0,1949-05-15,Gardner-Webb University,/players/a/adamsge01.html,adamsge01,0,77.0,"['http://www.basketball-reference.com/players/a/adamsge01.html', IndexError('list index out of range',)]"
Hassan Adams,2007,2009,G,6-4,220.0,1984-06-20,University of Arizona,/players/a/adamsha01.html,adamsha01,0,76.0,http://www.sports-reference.com/cbb/players/hassan-adams-1.html
Jordan Adams,2015,2016,G,6-5,209.0,1994-07-08,"University of California, Los Angeles",/players/a/adamsjo01.html,adamsjo01,0,77.0,http://www.sports-reference.com/cbb/players/jordan-adams-1.html
Michael Adams,1986,1996,G,5-10,162.0,1963-01-19,Boston College,/players/a/adamsmi01.html,adamsmi01,0,70.0,http://www.sports-reference.com/cbb/players/michael-adams-1.html
Steven Adams,2014,2017,C,7-0,255.0,1993-07-20,University of Pittsburgh,/players/a/adamsst01.html,adamsst01,0,84.0,http://www.sports-reference.com/cbb/players/steven-adams-1.html
Rafael Addison,1987,1997,F-G,6-7,215.0,1964-07-22,Syracuse University,/players/a/addisra01.html,addisra01,0,79.0,http://www.sports-reference.com/cbb/players/rafael-addison-1.html
Rick Adelman,1969,1975,G,6-1,175.0,1946-06-16,Loyola Marymount University,/players/a/adelmri01.html,adelmri01,0,73.0,"['http://www.basketball-reference.com/players/a/adelmri01.html', IndexError('list index out of range',)]"
Jeff Adrien,2011,2015,F,6-7,245.0,1986-02-10,University of Connecticut,/players/a/adrieje01.html,adrieje01,0,79.0,http://www.sports-reference.com/cbb/players/jeff-adrien-1.html
Arron Afflalo,2008,2017,G,6-5,210.0,1985-10-15,"University of California, Los Angeles",/players/a/afflaar01.html,afflaar01,0,77.0,http://www.sports-reference.com/cbb/players/arron-afflalo-1.html
Maurice Ager,2007,2011,G,6-5,202.0,1984-02-09,Michigan State University,/players/a/agerma01.html,agerma01,0,77.0,http://www.sports-reference.com/cbb/players/maurice-ager-1.html
Mark Aguirre,1982,1994,F-G,6-6,232.0,1959-12-10,DePaul University,/players/a/aguirma01.html,aguirma01,0,78.0,http://www.sports-reference.com/cbb/players/mark-aguirre-1.html
Blake Ahearn,2008,2012,G,6-2,190.0,1984-05-27,Missouri State University,/players/a/ahearbl01.html,ahearbl01,0,74.0,http://www.sports-reference.com/cbb/players/blake-ahearn-1.html
Danny Ainge,1982,1995,G,6-4,175.0,1959-03-17,Brigham Young University,/players/a/aingeda01.html,aingeda01,0,76.0,http://www.sports-reference.com/cbb/players/danny-ainge-1.html
Matthew Aitch,1968,1968,F,6-7,230.0,1944-09-21,Michigan State University,/players/a/aitchma01.html,aitchma01,0,79.0,"['http://www.basketball-reference.com/players/a/aitchma01.html', IndexError('list index out of range',)]"
Alexis Ajinca,2009,2017,C,7-2,248.0,1988-05-06,,/players/a/ajincal01.html,ajincal01,0,86.0,"['http://www.basketball-reference.com/players/a/ajincal01.html', IndexError('list index out of range',)]"
Henry Akin,1967,1969,C-F,6-10,225.0,1944-07-31,Morehead State University,/players/a/akinhe01.html,akinhe01,0,82.0,"['http://www.basketball-reference.com/players/a/akinhe01.html', IndexError('list index out of range',)]"
Josh Akognon,2013,2013,G,5-11,185.0,1986-02-10,"California State University, Fullerton",/players/a/akognjo01.html,akognjo01,0,71.0,http://www.sports-reference.com/cbb/players/josh-akognon-1.html
Solomon Alabi,2011,2012,C,7-1,251.0,1988-03-21,Florida State University,/players/a/alabiso01.html,alabiso01,0,85.0,http://www.sports-reference.com/cbb/players/solomon-alabi-1.html
Mark Alarie,1987,1991,F,6-8,217.0,1963-12-11,Duke University,/players/a/alarima01.html,alarima01,0,80.0,http://www.sports-reference.com/cbb/players/mark-alarie-1.html
Gary Alcorn,1960,1961,C,6-9,225.0,1936-10-08,"California State University, Fresno",/players/a/alcorga01.html,alcorga01,0,81.0,"['http://www.basketball-reference.com/players/a/alcorga01.html', IndexError('list index out of range',)]"
Furkan Aldemir,2015,2015,F-C,6-10,240.0,1991-08-09,,/players/a/aldemfu01.html,aldemfu01,0,82.0,"['http://www.basketball-reference.com/players/a/aldemfu01.html', IndexError('list index out of range',)]"
Cole Aldrich,2011,2017,C,6-11,250.0,1988-10-31,University of Kansas,/players/a/aldrico01.html,aldrico01,0,83.0,http://www.sports-reference.com/cbb/players/cole-aldrich-1.html
LaMarcus Aldridge,2007,2017,F-C,6-11,260.0,1985-07-19,University of Texas at Austin,/players/a/aldrila01.html,aldrila01,0,83.0,http://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html
Chuck Aleksinas,1985,1985,C,6-11,260.0,1959-02-26,University of Connecticut,/players/a/aleksch01.html,aleksch01,0,83.0,http://www.sports-reference.com/cbb/players/chuck-aleksinas-1.html
Cliff Alexander,2016,2016,F,6-8,245.0,1995-11-16,University of Kansas,/players/a/alexacl01.html,alexacl01,0,80.0,http://www.sports-reference.com/cbb/players/cliff-alexander-1.html
Cory Alexander,1996,2005,G,6-1,185.0,1973-06-22,University of Virginia,/players/a/alexaco01.html,alexaco01,0,73.0,http://www.sports-reference.com/cbb/players/cory-alexander-1.html
Courtney Alexander,2001,2003,G,6-5,205.0,1977-04-27,"California State University, Fresno",/players/a/alexaco02.html,alexaco02,0,77.0,http://www.sports-reference.com/cbb/players/courtney-alexander-1.html
Gary Alexander,1994,1994,F,6-7,240.0,1969-11-01,University of South Florida,/players/a/alexaga01.html,alexaga01,0,79.0,"['http://www.basketball-reference.com/players/a/alexaga01.html', IndexError('list index out of range',)]"
Joe Alexander,2009,2010,F,6-8,230.0,1986-12-26,West Virginia University,/players/a/alexajo01.html,alexajo01,0,80.0,http://www.sports-reference.com/cbb/players/joe-alexander-1.html
Victor Alexander,1992,2002,C-F,6-9,265.0,1969-08-31,Iowa State University,/players/a/alexavi01.html,alexavi01,0,81.0,http://www.sports-reference.com/cbb/players/victor-alexander-1.html
Steve Alford,1988,1991,G,6-2,183.0,1964-11-23,Indiana University,/players/a/alforst01.html,alforst01,0,74.0,http://www.sports-reference.com/cbb/players/steve-alford-1.html
Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State University,/players/a/allenbi01.html,allenbi01,0,80.0,"['http://www.basketball-reference.com/players/a/allenbi01.html', IndexError('list index out of range',)]"
Bob Allen,1969,1969,F,6-9,205.0,1946-07-17,Marshall University,/players/a/allenbo01.html,allenbo01,0,81.0,"['http://www.basketball-reference.com/players/a/allenbo01.html', IndexError('list index out of range',)]"
Jerome Allen,1996,1997,G,6-4,184.0,1973-01-28,University of Pennsylvania,/players/a/allenje01.html,allenje01,0,76.0,http://www.sports-reference.com/cbb/players/jerome-allen-1.html
Lavoy Allen,2012,2017,F-C,6-9,260.0,1989-02-04,Temple University,/players/a/allenla01.html,allenla01,0,81.0,http://www.sports-reference.com/cbb/players/lavoy-allen-1.html
Lucius Allen,1970,1979,G,6-2,175.0,1947-09-26,"University of California, Los Angeles",/players/a/allenlu01.html,allenlu01,0,74.0,"['http://www.basketball-reference.com/players/a/allenlu01.html', IndexError('list index out of range',)]"
Malik Allen,2002,2011,F-C,6-10,255.0,1978-06-27,Villanova University,/players/a/allenma01.html,allenma01,0,82.0,http://www.sports-reference.com/cbb/players/malik-allen-1.html
Randy Allen,1989,1990,F,6-8,220.0,1965-01-26,Florida State University,/players/a/allenra01.html,allenra01,0,80.0,http://www.sports-reference.com/cbb/players/randy-allen-1.html
Ray Allen,1997,2014,G,6-5,205.0,1975-07-20,University of Connecticut,/players/a/allenra02.html,allenra02,0,77.0,http://www.sports-reference.com/cbb/players/ray-allen-1.html
Tony Allen,2005,2017,G-F,6-4,213.0,1982-01-11,Oklahoma State University,/players/a/allento01.html,allento01,0,76.0,http://www.sports-reference.com/cbb/players/tony-allen-1.html
Willie Allen,1972,1972,F,6-6,230.0,1949-02-08,University of Miami,/players/a/allenwi01.html,allenwi01,0,78.0,"['http://www.basketball-reference.com/players/a/allenwi01.html', IndexError('list index out of range',)]"
Odis Allison,1972,1972,F,6-6,195.0,1949-10-02,"University of Nevada, Las Vegas",/players/a/allisod01.html,allisod01,0,78.0,"['http://www.basketball-reference.com/players/a/allisod01.html', IndexError('list index out of range',)]"
Lance Allred,2008,2008,C,6-11,250.0,1981-02-02,Weber State University,/players/a/allrela01.html,allrela01,0,83.0,http://www.sports-reference.com/cbb/players/lance-allred-1.html
Darrell Allums,1981,1981,F,6-9,220.0,1958-09-12,"University of California, Los Angeles",/players/a/allumda01.html,allumda01,0,81.0,http://www.sports-reference.com/cbb/players/darrell-allums-1.html
Morris Almond,2008,2012,G,6-6,225.0,1985-02-02,Rice University,/players/a/almonmo01.html,almonmo01,0,78.0,http://www.sports-reference.com/cbb/players/morris-almond-1.html
Derrick Alston,1995,1997,F,6-11,225.0,1972-08-20,Duquesne University,/players/a/alstode01.html,alstode01,0,83.0,http://www.sports-reference.com/cbb/players/derrick-alston-1.html
Rafer Alston,2000,2010,G,6-2,171.0,1976-07-24,"California State University, Fresno",/players/a/alstora01.html,alstora01,0,74.0,http://www.sports-reference.com/cbb/players/rafer-alston-1.html
Peter Aluma,1999,1999,C,6-10,260.0,1973-04-23,Liberty University,/players/a/alumape01.html,alumape01,0,82.0,http://www.sports-reference.com/cbb/players/peter-aluma-1.html
John Amaechi,1996,2003,C-F,6-10,270.0,1970-11-26,Pennsylvania State University,/players/a/amaecjo01.html,amaecjo01,0,82.0,http://www.sports-reference.com/cbb/players/john-amaechi-1.html
Ashraf Amaya,1996,1997,F,6-8,230.0,1971-11-23,Southern Illinois University,/players/a/amayaas01.html,amayaas01,0,80.0,http://www.sports-reference.com/cbb/players/ashraf-amaya-1.html
Al-Farouq Aminu,2011,2017,F,6-9,220.0,1990-09-21,Wake Forest University,/players/a/aminual01.html,aminual01,0,81.0,http://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html
Lou Amundson,2007,2016,F,6-9,220.0,1982-12-07,"University of Nevada, Las Vegas",/players/a/amundlo01.html,amundlo01,0,81.0,http://www.sports-reference.com/cbb/players/louis-amundson-1.html
Bob Anderegg,1960,1960,F-G,6-3,200.0,1937-08-24,Michigan State University,/players/a/anderbo01.html,anderbo01,0,75.0,"['http://www.basketball-reference.com/players/a/anderbo01.html', IndexError('list index out of range',)]"
Chris Andersen,2002,2017,F-C,6-10,245.0,1978-07-07,Blinn College,/players/a/anderch01.html,anderch01,0,82.0,"['http://www.basketball-reference.com/players/a/anderch01.html', IndexError('list index out of range',)]"
David Andersen,2010,2011,C,6-11,245.0,1980-06-23,,/players/a/anderda03.html,anderda03,0,83.0,"['http://www.basketball-reference.com/players/a/anderda03.html', IndexError('list index out of range',)]"
Alan Anderson,2006,2017,G-F,6-6,220.0,1982-10-16,Michigan State University,/players/a/anderal01.html,anderal01,0,78.0,http://www.sports-reference.com/cbb/players/alan-anderson-1.html
Andrew Anderson,1968,1970,G,6-2,184.0,1945-07-06,Canisius College,/players/a/anderan01.html,anderan01,0,74.0,"['http://www.basketball-reference.com/players/a/anderan01.html', IndexError('list index out of range',)]"
Antonio Anderson,2010,2010,G,6-6,215.0,1985-06-05,University of Memphis,/players/a/anderan02.html,anderan02,0,78.0,http://www.sports-reference.com/cbb/players/antonio-anderson-1.html
Cliff Anderson,1968,1971,G-F,6-2,200.0,1944-09-07,Saint Joseph's University,/players/a/andercl01.html,andercl01,0,74.0,"['http://www.basketball-reference.com/players/a/andercl01.html', ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',)),)]"
Dan Anderson,1968,1969,C,6-10,230.0,1943-02-15,Augsburg College,/players/a/anderda01.html,anderda01,0,82.0,"['http://www.basketball-reference.com/players/a/anderda01.html', ConnectionError(MaxRetryError(""HTTPConnectionPool(host='www.basketball-reference.com', port=80): Max retries exceeded with url: /players/a/anderda01.html (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x7fa2cb71a940>: Failed to establish a new connection: [Errno 111] Connection refused',))"",),)]"
Dan Anderson,1975,1976,G,6-2,185.0,1951-01-01,University of Southern California,/players/a/anderda02.html,anderda02,0,74.0,"['http://www.basketball-reference.com/players/a/anderda02.html', IndexError('list index out of range',)]"
Derek Anderson,1998,2008,G,6-5,194.0,1974-07-18,University of Kentucky,/players/a/anderde01.html,anderde01,0,77.0,http://www.sports-reference.com/cbb/players/derek-anderson-1.html
Dwight Anderson,1983,1983,G,6-3,185.0,1960-12-28,University of Southern California,/players/a/anderdw01.html,anderdw01,0,75.0,http://www.sports-reference.com/cbb/players/dwight-anderson-1.html
Eric Anderson,1993,1994,F,6-9,220.0,1970-05-26,Indiana University,/players/a/anderer01.html,anderer01,0,81.0,http://www.sports-reference.com/cbb/players/eric-anderson-1.html
Greg Anderson,1988,1998,F-C,6-10,230.0,1964-06-22,University of Houston,/players/a/andergr01.html,andergr01,0,82.0,http://www.sports-reference.com/cbb/players/greg-anderson-1.html
J.J. Anderson,1983,1985,F,6-8,195.0,1960-09-23,Bradley University,/players/a/anderjj01.html,anderjj01,0,80.0,http://www.sports-reference.com/cbb/players/jj-anderson-1.html
James Anderson,2011,2016,G-F,6-6,213.0,1989-03-25,Oklahoma State University,/players/a/anderja01.html,anderja01,0,78.0,http://www.sports-reference.com/cbb/players/james-anderson-3.html
Jerome Anderson,1976,1977,G,6-5,195.0,1953-10-09,West Virginia University,/players/a/anderje01.html,anderje01,0,77.0,"['http://www.basketball-reference.com/players/a/anderje01.html', IndexError('list index out of range',)]"
Justin Anderson,2016,2017,G,6-6,228.0,1993-11-19,University of Virginia,/players/a/anderju01.html,anderju01,0,78.0,http://www.sports-reference.com/cbb/players/justin-anderson-1.html
Kenny Anderson,1992,2005,G,6-0,168.0,1970-10-09,Georgia Institute of Technology,/players/a/anderke01.html,anderke01,0,72.0,http://www.sports-reference.com/cbb/players/kenny-anderson-1.html
Kim Anderson,1979,1979,F,6-7,200.0,1955-05-12,University of Missouri,/players/a/anderki01.html,anderki01,0,79.0,"['http://www.basketball-reference.com/players/a/anderki01.html', IndexError('list index out of range',)]"
Kyle Anderson,2015,2017,F-G,6-9,230.0,1993-09-20,"University of California, Los Angeles",/players/a/anderky01.html,anderky01,0,81.0,http://www.sports-reference.com/cbb/players/kyle-anderson-3.html
Michael Anderson,1989,1989,G,5-11,184.0,1966-03-23,Drexel University,/players/a/andermi01.html,andermi01,0,71.0,http://www.sports-reference.com/cbb/players/michael-anderson-1.html
Nick Anderson,1990,2002,F-G,6-6,205.0,1968-01-20,University of Illinois at Urbana-Champaign,/players/a/anderni01.html,anderni01,0,78.0,http://www.sports-reference.com/cbb/players/nick-anderson-1.html
Richard Anderson,1983,1990,F-C,6-10,240.0,1960-11-19,"University of California, Santa Barbara",/players/a/anderri01.html,anderri01,0,82.0,http://www.sports-reference.com/cbb/players/richard-anderson-1.html
Ron Anderson,1985,1994,F-G,6-7,215.0,1958-10-15,"California State University, Fresno",/players/a/anderro01.html,anderro01,0,79.0,http://www.sports-reference.com/cbb/players/ron-anderson-1.html
Ryan Anderson,2009,2017,F,6-10,240.0,1988-05-06,University of California,/players/a/anderry01.html,anderry01,0,82.0,http://www.sports-reference.com/cbb/players/ryan-anderson-1.html
Shandon Anderson,1997,2006,F-G,6-6,208.0,1973-12-31,University of Georgia,/players/a/andersh01.html,andersh01,0,78.0,http://www.sports-reference.com/cbb/players/shandon-anderson-1.html
Willie Anderson,1989,1997,G-F,6-7,190.0,1967-01-08,University of Georgia,/players/a/anderwi01.html,anderwi01,0,79.0,http://www.sports-reference.com/cbb/players/willie-anderson-1.html
Wally Anderzunas,1970,1970,C-F,6-7,220.0,1946-01-11,Creighton University,/players/a/anderwa01.html,anderwa01,0,79.0,"['http://www.basketball-reference.com/players/a/anderwa01.html', IndexError('list index out of range',)]"
Martynas Andriuskevicius,2006,2006,C,7-2,240.0,1986-03-12,,/players/a/andrima01.html,andrima01,0,86.0,"['http://www.basketball-reference.com/players/a/andrima01.html', IndexError('list index out of range',)]"
Don Anielak,1955,1955,F,6-7,190.0,1930-11-01,Missouri State University,/players/a/anieldo01.html,anieldo01,0,79.0,"['http://www.basketball-reference.com/players/a/anieldo01.html', IndexError('list index out of range',)]"
Michael Ansley,1990,1992,F,6-7,225.0,1967-02-08,University of Alabama,/players/a/anslemi01.html,anslemi01,0,79.0,http://www.sports-reference.com/cbb/players/michael-ansley-1.html
Chris Anstey,1998,2000,C,7-0,249.0,1975-01-01,,/players/a/anstech01.html,anstech01,0,84.0,"['http://www.basketball-reference.com/players/a/anstech01.html', IndexError('list index out of range',)]"
Giannis Antetokounmpo,2014,2017,F-G,6-11,222.0,1994-12-06,,/players/a/antetgi01.html,antetgi01,0,83.0,"['http://www.basketball-reference.com/players/a/antetgi01.html', IndexError('list index out of range',)]"
Thanasis Antetokounmpo,2016,2016,F,6-7,205.0,1992-07-17,,/players/a/antetth01.html,antetth01,0,79.0,"['http://www.basketball-reference.com/players/a/antetth01.html', IndexError('list index out of range',)]"
Carmelo Anthony,2004,2017,F,6-8,240.0,1984-05-29,Syracuse University,/players/a/anthoca01.html,anthoca01,0,80.0,http://www.sports-reference.com/cbb/players/carmelo-anthony-1.html
Greg Anthony,1992,2002,G,6-0,176.0,1967-11-15,"University of Nevada, Las Vegas",/players/a/anthogr01.html,anthogr01,0,72.0,http://www.sports-reference.com/cbb/players/greg-anthony-1.html
Joel Anthony,2008,2017,C,6-9,245.0,1982-08-09,"University of Nevada, Las Vegas",/players/a/anthojo01.html,anthojo01,0,81.0,http://www.sports-reference.com/cbb/players/joel-anthony-1.html
Pero Antic,2014,2015,C-F,6-11,260.0,1982-07-29,,/players/a/anticpe01.html,anticpe01,0,83.0,"['http://www.basketball-reference.com/players/a/anticpe01.html', IndexError('list index out of range',)]"
Keith Appling,2016,2016,G,6-1,185.0,1992-02-13,Michigan State University,/players/a/applike01.html,applike01,0,73.0,http://www.sports-reference.com/cbb/players/keith-appling-1.html
Rafael Araujo,2005,2007,C,6-11,280.0,1980-08-12,Brigham Young University,/players/a/araujra01.html,araujra01,0,83.0,http://www.sports-reference.com/cbb/players/rafael-araujo-1.html
Stacey Arceneaux,1962,1962,F,6-4,210.0,1936-02-17,Iowa State University,/players/a/arcenst01.html,arcenst01,0,76.0,"['http://www.basketball-reference.com/players/a/arcenst01.html', IndexError('list index out of range',)]"
Robert Archibald,2003,2004,F,6-11,250.0,1980-03-29,University of Illinois at Urbana-Champaign,/players/a/archiro01.html,archiro01,0,83.0,http://www.sports-reference.com/cbb/players/robert-archibald-1.html
Tiny Archibald,1971,1984,G,6-1,150.0,1948-09-02,University of Texas at El Paso,/players/a/architi01.html,architi01,1,73.0,http://www.sports-reference.com/cbb/players/tiny-archibald-1.html
Jim Ard,1971,1978,F-C,6-8,215.0,1948-09-19,University of Cincinnati,/players/a/ardji01.html,ardji01,0,80.0,"['http://www.basketball-reference.com/players/a/ardji01.html', IndexError('list index out of range',)]"
Gilbert Arenas,2002,2012,G,6-3,191.0,1982-01-06,University of Arizona,/players/a/arenagi01.html,arenagi01,0,75.0,http://www.sports-reference.com/cbb/players/gilbert-arenas-1.html
Trevor Ariza,2005,2017,F,6-8,215.0,1985-06-30,"University of California, Los Angeles",/players/a/arizatr01.html,arizatr01,0,80.0,http://www.sports-reference.com/cbb/players/trevor-ariza-1.html
Paul Arizin,1951,1962,F-G,6-4,190.0,1928-04-09,Villanova University,/players/a/arizipa01.html,arizipa01,1,76.0,http://www.sports-reference.com/cbb/players/paul-arizin-1.html
Joe Arlauckas,1988,1988,F,6-9,230.0,1965-07-20,Niagara University,/players/a/arlaujo01.html,arlaujo01,0,81.0,http://www.sports-reference.com/cbb/players/joe-arlauckas-1.html
B.J. Armstrong,1990,2000,G,6-2,175.0,1967-09-09,University of Iowa,/players/a/armstbj01.html,armstbj01,0,74.0,http://www.sports-reference.com/cbb/players/bj-armstrong-1.html
Bob Armstrong,1957,1957,C-F,6-8,220.0,1933-06-17,Michigan State University,/players/a/armstbo01.html,armstbo01,0,80.0,"['http://www.basketball-reference.com/players/a/armstbo01.html', IndexError('list index out of range',)]"
Brandon Armstrong,2002,2004,G,6-5,188.0,1980-06-16,Pepperdine University,/players/a/armstbr01.html,armstbr01,0,77.0,http://www.sports-reference.com/cbb/players/brandon-armstrong-1.html
Curly Armstrong,1949,1951,G-F,5-11,170.0,1918-11-01,Indiana University,/players/a/armstcu01.html,armstcu01,0,71.0,"['http://www.basketball-reference.com/players/a/armstcu01.html', IndexError('list index out of range',)]"
Darrell Armstrong,1995,2008,G,6-0,170.0,1968-06-22,Fayetteville State University,/players/a/armstda01.html,armstda01,0,72.0,"['http://www.basketball-reference.com/players/a/armstda01.html', IndexError('list index out of range',)]"
Hilton Armstrong,2007,2014,F-C,6-11,235.0,1984-11-11,University of Connecticut,/players/a/armsthi01.html,armsthi01,0,83.0,http://www.sports-reference.com/cbb/players/hilton-armstrong-1.html
Tate Armstrong,1978,1979,G,6-3,175.0,1955-10-05,Duke University,/players/a/armstta01.html,armstta01,0,75.0,"['http://www.basketball-reference.com/players/a/armstta01.html', IndexError('list index out of range',)]"
Jesse Arnelle,1956,1956,F,6-5,220.0,1933-12-30,Pennsylvania State University,/players/a/arnelje01.html,arnelje01,0,77.0,"['http://www.basketball-reference.com/players/a/arnelje01.html', IndexError('list index out of range',)]"
Jay Arnette,1964,1966,G,6-2,175.0,1938-12-19,University of Texas at Austin,/players/a/arnetja01.html,arnetja01,0,74.0,"['http://www.basketball-reference.com/players/a/arnetja01.html', IndexError('list index out of range',)]"
Bob Arnzen,1970,1974,F,6-5,205.0,1947-11-03,University of Notre Dame,/players/a/arnzebo01.html,arnzebo01,0,77.0,"['http://www.basketball-reference.com/players/a/arnzebo01.html', IndexError('list index out of range',)]"
Carlos Arroyo,2002,2011,G,6-2,202.0,1979-07-30,Florida International University,/players/a/arroyca01.html,arroyca01,0,74.0,"['http://www.basketball-reference.com/players/a/arroyca01.html', IndexError('list index out of range',)]"
Darrell Arthur,2009,2017,F,6-9,235.0,1988-03-25,University of Kansas,/players/a/arthuda01.html,arthuda01,0,81.0,http://www.sports-reference.com/cbb/players/darrell-arthur-1.html
John Arthurs,1970,1970,G,6-4,185.0,1947-08-15,Tulane University,/players/a/arthujo01.html,arthujo01,0,76.0,"['http://www.basketball-reference.com/players/a/arthujo01.html', IndexError('list index out of range',)]"
Omer Asik,2011,2017,C,7-0,255.0,1986-07-04,,/players/a/asikom01.html,asikom01,0,84.0,"['http://www.basketball-reference.com/players/a/asikom01.html', IndexError('list index out of range',)]"
Vincent Askew,1988,1998,G-F,6-6,210.0,1966-02-28,University of Memphis,/players/a/askewvi01.html,askewvi01,0,78.0,http://www.sports-reference.com/cbb/players/vincent-askew-1.html
Keith Askins,1991,1999,G-F,6-7,197.0,1967-12-15,University of Alabama,/players/a/askinke01.html,askinke01,0,79.0,http://www.sports-reference.com/cbb/players/keith-askins-1.html
Don Asmonga,1954,1954,G,6-2,185.0,1928-02-15,Alliance College,/players/a/asmondo01.html,asmondo01,0,74.0,"['http://www.basketball-reference.com/players/a/asmondo01.html', IndexError('list index out of range',)]"
Dick Atha,1956,1958,G,6-2,190.0,1931-09-21,Indiana State University,/players/a/athadi01.html,athadi01,0,74.0,"['http://www.basketball-reference.com/players/a/athadi01.html', IndexError('list index out of range',)]"
Chucky Atkins,2000,2010,G,5-11,160.0,1974-08-14,University of South Florida,/players/a/atkinch01.html,atkinch01,0,71.0,http://www.sports-reference.com/cbb/players/chucky-atkins-1.html
Al Attles,1961,1971,G,6-0,175.0,1936-11-07,North Carolina Agricultural and Technical State University,/players/a/attleal01.html,attleal01,0,72.0,"['http://www.basketball-reference.com/players/a/attleal01.html', IndexError('list index out of range',)]"
Chet Aubuchon,1947,1947,G,5-10,137.0,1916-05-18,Michigan State University,/players/a/aubucch01.html,aubucch01,0,70.0,"['http://www.basketball-reference.com/players/a/aubucch01.html', IndexError('list index out of range',)]"
Stacey Augmon,1992,2006,F-G,6-8,205.0,1968-08-01,"University of Nevada, Las Vegas",/players/a/augmost01.html,augmost01,0,80.0,http://www.sports-reference.com/cbb/players/stacey-augmon-1.html
D.J. Augustin,2009,2017,G,6-0,183.0,1987-11-10,University of Texas at Austin,/players/a/augusdj01.html,augusdj01,0,72.0,http://www.sports-reference.com/cbb/players/dj-augustin-1.html
