Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Frank Kudelka,1950,1953,G-F,6-2,193.0,1925-06-25,Saint Mary's College of California,/players/k/kudelfr01.html,kudelfr01,0,74.0,"['http://www.basketball-reference.com/players/k/kudelfr01.html', IndexError('list index out of range',)]"
John Kuester,1978,1980,G,6-2,180.0,1955-02-06,University of North Carolina,/players/k/kuestjo01.html,kuestjo01,0,74.0,http://www.sports-reference.com/cbb/players/john-kuester-1.html
Ray Kuka,1948,1949,F,6-3,200.0,1922-02-17,University of Notre Dame,/players/k/kukara01.html,kukara01,0,75.0,"['http://www.basketball-reference.com/players/k/kukara01.html', IndexError('list index out of range',)]"
Toni Kukoc,1994,2006,F,6-10,192.0,1968-09-18,,/players/k/kukocto01.html,kukocto01,0,82.0,"['http://www.basketball-reference.com/players/k/kukocto01.html', IndexError('list index out of range',)]"
Kevin Kunnert,1974,1982,C-F,7-0,230.0,1951-11-11,University of Iowa,/players/k/kunneke01.html,kunneke01,0,84.0,http://www.sports-reference.com/cbb/players/kevin-kunnert-1.html
Terry Kunze,1968,1968,G-F,6-4,210.0,1943-03-11,University of Minnesota,/players/k/kunzete01.html,kunzete01,0,76.0,"['http://www.basketball-reference.com/players/k/kunzete01.html', IndexError('list index out of range',)]"
Mitch Kupchak,1977,1986,F-C,6-9,230.0,1954-05-24,University of North Carolina,/players/k/kupchmi01.html,kupchmi01,0,81.0,http://www.sports-reference.com/cbb/players/mitch-kupchak-1.html
C.J. Kupec,1976,1978,F-C,6-6,220.0,1953-01-16,University of Michigan,/players/k/kupeccj01.html,kupeccj01,0,78.0,"['http://www.basketball-reference.com/players/k/kupeccj01.html', IndexError('list index out of range',)]"
Rob Kurz,2009,2009,F,6-9,232.0,1985-03-05,University of Notre Dame,/players/k/kurzro01.html,kurzro01,0,81.0,http://www.sports-reference.com/cbb/players/rob-kurz-1.html
Ibo Kutluay,2005,2005,G,6-6,200.0,1974-07-01,,/players/k/kutluib01.html,kutluib01,0,78.0,"['http://www.basketball-reference.com/players/k/kutluib01.html', IndexError('list index out of range',)]"
Ognjen Kuzmic,2014,2015,C,7-1,251.0,1990-05-16,,/players/k/kuzmiog01.html,kuzmiog01,0,85.0,"['http://www.basketball-reference.com/players/k/kuzmiog01.html', IndexError('list index out of range',)]"
Mindaugas Kuzminskas,2017,2017,F,6-9,215.0,1989-10-19,,/players/k/kuzmimi01.html,kuzmimi01,0,81.0,"['http://www.basketball-reference.com/players/k/kuzmimi01.html', IndexError('list index out of range',)]"
Skal Labissiere,2017,2017,F,6-11,225.0,1996-03-18,University of Kentucky,/players/l/labissk01.html,labissk01,0,83.0,http://www.sports-reference.com/cbb/players/skal-labissiere-1.html
Reggie Lacefield,1969,1969,G-F,6-5,230.0,1945-04-10,Western Michigan University,/players/l/lacefre01.html,lacefre01,0,77.0,"['http://www.basketball-reference.com/players/l/lacefre01.html', IndexError('list index out of range',)]"
Edgar Lacey,1969,1969,F,6-6,190.0,1944-08-02,"University of California, Los Angeles",/players/l/laceyed01.html,laceyed01,0,78.0,"['http://www.basketball-reference.com/players/l/laceyed01.html', IndexError('list index out of range',)]"
Sam Lacey,1971,1983,C,6-10,235.0,1948-03-28,New Mexico State University,/players/l/laceysa01.html,laceysa01,0,82.0,http://www.sports-reference.com/cbb/players/sam-lacey-1.html
Bob Lackey,1973,1974,G-F,6-5,200.0,1949-04-04,Marquette University,/players/l/lackebo01.html,lackebo01,0,77.0,"['http://www.basketball-reference.com/players/l/lackebo01.html', IndexError('list index out of range',)]"
Fred LaCour,1961,1963,G-F,6-5,210.0,1938-02-07,University of San Francisco,/players/l/lacoufr01.html,lacoufr01,0,77.0,"['http://www.basketball-reference.com/players/l/lacoufr01.html', IndexError('list index out of range',)]"
Wendell Ladner,1971,1975,F,6-5,220.0,1948-10-06,University of Southern Mississippi,/players/l/ladnewe01.html,ladnewe01,0,77.0,"['http://www.basketball-reference.com/players/l/ladnewe01.html', IndexError('list index out of range',)]"
Christian Laettner,1993,2005,F-C,6-11,235.0,1969-08-17,Duke University,/players/l/laettch01.html,laettch01,0,83.0,http://www.sports-reference.com/cbb/players/christian-laettner-1.html
Oliver Lafayette,2010,2010,G,6-2,190.0,1984-05-06,University of Houston,/players/l/lafayol01.html,lafayol01,0,74.0,http://www.sports-reference.com/cbb/players/oliver-lafayette-1.html
Raef LaFrentz,1999,2008,F-C,6-11,240.0,1976-05-29,University of Kansas,/players/l/lafrera01.html,lafrera01,0,83.0,http://www.sports-reference.com/cbb/players/raef-lafrentz-1.html
Tom LaGarde,1978,1985,C-F,6-10,220.0,1955-02-10,University of North Carolina,/players/l/lagarto01.html,lagarto01,0,82.0,http://www.sports-reference.com/cbb/players/tom-lagarde-1.html
Bill Laimbeer,1981,1994,C,6-11,245.0,1957-05-19,University of Notre Dame,/players/l/laimbbi01.html,laimbbi01,0,83.0,http://www.sports-reference.com/cbb/players/bill-laimbeer-1.html
Pete Lalich,1947,1947,F,6-2,190.0,1920-06-23,Ohio University,/players/l/lalicpe01.html,lalicpe01,0,74.0,"['http://www.basketball-reference.com/players/l/lalicpe01.html', IndexError('list index out of range',)]"
Bo Lamar,1974,1977,G,6-1,180.0,1951-04-07,University of Louisiana at Lafayette,/players/l/lamarbo01.html,lamarbo01,0,73.0,"['http://www.basketball-reference.com/players/l/lamarbo01.html', IndexError('list index out of range',)]"
Doron Lamb,2013,2014,G,6-4,210.0,1991-11-06,University of Kentucky,/players/l/lambdo01.html,lambdo01,0,76.0,http://www.sports-reference.com/cbb/players/doron-lamb-1.html
Jeremy Lamb,2013,2017,G-F,6-5,185.0,1992-05-30,University of Connecticut,/players/l/lambje01.html,lambje01,0,77.0,http://www.sports-reference.com/cbb/players/jeremy-lamb-1.html
